tab	pmag_specimens
er_specimen_name	measurement_step_min	measurement_step_max	specimen_lab_field_dc_uT	specimen_int_corr_anisotropy	specimen_int_corr_nlt	specimen_int_uT	specimen_n	specimen_int_ptrm_n	specimen_f	specimen_fvds	specimen_frac	specimen_gap_max	specimen_b_beta	specimen_dang	specimen_drats	specimen_int_mad	specimen_md
su100501a	100	515	40	-	1.01	56.1	12.00	6.00	0.86	0.80	0.81	0.18	0.04	2.75	7.35	3.41	-1.00
su100501a	100	530	40	-	1.01	53.6	13.00	7.00	0.95	0.88	0.89	0.16	0.04	2.08	8.67	3.16	-1.00
su100501a	100	545	40	-	1.00	52.6	14.00	7.00	0.99	0.91	0.94	0.15	0.03	1.60	8.32	2.96	-1.00
su100501a	100	560	40	-	1.00	51.2	15.00	8.00	1.02	0.93	0.95	0.15	0.03	1.31	5.47	2.79	-1.00
su100501a	100	580	40	-	1.00	50.1	16.00	8.00	1.04	0.94	0.96	0.15	0.03	1.14	5.34	2.64	-1.00
su100501a	200	530	40	-	1.00	51.9	12.00	7.00	0.88	0.80	0.81	0.18	0.04	1.48	8.67	2.69	-1.00
su100501a	200	545	40	-	1.00	51.0	13.00	7.00	0.92	0.83	0.85	0.17	0.03	1.17	8.32	2.46	-1.00
su100501a	200	560	40	-	1.00	49.7	14.00	8.00	0.95	0.85	0.87	0.17	0.03	0.98	5.47	2.29	-1.00
su100501a	200	580	40	-	1.00	48.7	15.00	8.00	0.97	0.86	0.88	0.16	0.03	0.86	5.34	2.15	-1.00
su100501a	250	560	40	-	1.00	48.4	13.00	8.00	0.89	0.78	0.80	0.18	0.03	0.98	5.47	1.69	-1.00
su100501a	250	580	40	-	1.00	47.5	14.00	8.00	0.90	0.79	0.81	0.18	0.03	0.87	5.34	1.59	-1.00
su100501b	0	515	40	-	1.02	73.8	13.00	6.00	0.89	0.88	0.89	0.16	0.03	1.94	10.21	2.94	-1.00
su100501b	0	530	40	-	1.02	71.0	14.00	7.00	0.97	0.95	0.95	0.15	0.03	1.42	10.22	2.69	-1.00
su100501b	0	545	40	-	1.02	70.1	15.00	7.00	0.99	0.97	0.98	0.15	0.03	1.11	10.07	2.48	-1.00
su100501b	0	560	40	-	1.02	69.1	16.00	8.00	1.01	0.98	0.99	0.14	0.02	0.89	8.73	2.32	-1.00
su100501b	0	580	40	-	1.02	68.2	17.00	8.00	1.02	0.99	1.00	0.14	0.02	0.79	8.57	2.19	-1.00
su100501b	100	515	40	-	1.02	74.0	12.00	6.00	0.86	0.86	0.85	0.17	0.03	1.65	10.21	2.82	-1.00
su100501b	100	530	40	-	1.02	70.9	13.00	7.00	0.94	0.93	0.91	0.16	0.03	1.19	10.22	2.55	-1.00
su100501b	100	545	40	-	1.02	70.0	14.00	7.00	0.97	0.95	0.94	0.15	0.03	0.92	10.07	2.32	-1.00
su100501b	100	560	40	-	1.02	68.9	15.00	8.00	0.98	0.96	0.95	0.15	0.03	0.73	8.73	2.17	-1.00
su100501b	100	580	40	-	1.02	68.0	16.00	8.00	0.99	0.97	0.96	0.15	0.02	0.65	8.57	2.04	-1.00
su100501b	200	530	40	-	1.02	71.6	12.00	7.00	0.86	0.86	0.84	0.17	0.03	0.75	10.22	1.79	-1.00
su100501b	200	545	40	-	1.02	70.5	13.00	7.00	0.89	0.88	0.88	0.16	0.03	0.56	10.07	1.62	-1.00
su100501b	200	560	40	-	1.02	69.2	14.00	8.00	0.91	0.89	0.89	0.16	0.03	0.42	8.73	1.51	-1.00
su100501b	200	580	40	-	1.02	68.2	15.00	8.00	0.92	0.90	0.90	0.16	0.03	0.38	8.57	1.42	-1.00
su100501b	250	530	40	-	1.02	71.4	11.00	7.00	0.82	0.81	0.81	0.18	0.04	0.73	10.22	1.90	-1.00
