model_lat	er_citation_names	compilation_names	average_inc	er_site_names	average_int	average_age_low	average_int_sigma_perc	average_alpha95	magic_method_codes	vadm	average_r	average_int_nn	model_lon	average_age	result_description	er_location_names	average_int_sigma	vadm_n	compilation_ids	data_type	average_dec	vdm_n	vgp_lat	average_nn	average_lat	average_age_unit	average_age_sigma	average_k	average_lon	vgp_dm	average_n	vgp_dp	pmag_result_name	tilt_correction	average_age_high	vgp_lon	vdm
				8	4.25E-05		3.29		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					1.40E-06																8				8.10E+22
				12	5.95E-05		3.7		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					2.20E-06																12				1.19E+23
				13	4.24E-05		3.77		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					1.60E-06																13				1.08E+23
				20	4.31E-05		10.7		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			2					4.60E-06																20				1.02E+23
				23	2.18E-05		6.42		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					1.40E-06																23				5.40E+22
				24	2.18E-05		6.42		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					1.40E-06																24				5.40E+22
				25	2.93E-05		7.17		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					2.10E-06																25				7.30E+22
				27	3.75E-05		2.13		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			6					8.00E-07																27				9.10E+22
				29	4.12E-05		5.58		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					2.30E-06																29				8.30E+22
				30	4.44E-05		0.45		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					2.00E-07																30				1.01E+23
				34	4.81E-05		4.16		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					2.00E-06																34				1.14E+23
				35	3.11E-05		0.965		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					3.00E-07																35				7.40E+22
				36	5.04E-05		2.78		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			10					1.40E-06																36				1.18E+23
				38	4.81E-05		7.28		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					3.50E-06																38				1.13E+23
				41	3.58E-05		9.78		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					3.50E-06																41				9.00E+22
	This study:Johnson et al. 2007	TAFI:20D	19.9	HN11				3.7	LP-DIR					3110	VGP calculated using present lat/lon	Hawaii				i	2.1		78.7	5	21.4	ka	0.03	334	201.8				TAFI-PMCORR: HN11	0		11.2	
20.4973	This study:Johnson et al. 2007	TAFI:20D	19.9	HN11				3.7	LP-DIR:IE-MLAT-PR				203.321	3110	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	2.1		79.6	5	21.4	ka	0.03	334	201.8				TAFI: HN11	0		11.8	
	This study:Johnson et al. 2007	TAFI:20D	43.7	HN09				4.7	LP-DIR					3110	VGP calculated using present lat/lon	Hawaii				i	2.3		85.4	4	21.4	ka	0.03	290	201.8				TAFI-PMCORR: HN09	0		228.4	
20.4973	This study:Johnson et al. 2007	TAFI:20D	43.7	HN09				4.7	LP-DIR:IE-MLAT-PR				203.321	3110	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	2.3		84.5	4	21.4	ka	0.03	290	201.8				TAFI: HN09	0		225.7	
	This study:Johnson et al. 2007	TAFI:20D	32.2	HN08				6.9	LP-DIR					3110	VGP calculated using present lat/lon	Hawaii				i	3.3		85	3	21.4	ka	0.03	439	201.8				TAFI-PMCORR: HN08	0		342.8	
20.4973	This study:Johnson et al. 2007	TAFI:20D	32.2	HN08				6.9	LP-DIR:IE-MLAT-PR				203.321	3110	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	3.3		85.7	3	21.4	ka	0.03	439	201.8				TAFI: HN08	0		336.8	
	This study:Johnson et al. 2007	TAFI:20D	41	HN07				4.9	LP-DIR					3110	VGP calculated using present lat/lon	Hawaii				i	32.8		59.7	6	21.4	ka	0.03	158	201.8				TAFI-PMCORR: HN07	0		281.5	
20.4973	This study:Johnson et al. 2007	TAFI:20D	41	HN07				4.9	LP-DIR:IE-MLAT-PR				203.321	3110	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	32.8		59.5	6	21.4	ka	0.03	158	201.8				TAFI: HN07	0		281.6	
	This study:Johnson et al. 2007	TAFI:20D	45.6	HN06				5	LP-DIR					3110	VGP calculated using present lat/lon	Hawaii				i	39.1		54	5	21.4	ka	0.03	190	201.8				TAFI-PMCORR: HN06	0		274.8	
20.4973	This study:Johnson et al. 2007	TAFI:20D	45.6	HN06				5	LP-DIR:IE-MLAT-PR				203.321	3110	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	39.1		53.8	5	21.4	ka	0.03	190	201.8				TAFI: HN06	0		275.2	
	This study:Johnson et al. 2007	TAFI:20D	47.1	HN05				2.8	LP-DIR					3110	VGP calculated using present lat/lon	Hawaii				i	34.6		58	5	21.4	ka	0.03	613	201.8				TAFI-PMCORR: HN05	0		272.3	
20.4973	This study:Johnson et al. 2007	TAFI:20D	47.1	HN05				2.8	LP-DIR:IE-MLAT-PR				203.321	3110	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	34.6		57.7	5	21.4	ka	0.03	613	201.8				TAFI: HN05	0		272.5	
	This study:Johnson et al. 2007	TAFI:20D	10.2	HN04				3.7	LP-DIR					3110	VGP calculated using present lat/lon	Hawaii				i	5.6		72.9	4	21.4	ka	0.03	474	201.8				TAFI-PMCORR: HN04	0		2.5	
20.4973	This study:Johnson et al. 2007	TAFI:20D	10.2	HN04				3.7	LP-DIR:IE-MLAT-PR				203.321	3110	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	5.6		73.7	4	21.4	ka	0.03	474	201.8				TAFI: HN04	0		3.1	
	This study:Johnson et al. 2007	TAFI:20D	14.2	HN03				2.2	LP-DIR					3110	VGP calculated using present lat/lon	Hawaii				i	9.3		73.2	4	21.4	ka	0.03	1332	201.8				TAFI-PMCORR: HN03	0		348.1	
20.4973	This study:Johnson et al. 2007	TAFI:20D	14.2	HN03				2.2	LP-DIR:IE-MLAT-PR				203.321	3110	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	9.3		73.9	4	21.4	ka	0.03	1332	201.8				TAFI: HN03	0		347.9	
	This study:Johnson et al. 2007	TAFI:20D	16.3	HN02				2.9	LP-DIR					3110	VGP calculated using present lat/lon	Hawaii				i	6.4		75.5	5	21.4	ka	0.03	555	201.8				TAFI-PMCORR: HN02	0		355.6	
20.4973	This study:Johnson et al. 2007	TAFI:20D	16.3	HN02				2.9	LP-DIR:IE-MLAT-PR				203.321	3110	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	6.4		76.3	5	21.4	ka	0.03	555	201.8				TAFI: HN02	0		355.5	
	This study:Johnson et al. 2007	TAFI:20D	28.7	HN01				3.5	LP-DIR					3110	VGP calculated using present lat/lon	Hawaii				i	5.6		81.9	5	21.4	ka	0.03	386	201.8				TAFI-PMCORR: HN01	0		339.8	
20.4973	This study:Johnson et al. 2007	TAFI:20D	28.7	HN01				3.5	LP-DIR:IE-MLAT-PR				203.321	3110	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	5.6		82.6	5	21.4	ka	0.03	386	201.8				TAFI: HN01	0		336.7	
	This study	PSVRL	28.7	Waianae Series-HN01		2.97		3.5	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4244	i	5.6		81.8	5	21.4	Ma	0.15	386	-158.2				PSVRL: 4244		3.27	340.2	
	This study	PSVRL	16.3	Waianae Series-HN02		2.97		2.9	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4245	i	6.4		75.4	5	21.4	Ma	0.15	555	-158.2				PSVRL: 4245		3.27	355.7	
	This study	PSVRL	14.2	Waianae Series-HN03		2.97		2.2	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4246	i	9.3		73.1	4	21.4	Ma	0.15	999.9	-158.2				PSVRL: 4246		3.27	348.2	
	This study	PSVRL	10.2	Waianae Series-HN04		2.97		3.7	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4247	i	5.6		72.7	4	21.4	Ma	0.15	474	-158.2				PSVRL: 4247		3.27	2.5	
	This study	PSVRL	47.1	Waianae Series-HN05		2.97		2.8	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4248	i	34.6		58	5	21.4	Ma	0.15	613	-158.2				PSVRL: 4248		3.27	272.4	
	This study	PSVRL	45.6	Waianae Series-HN06		2.97		5	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4249	i	39.1		54.1	5	21.4	Ma	0.15	190	-158.2				PSVRL: 4249		3.27	274.9	
	This study	PSVRL	41	Waianae Series-HN07		2.97		4.9	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4250	i	32.8		59.7	6	21.4	Ma	0.15	158	-158.2				PSVRL: 4250		3.27	281.7	
	This study	PSVRL	32.2	Waianae Series-HN08		2.97		6.9	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4251	i	3.3		84.9	3	21.4	Ma	0.15	439	-158.2				PSVRL: 4251		3.27	343.4	
	This study	PSVRL	43.7	Waianae Series-HN09		2.97		4.7	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4252	i	2.3		85.4	4	21.4	Ma	0.15	290	-158.2				PSVRL: 4252		3.27	228.8	
	This study	PSVRL	19.9	Waianae Series-HN11		2.97		3.7	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4253	i	2.1		78.6	5	21.4	Ma	0.15	334	-158.2				PSVRL: 4253		3.27	11.2	
	This study	PSVRL	14.9	Waianae Series-HN12		2.97		6.1	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4254	i	2		75.9	4	21.4	Ma	0.15	172	-158.2				PSVRL: 4254		3.27	13.5	
	This study	PSVRL	13.4	Waianae Series-HN13		2.97		9.1	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4255	i	0.6		75.3	4	21.4	Ma	0.15	77	-158.2				PSVRL: 4255		3.27	19.3	
	This study	PSVRL	13.5	Waianae Series-HN14		2.97		13.6	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4256	i	13.2		70.5	4	21.4	Ma	0.15	35	-158.2				PSVRL: 4256		3.27	338.2	
	This study	PSVRL	15	Waianae Series-HN16		2.97		3.8	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4257	i	2.9		75.8	6	21.4	Ma	0.15	263	-158.2				PSVRL: 4257		3.27	9.8	
	This study	PSVRL	19.3	Waianae Series-HN17		2.97		5.5	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4258	i	1.3		78.4	4	21.4	Ma	0.15	210	-158.2				PSVRL: 4258		3.27	15.3	
	This study	PSVRL	16.7	Waianae Series-HN18		2.97		2.8	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4259	i	1.6		76.9	5	21.4	Ma	0.15	578	-158.2				PSVRL: 4259		3.27	14.6	
	This study	PSVRL	18.6	Waianae Series-HN19		2.97		5.9	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4260	i	1.7		77.9	6	21.4	Ma	0.15	109	-158.2				PSVRL: 4260		3.27	13.6	
	This study	PSVRL	19.4	Waianae Series-HN20		2.97		4.6	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4261	i	1.2		78.4	5	21.4	Ma	0.15	226	-158.2				PSVRL: 4261		3.27	15.8	
	This study	PSVRL	17.7	Waianae Series-HN21		2.97		4	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4262	i	2		77.4	5	21.4	Ma	0.15	290	-158.2				PSVRL: 4262		3.27	12.6	
	This study	PSVRL	20	Waianae Series-HN22		2.97		5.5	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4263	i	2.9		78.5	5	21.4	Ma	0.15	158	-158.2				PSVRL: 4263		3.27	7.3	
	This study	PSVRL	15.6	Waianae Series-HN23		2.97		4.1	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4264	i	3.8		76	5	21.4	Ma	0.15	274	-158.2				PSVRL: 4264		3.27	5.9	
	This study	PSVRL	19.4	Waianae Series-HN24		2.97		2.2	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4265	i	2.1		78.3	5	21.4	Ma	0.15	999.9	-158.2				PSVRL: 4265		3.27	11.4	
	This study	PSVRL	16	Waianae Series-HN25		2.97		1.5	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4266	i	1.2		76.6	9	21.4	Ma	0.15	984	-158.2				PSVRL: 4266		3.27	16.5	
	This study	PSVRL	14.8	Waianae Series-HN26		2.97		2.8	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4267	i	2.1		75.9	5	21.4	Ma	0.15	602	-158.2				PSVRL: 4267		3.27	13.1	
	This study	PSVRL	20.8	Waianae Series-HN27		2.97		4.3	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4268	i	5.4		78.1	5	21.4	Ma	0.15	257	-158.2				PSVRL: 4268		3.27	355.2	
	This study	PSVRL	19	Waianae Series-HN28		2.97		5.3	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4269	i	7.6		76.2	5	21.4	Ma	0.15	170	-158.2				PSVRL: 4269		3.27	348.7	
	This study	PSVRL	18.8	Waianae Series-HN29		2.97		1.4	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4270	i	346.7		72.6	5	21.4	Ma	0.15	999.9	-158.2				PSVRL: 4270		3.27	70.9	
	This study	PSVRL	14.9	Waianae Series-HN30		2.97		6.8	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4271	i	343.6		68.9	3	21.4	Ma	0.15	217	-158.2				PSVRL: 4271		3.27	72.8	
	This study	PSVRL	10.5	Waianae Series-HN31		2.97		3.6	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4272	i	9.9		71.2	5	21.4	Ma	0.15	354	-158.2				PSVRL: 4272		3.27	349.7	
	This study	PSVRL	11.7	Waianae Series-HN32		2.97		4	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4273	i	3.6		74	5	21.4	Ma	0.15	298	-158.2				PSVRL: 4273		3.27	8.5	
	This study	PSVRL	11.5	Waianae Series-HN33		2.97		6.1	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4274	i	5.1		73.5	4	21.4	Ma	0.15	171	-158.2				PSVRL: 4274		3.27	3.5	
	This study	PSVRL	13.8	Waianae Series-HN34		2.97		10.1	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4275	i	9.2		72.9	4	21.4	Ma	0.15	62	-158.2				PSVRL: 4275		3.27	348.8	
	This study	PSVRL	17.3	Waianae Series-HN35		2.97		3.1	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4276	i	7.1		75.6	5	21.4	Ma	0.15	485	-158.2				PSVRL: 4276		3.27	352.3	
	This study	PSVRL	26.4	Waianae Series-HN36		2.97		4.9	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4277	i	5.6		80.7	4	21.4	Ma	0.15	259	-158.2				PSVRL: 4277		3.27	345.6	
	This study	PSVRL	26.5	Waianae Series-HN37		2.97		4.8	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4278	i	356.1		81.6	4	21.4	Ma	0.15	275	-158.2				PSVRL: 4278		3.27	48.7	
	This study	PSVRL	23.6	Waianae Series-HN38		2.97		8.3	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4279	i	359.5		80.8	3	21.4	Ma	0.15	147	-158.2				PSVRL: 4279		3.27	24.8	
	This study	PSVRL	31.5	Waianae Series-HN39		2.97		4	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4280	i	353.5		82.4	5	21.4	Ma	0.15	289	-158.2				PSVRL: 4280		3.27	76.8	
	This study	PSVRL	33.3	Waianae Series-HN41		2.97		3.5	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4281	i	356.9		85.6	5	21.4	Ma	0.15	377	-158.2				PSVRL: 4281		3.27	63.7	
	This study	PSVRL	32	Waianae Series-HN42		2.97		3.6	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4282	i	3.9		84.5	5	21.4	Ma	0.15	360	-158.2				PSVRL: 4282		3.27	339.5	
	This study	PSVRL	29.3	Waianae Series-HN43		2.97		5.6	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4283	i	20.7		69.5	5	21.4	Ma	0.15	148	-158.2				PSVRL: 4283		3.27	304.7	
	This study	PSVRL	35.6	Waianae Series-HN44		2.97		4	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4284	i	354.9		85	5	21.4	Ma	0.15	297	-158.2				PSVRL: 4284		3.27	92	
	This study	PSVRL	35.3	Waianae Series-HN45		2.97		4.8	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4285	i	15.9		75	6	21.4	Ma	0.15	215	-158.2				PSVRL: 4285		3.27	296.5	
	This study	PSVRL	29	Waianae Series-HN46		2.97		4.1	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4286	i	354.1		81.8	5	21.4	Ma	0.15	279	-158.2				PSVRL: 4286		3.27	65.7	
	This study	PSVRL	29.2	Waianae Series-HN47		2.97		2.9	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4287	i	355.8		82.9	4	21.4	Ma	0.15	736	-158.2				PSVRL: 4287		3.27	56.5	
	This study	PSVRL	25.8	Waianae Series-HN48		2.97		2.3	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4288	i	359.4		82.1	6	21.4	Ma	0.15	681	-158.2				PSVRL: 4288		3.27	26	
	This study	PSVRL	27.7	Waianae Series-HN49		2.97		2	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4289	i	357.4		82.7	7	21.4	Ma	0.15	784	-158.2				PSVRL: 4289		3.27	42.2	
	This study	PSVRL	29.2	Waianae Series-HN50		2.97		4.4	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4290	i	358.5		83.9	5	21.4	Ma	0.15	240	-158.2				PSVRL: 4290		3.27	35.6	
	This study	PSVRL	26.2	Waianae Series-HN51		2.97		4.9	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4291	i	358.5		82.2	5	21.4	Ma	0.15	198	-158.2				PSVRL: 4291		3.27	32.5	
	This study	PSVRL	26.7	Waianae Series-HN52		2.97		9.9	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4292	i	357.1		82.1	4	21.4	Ma	0.15	63.3	-158.2				PSVRL: 4292		3.27	42.9	
	This study	PSVRL	32.4	Waianae Series-HN53		2.97		5.9	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4293	i	2.7		85.3	5	21.4	Ma	0.15	137	-158.2				PSVRL: 4293		3.27	348.1	
	This study	PSVRL	43	Waianae Series-HN54		2.97		5.1	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4294	i	1.8		86.1	5	21.4	Ma	0.15	179	-158.2				PSVRL: 4294		3.27	226.7	
	This study	PSVRL	25.4	Waianae Series-HN55		2.97		4.5	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4295	i	3.2		81.3	4	21.4	Ma	0.15	318	-158.2				PSVRL: 4295		3.27	0.6	
	This study	PSVRL	24.2	Waianae Series-HN56		2.97		4.1	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4296	i	359.7		81.2	6	21.4	Ma	0.15	222	-158.2				PSVRL: 4296		3.27	23.6	
	This study	PSVRL	26.1	Waianae Series-HN57		2.97		6.4	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4297	i	0.1		82.3	5	21.4	Ma	0.15	114	-158.2				PSVRL: 4297		3.27	20.9	
	This study	PSVRL	40	Waianae Series-KA48		2.97		5.5	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4298	i	11		79.7	8	21.4	Ma	0.15	91	-158.2				PSVRL: 4298		3.27	282.3	
	This study	PSVRL	36	Waianae Series-KA47		2.97		6.8	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4299	i	11.4		79.3	6	21.4	Ma	0.15	81	-158.2				PSVRL: 4299		3.27	297.3	
	This study	PSVRL	27.4	Waianae Series-KA46		2.97		4.8	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4300	i	357.3		82.7	5	21.4	Ma	0.15	207	-158.2				PSVRL: 4300		3.27	42.4	
	This study	PSVRL	26.9	Waianae Series-KA45		2.97		3.2	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4301	i	358.6		82.7	7	21.4	Ma	0.15	304	-158.2				PSVRL: 4301		3.27	32.4	
	This study	PSVRL	24.2	Waianae Series-KA44		2.97		2.4	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4302	i	359.1		81.2	6	21.4	Ma	0.15	672	-158.2				PSVRL: 4302		3.27	27.9	
	This study	PSVRL	21.7	Waianae Series-KA43		2.97		5.4	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4303	i	5.1		78.8	7	21.4	Ma	0.15	109	-158.2				PSVRL: 4303		3.27	355.3	
	This study	PSVRL	22	Waianae Series-KA42		2.97		3.3	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4304	i	1.8		79.9	7	21.4	Ma	0.15	293	-158.2				PSVRL: 4304		3.27	11.6	
	This study	PSVRL	25.9	Waianae Series-KA41		2.97		6.1	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4305	i	0.4		82.3	6	21.4	Ma	0.15	101	-158.2				PSVRL: 4305		3.27	19.2	
	This study	PSVRL	22.3	Waianae Series-KA40		2.97		5.3	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4306	i	4.6		79.3	5	21.4	Ma	0.15	168	-158.2				PSVRL: 4306		3.27	356.7	
	This study	PSVRL	27.7	Waianae Series-KA39		2.97		2.6	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4307	i	1		83.2	5	21.4	Ma	0.15	680	-158.2				PSVRL: 4307		3.27	13.9	
	This study	PSVRL	32.9	Waianae Series-KA38		2.97		7.2	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4308	i	0.7		86.4	5	21.4	Ma	0.15	92	-158.2				PSVRL: 4308		3.27	10.8	
	This study	PSVRL	28.2	Waianae Series-KA37		2.97		4	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4309	i	359.9		83.6	5	21.4	Ma	0.15	292	-158.2				PSVRL: 4309		3.27	22.6	
	This study	PSVRL	21.2	Waianae Series-KA36		2.97		4	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4310	i	2.8		79.2	5	21.4	Ma	0.15	363	-158.2				PSVRL: 4310		3.27	7.1	
	This study	PSVRL	23.6	Waianae Series-KA35		2.97		4.6	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4311	i	3.3		80.4	6	21.4	Ma	0.15	23	-158.2				PSVRL: 4311		3.27	2.3	
	This study	PSVRL	38.9	Waianae Series-KA34		2.97		3	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4312	i	2		83.7	8	21.4	Ma	0.15	307	-158.2				PSVRL: 4312		3.27	3.6	
	This study	PSVRL	30.9	Waianae Series-KA33		2.97		6	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4313	i	359		85.1	6	21.4	Ma	0.15	103	-158.2				PSVRL: 4313		3.27	33	
	This study	PSVRL	46.6	Waianae Series-KA32		2.97		6.4	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4314	i	0.7		83.5	6	21.4	Ma	0.15	93	-158.2				PSVRL: 4314		3.27	208	
	This study	PSVRL	34.2	Waianae Series-KA31		2.97		4.9	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4315	i	3.1		86	5	21.4	Ma	0.15	194	-158.2				PSVRL: 4315		3.27	333.4	
	This study	PSVRL	39.8	Waianae Series-KA30		2.97		8.7	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4316	i	358.5		88.1	6	21.4	Ma	0.15	50	-158.2				PSVRL: 4316		3.27	153	
	This study	PSVRL	37	Waianae Series-KA29		2.97		5.2	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4317	i	349.4		80.7	6	21.4	Ma	0.15	140	-158.2				PSVRL: 4317		3.27	112.3	
	This study	PSVRL	36.5	Waianae Series-KA28		2.97		6.3	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4318	i	357.9		87.8	9	21.4	Ma	0.15	60	-158.2				PSVRL: 4318		3.27	83.6	
	This study	PSVRL	13	Waianae Series-KA27		2.97		7.3	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4319	i	6.3		74	3	21.4	Ma	0.15	189	-158.2				PSVRL: 4319		3.27	358.6	
	This study	PSVRL	45.5	Waianae Series-KA26		2.97		4.5	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4320	i	359.8		84.4	7	21.4	Ma	0.15	158	-158.2				PSVRL: 4320		3.27	199.5	
	This study	PSVRL	30	Waianae Series-KA25		2.97		6.5	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4321	i	0.1		84.7	6	21.4	Ma	0.15	88	-158.2				PSVRL: 4321		3.27	21.1	
	This study	PSVRL	23.4	Waianae Series-KA24		2.97		16.7	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4322	i	359.2		80.8	5	21.4	Ma	0.15	18	-158.2				PSVRL: 4322		3.27	26.4	
	This study	PSVRL	17.7	Waianae Series-KA23		2.97		5.9	GM-KAR:LP-DC4:LP-DIR					3.12	PSVRL record taken as is	Hawaii			4323	i	5.9		76.4	4	21.4	Ma	0.15	183	-158.2				PSVRL: 4323		3.27	356	
