Generated using GEOMAGIA50.v3.2 on Mar/29/2018
Age[yr.AD],Sigma-ve[yr.],Sigma+ve[yr.],SigmaAgeID,N_Ba,n_Ba[meas.],n_Ba[acc.],Ba[microT],SigmaBa[microT],VDM[E22_AmE2],SigmaVDM[E22_AmE2],N_Dir,n_Dir[meas.],n_Dir[acc.],Dec[deg.],Inc[deg.],Alpha95[deg.],K,MaxAF[mT],MaxTemp[deg.C],PubDataID,SiteName,LocationName,SiteLat[deg.],SiteLon[deg.],CountryRegionID,ArcheoVolcanic,MatID,PIMethID,AltMonID,MDMonID,CoolRID,AnisoID,DirMethID,DirAnalysisID,DatMethID,SpecTypeID,RefID,CompilationID,UploadMonth,UploadYear,Uploader,Editor,LastEditDate,C14ID,UID
        1882,       -9999,       -9999,           1,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,        -999,      353.80,       50.50,        4.30,     -999.00,        -999,        -999,-999,1882 Flow,Mount Etna,     37.7510,     14.9958,          11,Volcanic,           4,          -1,          -1,          -1,           0,           0,           0,           0,105,           3,          36,1005,-999,2009,Fabio Donadini,Maxwell Brown,24/07/2017,-1,871
        1886,       -9999,       -9999,           1,           1,        -999,           5,       43.00,        2.90,        8.34,        0.56,           1,        -999,           5,      351.00,       49.80,        0.90,    24197.53,        -999,        -999,-999,1886 Flow,Mount Etna,     37.7510,     14.9958,          11,Volcanic,           4,           6,           3,          -1,           0,           0,           0,           0,105,           3,          36,1001;1006;1010,-999,2007,Fabio Donadini,Maxwell Brown,24/07/2017,-1,872
        1886,       -9999,       -9999,           1,           1,        -999,           1,       46.90,        0.90,        9.10,     -999.00,           5,        -999,        -999,      351.00,       49.80,        0.90,     4839.51,        -999,        -999,-999,1886 Flow,Mount Etna,     37.7500,     15.0000,          11,Volcanic,           4,           0,           0,           0,           0,           0,           0,           0,105,           0,         389,1010,-999,2009,Fabio Donadini,-999,-999,-1,7547
        1886,           5,           5,           1,           1,        -999,           2,       34.00,        4.30,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,1886,-999,Mount Etna,     37.5000,     14.0000,          11,Volcanic,           4,           7,           1,          -1,          -1,           1,           0,           0,105,           3,         142,1001;1006;1011,-999,2007,Fabio Donadini,-999,-999,-1,3487
        1886,           5,           5,           1,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,        -999,      348.50,       51.70,        2.20,     -999.00,        -999,        -999,-999,E33,Mount Etna,     37.7500,     15.0000,          11,Volcanic,           4,          -1,          -1,          -1,          -1,          -1,           0,           0,105,           0,         185,1005,-999,2009,Fabio Donadini,-999,-999,-1,3801
        1892,           5,           5,           1,           1,        -999,           3,       36.20,        3.10,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,1892,-999,Mount Etna,     37.5000,     14.0000,          11,Volcanic,           4,           7,           1,          -1,          -1,           1,           0,           0,105,           3,         142,1001;1006;1011,-999,2007,Fabio Donadini,-999,-999,-1,3488
        1910,           5,           5,           1,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,          10,        -999,        -999,      352.50,       51.30,        1.40,     1000.00,        -999,        -999,-999,1910 Flow South Flank,Mount Etna,     37.7500,     15.0000,          11,Volcanic,           4,          -1,          -1,          -1,          -1,          -1,           0,           0,105,           0,         258,1001;1005,-999,2009,Fabio Donadini,-999,-999,-1,5662
        1910,           0,           0,           1,           1,        -999,           7,       42.00,        5.00,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,-999,1910 Flow,Mount Etna,     37.7500,     15.0000,          11,Volcanic,           4,           6,          -1,          -1,          -1,          -1,           0,           0,105,           1,          80,1001;1006;1010;1011,-999,2007,Fabio Donadini,Maxwell Brown,24/07/2017,-1,2364
        1910,       -9999,       -9999,           1,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,        -999,      355.80,       50.70,        2.50,     -999.00,        -999,        -999,-999,1910 Flow,Mount Etna,     37.7510,     14.9958,          11,Volcanic,           4,          -1,          -1,          -1,           0,           0,           0,           0,105,           3,          36,1005,-999,2009,Fabio Donadini,Maxwell Brown,24/07/2017,-1,873
        1910,           5,           5,           1,           1,        -999,           4,       39.93,        7.88,        7.81,        1.54,           1,        -999,           6,      356.10,       49.00,        2.90,     2330.56,        -999,        -999,-999,1910 Flow,Mount Etna,     37.7000,     15.0000,          11,Volcanic,           4,           2,           1,          -1,          -1,          -1,           0,           0,105,           1,          56,1001;1006,-999,2007,Fabio Donadini,-999,-999,-1,1398
        1910,           5,           5,           1,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,        -999,      351.90,       51.60,        2.80,     -999.00,        -999,        -999,-999,E35,Mount Etna,     37.7500,     15.0000,          11,Volcanic,           4,          -1,          -1,          -1,          -1,          -1,           0,           0,105,           0,         185,1005,-999,2009,Fabio Donadini,-999,-999,-1,3802
        1911,       -9999,       -9999,           1,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,        -999,        0.70,       52.30,        3.80,     -999.00,        -999,        -999,-999,1911 Flow,Mount Etna,     37.7510,     14.9958,          11,Volcanic,           4,          -1,          -1,          -1,           0,           0,           0,           0,105,           3,          36,1005,-999,2009,Fabio Donadini,Maxwell Brown,24/07/2017,-1,874
        1911,       -9999,       -9999,           1,           1,        -999,           1,       44.00,        0.90,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,-999,1911 Flow,Mount Etna,     37.7500,     15.0000,          11,Volcanic,           4,           0,           0,           0,           0,           0,           0,           0,105,           0,         389,1010,-999,2009,Fabio Donadini,-999,-999,-1,7548
        1911,           5,           5,           1,           2,        -999,           5,       38.75,        2.47,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,1911,-999,Mount Etna,     37.5000,     14.0000,          11,Volcanic,           4,           7,           1,          -1,          -1,           1,           0,           0,105,           3,         142,1001;1006;1010;1011,-999,2007,Fabio Donadini,-999,-999,-1,3489
        1923,       -9999,       -9999,           1,           1,        -999,           5,       48.20,        5.80,        9.23,        1.11,           1,        -999,           5,      357.20,       50.90,        3.20,     1914.06,        -999,        -999,-999,1923 Flow,Mount Etna,     37.7510,     14.9958,          11,Volcanic,           4,           6,           3,          -1,           0,           0,           0,           0,105,           3,          36,1001;1006;1010,-999,2007,Fabio Donadini,Maxwell Brown,24/07/2017,-1,875
        1923,           5,           5,           1,           2,        -999,           5,       38.00,       13.15,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,1923,-999,Mount Etna,     37.5000,     14.0000,          11,Volcanic,           4,           7,           1,          -1,          -1,           1,           0,           0,105,           3,         142,1001;1006;1010;1011,-999,2007,Fabio Donadini,-999,-999,-1,3490
        1928,       -9999,       -9999,           1,           1,        -999,           5,       44.00,       11.60,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,-999,1928 Flow,Mount Etna,     37.7510,     14.9958,          11,Volcanic,           4,           6,           3,          -1,           0,           0,           0,           0,105,           3,          36,1001;1006;1010,-999,2007,Fabio Donadini,Maxwell Brown,24/07/2017,-1,838
        1928,           5,           5,           1,           1,        -999,          16,       45.21,       10.13,        8.85,        1.98,           1,        -999,           6,      356.10,       49.00,        2.90,     2330.56,        -999,        -999,-999,1928 Flow,Mount Etna,     37.7000,     15.0000,          11,Volcanic,           4,           2,           1,          -1,          -1,          -1,           0,           0,105,           1,          56,1001;1006,-999,2007,Fabio Donadini,-999,-999,-1,1399
        1928,       -9999,       -9999,           1,           1,        -999,           1,       39.20,        0.30,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,-999,1928 Flow,Mount Etna,     37.7500,     15.0000,          11,Volcanic,           4,           0,           0,           0,           0,           0,           0,           0,105,           0,         389,1010,-999,2009,Fabio Donadini,-999,-999,-1,7549
