tab 	measurements
citations	experiment	experiments	location	meas_orient_phi	meas_orient_theta	meas_temp	measurement	method_codes	quality	sample	site	software_packages	specimen	standard	susc_chi_volume	treat_temp
This study	1080.000:LP-AN-MS	east-d1:LP-AN-MS	Troodos	270.0	-45.0	2.730e+02	7	LP-X	g	east-d	east-	pmagpy-3.22.1	east-d1	u	0.0010570000	2.730e+02
This study	1080.000:LP-AN-MS	east-d1:LP-AN-MS	Troodos	270.0	0.0	2.730e+02	8	LP-X	g	east-d	east-	pmagpy-3.22.1	east-d1	u	0.0010570000	2.730e+02
This study	1080.000:LP-AN-MS	east-d1:LP-AN-MS	Troodos	270.0	45.0	2.730e+02	9	LP-X	g	east-d	east-	pmagpy-3.22.1	east-d1	u	0.0010770000	2.730e+02
This study	1080.000:LP-AN-MS	east-d1:LP-AN-MS	Troodos	90.0	45.0	2.730e+02	10	LP-X	g	east-d	east-	pmagpy-3.22.1	east-d1	u	0.0010570000	2.730e+02
This study	1080.000:LP-AN-MS	east-d1:LP-AN-MS	Troodos	180.0	45.0	2.730e+02	11	LP-X	g	east-d	east-	pmagpy-3.22.1	east-d1	u	0.0010800000	2.730e+02
This study	1080.000:LP-AN-MS	east-d1:LP-AN-MS	Troodos	180.0	-45.0	2.730e+02	12	LP-X	g	east-d	east-	pmagpy-3.22.1	east-d1	u	0.0010670000	2.730e+02
This study	1080.000:LP-AN-MS	east-d1:LP-AN-MS	Troodos	0.0	-90.0	2.730e+02	13	LP-X	g	east-d	east-	pmagpy-3.22.1	east-d1	u	0.0010770000	2.730e+02
This study	1080.000:LP-AN-MS	east-d1:LP-AN-MS	Troodos	0.0	-45.0	2.730e+02	14	LP-X	g	east-d	east-	pmagpy-3.22.1	east-d1	u	0.0010800000	2.730e+02
This study	1080.000:LP-AN-MS	east-d1:LP-AN-MS	Troodos	0.0	45.0	2.730e+02	15	LP-X	g	east-d	east-	pmagpy-3.22.1	east-d1	u	0.0010660000	2.730e+02
This study	1001.000:LP-AN-MS	east-e1:LP-AN-MS	Troodos	315.0	0.0	2.730e+02	1	LP-X	g	east-e	east-	pmagpy-3.22.1	east-e1	u	0.0009790000	2.730e+02
This study	1001.000:LP-AN-MS	east-e1:LP-AN-MS	Troodos	225.0	0.0	2.730e+02	2	LP-X	g	east-e	east-	pmagpy-3.22.1	east-e1	u	0.0010010000	2.730e+02
This study	1001.000:LP-AN-MS	east-e1:LP-AN-MS	Troodos	180.0	0.0	2.730e+02	3	LP-X	g	east-e	east-	pmagpy-3.22.1	east-e1	u	0.0010020000	2.730e+02
This study	1001.000:LP-AN-MS	east-e1:LP-AN-MS	Troodos	135.0	0.0	2.730e+02	4	LP-X	g	east-e	east-	pmagpy-3.22.1	east-e1	u	0.0009770000	2.730e+02
This study	1001.000:LP-AN-MS	east-e1:LP-AN-MS	Troodos	45.0	0.0	2.730e+02	5	LP-X	g	east-e	east-	pmagpy-3.22.1	east-e1	u	0.0010000000	2.730e+02
This study	1001.000:LP-AN-MS	east-e1:LP-AN-MS	Troodos	90.0	-45.0	2.730e+02	6	LP-X	g	east-e	east-	pmagpy-3.22.1	east-e1	u	0.0009840000	2.730e+02
This study	1001.000:LP-AN-MS	east-e1:LP-AN-MS	Troodos	270.0	-45.0	2.730e+02	7	LP-X	g	east-e	east-	pmagpy-3.22.1	east-e1	u	0.0009830000	2.730e+02
This study	1001.000:LP-AN-MS	east-e1:LP-AN-MS	Troodos	270.0	0.0	2.730e+02	8	LP-X	g	east-e	east-	pmagpy-3.22.1	east-e1	u	0.0009760000	2.730e+02
This study	1001.000:LP-AN-MS	east-e1:LP-AN-MS	Troodos	270.0	45.0	2.730e+02	9	LP-X	g	east-e	east-	pmagpy-3.22.1	east-e1	u	0.0009840000	2.730e+02
This study	1001.000:LP-AN-MS	east-e1:LP-AN-MS	Troodos	90.0	45.0	2.730e+02	10	LP-X	g	east-e	east-	pmagpy-3.22.1	east-e1	u	0.0009830000	2.730e+02
This study	1001.000:LP-AN-MS	east-e1:LP-AN-MS	Troodos	180.0	45.0	2.730e+02	11	LP-X	g	east-e	east-	pmagpy-3.22.1	east-e1	u	0.0010010000	2.730e+02
This study	1001.000:LP-AN-MS	east-e1:LP-AN-MS	Troodos	180.0	-45.0	2.730e+02	12	LP-X	g	east-e	east-	pmagpy-3.22.1	east-e1	u	0.0009930000	2.730e+02
This study	1001.000:LP-AN-MS	east-e1:LP-AN-MS	Troodos	0.0	-90.0	2.730e+02	13	LP-X	g	east-e	east-	pmagpy-3.22.1	east-e1	u	0.0009910000	2.730e+02
This study	1001.000:LP-AN-MS	east-e1:LP-AN-MS	Troodos	0.0	-45.0	2.730e+02	14	LP-X	g	east-e	east-	pmagpy-3.22.1	east-e1	u	0.0010010000	2.730e+02
This study	1001.000:LP-AN-MS	east-e1:LP-AN-MS	Troodos	0.0	45.0	2.730e+02	15	LP-X	g	east-e	east-	pmagpy-3.22.1	east-e1	u	0.0009930000	2.730e+02
This study	1278.000:LP-AN-MS	west-g1:LP-AN-MS	Troodos	315.0	0.0	2.730e+02	1	LP-X	g	west-g	west-	pmagpy-3.22.1	west-g1	u	0.0012770000	2.730e+02
This study	1278.000:LP-AN-MS	west-g1:LP-AN-MS	Troodos	225.0	0.0	2.730e+02	2	LP-X	g	west-g	west-	pmagpy-3.22.1	west-g1	u	0.0012420000	2.730e+02
This study	1278.000:LP-AN-MS	west-g1:LP-AN-MS	Troodos	180.0	0.0	2.730e+02	3	LP-X	g	west-g	west-	pmagpy-3.22.1	west-g1	u	0.0012890000	2.730e+02
This study	1278.000:LP-AN-MS	west-g1:LP-AN-MS	Troodos	135.0	0.0	2.730e+02	4	LP-X	g	west-g	west-	pmagpy-3.22.1	west-g1	u	0.0012750000	2.730e+02
This study	1278.000:LP-AN-MS	west-g1:LP-AN-MS	Troodos	45.0	0.0	2.730e+02	5	LP-X	g	west-g	west-	pmagpy-3.22.1	west-g1	u	0.0012410000	2.730e+02
This study	1278.000:LP-AN-MS	west-g1:LP-AN-MS	Troodos	90.0	-45.0	2.730e+02	6	LP-X	g	west-g	west-	pmagpy-3.22.1	west-g1	u	0.0012340000	2.730e+02
This study	1278.000:LP-AN-MS	west-g1:LP-AN-MS	Troodos	270.0	-45.0	2.730e+02	7	LP-X	g	west-g	west-	pmagpy-3.22.1	west-g1	u	0.0012570000	2.730e+02
This study	1278.000:LP-AN-MS	west-g1:LP-AN-MS	Troodos	270.0	0.0	2.730e+02	8	LP-X	g	west-g	west-	pmagpy-3.22.1	west-g1	u	0.0012290000	2.730e+02
This study	1278.000:LP-AN-MS	west-g1:LP-AN-MS	Troodos	270.0	45.0	2.730e+02	9	LP-X	g	west-g	west-	pmagpy-3.22.1	west-g1	u	0.0012350000	2.730e+02
This study	1278.000:LP-AN-MS	west-g1:LP-AN-MS	Troodos	90.0	45.0	2.730e+02	10	LP-X	g	west-g	west-	pmagpy-3.22.1	west-g1	u	0.0012580000	2.730e+02
This study	1278.000:LP-AN-MS	west-g1:LP-AN-MS	Troodos	180.0	45.0	2.730e+02	11	LP-X	g	west-g	west-	pmagpy-3.22.1	west-g1	u	0.0012780000	2.730e+02
This study	1278.000:LP-AN-MS	west-g1:LP-AN-MS	Troodos	180.0	-45.0	2.730e+02	12	LP-X	g	west-g	west-	pmagpy-3.22.1	west-g1	u	0.0012740000	2.730e+02
This study	1278.000:LP-AN-MS	west-g1:LP-AN-MS	Troodos	0.0	-90.0	2.730e+02	13	LP-X	g	west-g	west-	pmagpy-3.22.1	west-g1	u	0.0012630000	2.730e+02
This study	1278.000:LP-AN-MS	west-g1:LP-AN-MS	Troodos	0.0	-45.0	2.730e+02	14	LP-X	g	west-g	west-	pmagpy-3.22.1	west-g1	u	0.0012770000	2.730e+02
This study	1278.000:LP-AN-MS	west-g1:LP-AN-MS	Troodos	0.0	45.0	2.730e+02	15	LP-X	g	west-g	west-	pmagpy-3.22.1	west-g1	u	0.0012740000	2.730e+02
This study	1272.000:LP-AN-MS	west-h1:LP-AN-MS	Troodos	315.0	0.0	2.730e+02	1	LP-X	g	west-h	west-	pmagpy-3.22.1	west-h1	u	0.0012730000	2.730e+02
This study	1272.000:LP-AN-MS	west-h1:LP-AN-MS	Troodos	225.0	0.0	2.730e+02	2	LP-X	g	west-h	west-	pmagpy-3.22.1	west-h1	u	0.0012300000	2.730e+02
This study	1272.000:LP-AN-MS	west-h1:LP-AN-MS	Troodos	180.0	0.0	2.730e+02	3	LP-X	g	west-h	west-	pmagpy-3.22.1	west-h1	u	0.0012680000	2.730e+02
This study	1272.000:LP-AN-MS	west-h1:LP-AN-MS	Troodos	135.0	0.0	2.730e+02	4	LP-X	g	west-h	west-	pmagpy-3.22.1	west-h1	u	0.0012720000	2.730e+02
This study	1272.000:LP-AN-MS	west-h1:LP-AN-MS	Troodos	45.0	0.0	2.730e+02	5	LP-X	g	west-h	west-	pmagpy-3.22.1	west-h1	u	0.0012300000	2.730e+02
This study	1272.000:LP-AN-MS	west-h1:LP-AN-MS	Troodos	90.0	-45.0	2.730e+02	6	LP-X	g	west-h	west-	pmagpy-3.22.1	west-h1	u	0.0012460000	2.730e+02
This study	1272.000:LP-AN-MS	west-h1:LP-AN-MS	Troodos	270.0	-45.0	2.730e+02	7	LP-X	g	west-h	west-	pmagpy-3.22.1	west-h1	u	0.0012550000	2.730e+02
This study	1272.000:LP-AN-MS	west-h1:LP-AN-MS	Troodos	270.0	0.0	2.730e+02	8	LP-X	g	west-h	west-	pmagpy-3.22.1	west-h1	u	0.0012360000	2.730e+02
This study	1272.000:LP-AN-MS	west-h1:LP-AN-MS	Troodos	270.0	45.0	2.730e+02	9	LP-X	g	west-h	west-	pmagpy-3.22.1	west-h1	u	0.0012460000	2.730e+02
This study	1272.000:LP-AN-MS	west-h1:LP-AN-MS	Troodos	90.0	45.0	2.730e+02	10	LP-X	g	west-h	west-	pmagpy-3.22.1	west-h1	u	0.0012540000	2.730e+02
This study	1272.000:LP-AN-MS	west-h1:LP-AN-MS	Troodos	180.0	45.0	2.730e+02	11	LP-X	g	west-h	west-	pmagpy-3.22.1	west-h1	u	0.0012720000	2.730e+02
This study	1272.000:LP-AN-MS	west-h1:LP-AN-MS	Troodos	180.0	-45.0	2.730e+02	12	LP-X	g	west-h	west-	pmagpy-3.22.1	west-h1	u	0.0012600000	2.730e+02
This study	1272.000:LP-AN-MS	west-h1:LP-AN-MS	Troodos	0.0	-90.0	2.730e+02	13	LP-X	g	west-h	west-	pmagpy-3.22.1	west-h1	u	0.0012640000	2.730e+02
This study	1272.000:LP-AN-MS	west-h1:LP-AN-MS	Troodos	0.0	-45.0	2.730e+02	14	LP-X	g	west-h	west-	pmagpy-3.22.1	west-h1	u	0.0012710000	2.730e+02
This study	1272.000:LP-AN-MS	west-h1:LP-AN-MS	Troodos	0.0	45.0	2.730e+02	15	LP-X	g	west-h	west-	pmagpy-3.22.1	west-h1	u	0.0012600000	2.730e+02
This study	1249.000:LP-AN-MS	west-i1:LP-AN-MS	Troodos	315.0	0.0	2.730e+02	1	LP-X	g	west-i	west-	pmagpy-3.22.1	west-i1	u	0.0012530000	2.730e+02
