tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
	This study	Africa	ak03c	ak03	ak03c		ak03c:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	291.2		g	87.1	9.648e-09	4	u	2.730e+02	0	4.000e-05	0.0	90.0	7.930e+02
	This study	Africa	ak03c	ak03	ak03c		ak03c:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	181.4		g	-9.4	9.632e-09	5	u	2.730e+02	0	4.000e-05	180.0	0.0	7.930e+02
	This study	Africa	ak03c	ak03	ak03c		ak03c:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.6	268.5		g	-5.4	1.092e-08	6	u	2.730e+02	0	4.000e-05	270.0	0.0	7.930e+02
	This study	Africa	ak03c	ak03	ak03c		ak03c:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	173.0		g	-86.1	1.159e-08	7	u	2.730e+02	0	4.000e-05	0.0	-90.0	7.930e+02
	This study	Africa	ak04a	ak04	ak04a		ak04a:LP-AN-TRM		LT-T-Z:LP-AN-TRM	pmagpy-4.2.8	0.2	158.8		g	-85.8	2.399e-09	1	u	2.730e+02	0	0.000e+00	0	0	7.930e+02
	This study	Africa	ak04a	ak04	ak04a		ak04a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	3.1		g	-7.1	2.389e-08	2	u	2.730e+02	0	4.000e-05	0.0	0.0	7.930e+02
	This study	Africa	ak04a	ak04	ak04a		ak04a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.5	89.0		g	-8.1	2.194e-08	3	u	2.730e+02	0	4.000e-05	90.0	0.0	7.930e+02
	This study	Africa	ak04a	ak04	ak04a		ak04a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	172.9		g	86.9	2.187e-08	4	u	2.730e+02	0	4.000e-05	0.0	90.0	7.930e+02
	This study	Africa	ak04a	ak04	ak04a		ak04a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	179.9		g	-4.6	2.360e-08	5	u	2.730e+02	0	4.000e-05	180.0	0.0	7.930e+02
	This study	Africa	ak04a	ak04	ak04a		ak04a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.6	266.2		g	-5.3	2.140e-08	6	u	2.730e+02	0	4.000e-05	270.0	0.0	7.930e+02
	This study	Africa	ak04a	ak04	ak04a		ak04a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	261.2		g	-89.9	2.627e-08	7	u	2.730e+02	0	4.000e-05	0.0	-90.0	7.930e+02
	This study	Africa	ak04b	ak04	ak04b		ak04b:LP-AN-TRM		LT-T-Z:LP-AN-TRM	pmagpy-4.2.8	0.5	140.7		g	-86.6	5.783e-10	1	u	2.730e+02	0	0.000e+00	0	0	7.930e+02
	This study	Africa	ak04b	ak04	ak04b		ak04b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	5.2		g	-5.5	6.173e-09	2	u	2.730e+02	0	4.000e-05	0.0	0.0	7.930e+02
	This study	Africa	ak04b	ak04	ak04b		ak04b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.5	85.7		g	-8.4	5.810e-09	3	u	2.730e+02	0	4.000e-05	90.0	0.0	7.930e+02
	This study	Africa	ak04b	ak04	ak04b		ak04b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	46.9		g	88.2	5.863e-09	4	u	2.730e+02	0	4.000e-05	0.0	90.0	7.930e+02
	This study	Africa	ak04b	ak04	ak04b		ak04b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	180.0		g	-5.1	6.115e-09	5	u	2.730e+02	0	4.000e-05	180.0	0.0	7.930e+02
	This study	Africa	ak04b	ak04	ak04b		ak04b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.6	267.2		g	-3.6	5.632e-09	6	u	2.730e+02	0	4.000e-05	270.0	0.0	7.930e+02
	This study	Africa	ak04b	ak04	ak04b		ak04b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	0.7		g	-87.8	6.910e-09	7	u	2.730e+02	0	4.000e-05	0.0	-90.0	7.930e+02
	This study	Africa	ak04c	ak04	ak04c		ak04c:LP-AN-TRM		LT-T-Z:LP-AN-TRM	pmagpy-4.2.8	0.3	184.6		g	-81.2	1.555e-09	1	u	2.730e+02	0	0.000e+00	0	0	7.930e+02
	This study	Africa	ak04c	ak04	ak04c		ak04c:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	0.7		g	-3.4	1.800e-08	2	u	2.730e+02	0	4.000e-05	0.0	0.0	7.930e+02
	This study	Africa	ak04c	ak04	ak04c		ak04c:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.6	85.6		g	-6.3	1.651e-08	3	u	2.730e+02	0	4.000e-05	90.0	0.0	7.930e+02
	This study	Africa	ak04c	ak04	ak04c		ak04c:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	31.9		g	89.1	1.506e-08	4	u	2.730e+02	0	4.000e-05	0.0	90.0	7.930e+02
	This study	Africa	ak04c	ak04	ak04c		ak04c:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	181.6		g	-6.2	1.819e-08	5	u	2.730e+02	0	4.000e-05	180.0	0.0	7.930e+02
	This study	Africa	ak04c	ak04	ak04c		ak04c:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.6	271.9		g	-4.7	1.615e-08	6	u	2.730e+02	0	4.000e-05	270.0	0.0	7.930e+02
	This study	Africa	ak04c	ak04	ak04c		ak04c:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	218.2		g	-88.4	1.798e-08	7	u	2.730e+02	0	4.000e-05	0.0	-90.0	7.930e+02
	This study	Africa	ak04d	ak04	ak04d		ak04d:LP-AN-TRM		LT-T-Z:LP-AN-TRM	pmagpy-4.2.8	0.3	170.3		g	-86.3	1.302e-09	1	u	2.730e+02	0	0.000e+00	0	0	7.930e+02
