tab 	specimens
analysts	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_s	aniso_s_mean	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b	int_b_beta	int_b_sigma	int_corr	int_drat	int_drats	int_f	int_fvds	int_gamma	int_mad_free	int_md	int_n_measurements	int_n_ptrm	int_q	int_rsc	int_scat	int_treat_dc_field	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
														This study		A	2.8	155.3	69.1	3.7	11	p	n	-1	LP-DIR-T:jm003i1	extrusive:igneous	lava flow					u														basalt	843	523	K	DE-BFL:LP-DIR-T	g	jm003i	pmagpy-2.92	jm003i1
														This study		A	2.8	259.9	81.4	3.7	11	p	n	0	LP-DIR-T:jm003i1	extrusive:igneous	lava flow					u														basalt	843	523	K	DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-SUN	g	jm003i	pmagpy-2.92	jm003i1
														This study		A	2.8	259.9	81.4	3.7	11	p	n	100	LP-DIR-T:jm003i1	extrusive:igneous	lava flow					u														basalt	843	523	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-T:SO-SUN	g	jm003i	pmagpy-2.92	jm003i1
														This study												extrusive:igneous	lava flow																			basalt						jm003i		jm003i2
														This study												extrusive:igneous	lava flow																			basalt						jm003i		jm003i3
														This study												extrusive:igneous	lava flow																			basalt						jm003j		jm003j1
														This study												extrusive:igneous	lava flow																			basalt						jm003j		jm003j2
														This study												extrusive:igneous	lava flow																			basalt						jm003j		jm003j3
														This study												extrusive:igneous	lava flow																			basalt						jm004a		jm004a1
														This study												extrusive:igneous	lava flow																			basalt						jm004a		jm004a2
														This study		A	0.3	168.1	12.7	1.6	13	p	n	-1	LP-DIR-AF:jm004b1	extrusive:igneous	lava flow					u														basalt	0.18	0.005	T	DE-BFL:LP-DIR-AF	g	jm004b	pmagpy-2.92	jm004b1
														This study		A	0.3	355.8	76.5	1.6	13	p	n	0	LP-DIR-AF:jm004b1	extrusive:igneous	lava flow					u														basalt	0.18	0.005	T	DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm004b	pmagpy-2.92	jm004b1
														This study		A	0.3	355.8	76.5	1.6	13	p	n	100	LP-DIR-AF:jm004b1	extrusive:igneous	lava flow					u														basalt	0.18	0.005	T	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm004b	pmagpy-2.92	jm004b1
														This study												extrusive:igneous	lava flow																			basalt						jm004b		jm004b2
														This study												extrusive:igneous	lava flow																			basalt						jm004b		jm004b3
														This study		A	1.5	164.9	9.3	2	11	p	n	-1	LP-DIR-T:jm004c1	extrusive:igneous	lava flow					u														basalt	813	273	K	DE-BFL:LP-DIR-T	g	jm004c	pmagpy-2.92	jm004c1
														This study		A	1.5	347.5	74.7	2	11	p	n	0	LP-DIR-T:jm004c1	extrusive:igneous	lava flow					u														basalt	813	273	K	DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-GPS-DIFF	g	jm004c	pmagpy-2.92	jm004c1
														This study		A	1.5	347.5	74.7	2	11	p	n	100	LP-DIR-T:jm004c1	extrusive:igneous	lava flow					u														basalt	813	273	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-T:SO-GPS-DIFF	g	jm004c	pmagpy-2.92	jm004c1
														This study		A	0.5	168.5	25	1.5	12	p	n	-1	LP-DIR-AF:jm004d1	extrusive:igneous	lava flow					u														basalt	0.18	0.01	T	DE-BFL:LP-DIR-AF	g	jm004d	pmagpy-2.92	jm004d1
														This study		A	0.5	13.8	72.2	1.5	12	p	n	0	LP-DIR-AF:jm004d1	extrusive:igneous	lava flow					u														basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm004d	pmagpy-2.92	jm004d1
														This study		A	0.5	13.8	72.2	1.5	12	p	n	100	LP-DIR-AF:jm004d1	extrusive:igneous	lava flow					u														basalt	0.18	0.01	T	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm004d	pmagpy-2.92	jm004d1
														This study												extrusive:igneous	lava flow																			basalt						jm004d		jm004d2
														This study		A	0.6	167	15.3	2	15	p	n	-1	LP-DIR-AF:jm004e1	extrusive:igneous	lava flow					u														basalt	0.18	0	T	DE-BFL:LP-DIR-AF	g	jm004e	pmagpy-2.92	jm004e1
														This study		A	0.6	352.4	76.4	2	15	p	n	0	LP-DIR-AF:jm004e1	extrusive:igneous	lava flow					u														basalt	0.18	0	T	DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm004e	pmagpy-2.92	jm004e1
														This study		A	0.6	352.4	76.4	2	15	p	n	100	LP-DIR-AF:jm004e1	extrusive:igneous	lava flow					u														basalt	0.18	0	T	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm004e	pmagpy-2.92	jm004e1
														This study		A	90.1	89.8	3.5	2.1	10	p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm004f1	extrusive:igneous	lava flow					u														basalt	793	273	K	DE-BFP:LP-DIR-T	g	jm004f	pmagpy-2.92	jm004f1
														This study		A	90.1	272	2.9	2.1	10	p	n	0	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm004f1	extrusive:igneous	lava flow					u														basalt	793	273	K	DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-GPS-DIFF	g	jm004f	pmagpy-2.92	jm004f1
														This study		A	90.1	272	2.9	2.1	10	p	n	100	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm004f1	extrusive:igneous	lava flow					u														basalt	793	273	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFP:LP-DIR-T:SO-GPS-DIFF	g	jm004f	pmagpy-2.92	jm004f1
														This study												extrusive:igneous	lava flow																			basalt						jm004f		jm004f2
														This study												extrusive:igneous	lava flow																			basalt						jm004g		jm004g1
