tab 	sites
age	age_sigma	age_unit	citations	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
		ka	This study	DE-SITE:DE-SPEC	VGP Site: jm024, "Site VGP, coord system = g component:"	6		287.9	77.8	113	7			p	n	6.9603	0	extrusive:igneous	lava flow					71.0114	basalt	Jan Mayen	351.5414	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF:SO-SUN		i	jm024	pmagpy-2.92	jm024a1:jm024b1:jm024c1:jm024d1:jm024e1:jm024f1:jm024g1						9.2	11	65.2	287.4	7
			This study	DE-SPEC	Site direction included in results table	1.8	A	16.8	75	1209	7	5	2	p	n	6.9959	0	extrusive:igneous	lava flow						basalt	Jan Mayen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN	g		jm025	pmagpy-2.92	jm025a1:jm025b1:jm025c1:jm025d1:jm025e1:jm025f1:jm025g1										
		ka	This study	DE-SITE:DE-SPEC	VGP Site: jm025, "Site VGP, coord system = g component:"	1.8		16.8	75	1209	7			p	n	6.9959	0	extrusive:igneous	lava flow					71.0379	basalt	Jan Mayen	351.5608	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN		i	jm025	pmagpy-2.92	jm025a1:jm025b1:jm025c1:jm025d1:jm025e1:jm025f1:jm025g1						2.3	3.3	78.7	127.5	7
			This study	DE-SPEC	Site direction included in results table	1.8	A	338.9	73.7	1096	7	6	1	p	n	6.995	0	extrusive:igneous	lava flow						basalt	Jan Mayen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN	g		jm026	pmagpy-2.92	jm026a1:jm026b1:jm026c1:jm026d1:jm026e1:jm026f1:jm026g1										
		ka	This study	DE-SITE:DE-SPEC	VGP Site: jm026, "Site VGP, coord system = g component:"	1.8		338.9	73.7	1096	7			p	n	6.995	0	extrusive:igneous	lava flow					71.038	basalt	Jan Mayen	351.5457	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN		i	jm026	pmagpy-2.92	jm026a1:jm026b1:jm026c1:jm026d1:jm026e1:jm026f1:jm026g1						2.1	3.3	75.8	219.3	7
			This study	DE-SPEC	Site direction included in results table	2.4	A	192.6	81.4	795	6	5	1	p	n	5.9943	0	extrusive:igneous	lava flow						basalt	Jan Mayen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN	g		jm027	pmagpy-2.92	jm027a1:jm027b1:jm027c1:jm027e1:jm027f1:jm027g1										
		ka	This study	DE-SITE:DE-SPEC	VGP Site: jm027, "Site VGP, coord system = g component:"	2.4		192.6	81.4	795	6			p	n	5.9943	0	extrusive:igneous	lava flow					71.038	basalt	Jan Mayen	351.5653	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN		i	jm027	pmagpy-2.92	jm027a1:jm027b1:jm027c1:jm027e1:jm027f1:jm027g1						5.2	4.4	54.4	345.3	6
			This study	DE-SPEC	Site direction included in results table	1.6	A	53.5	82.4	1457	7	5	2	p	n	6.9966	0	extrusive:igneous	lava flow						basalt	Spitsbergen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN	g		sp100	pmagpy-2.92	sp100a1:sp100b1:sp100c1:sp100d1a:sp100e1:sp100f1:sp100h1b										
		Ma	This study	DE-SITE:DE-SPEC	VGP: Site, "Site VGP, coord system = g component:"	1.6		53.5	82.4	1457	7			p	n	6.9966	0	extrusive:igneous	lava flow					79.44	basalt	Spitsbergen	13.33	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN		i	sp100	pmagpy-2.92	sp100a1:sp100b1:sp100c1:sp100d1a:sp100e1:sp100f1:sp100h1b						2.2	3.1	77.9	96.1	7
			This study	DE-SPEC	Site direction included in results table	1.7	A	85	77.8	915	9	6	3	p	n	8.9929	0	extrusive:igneous	lava flow						basalt	Spitsbergen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN	g		sp101	pmagpy-2.92	sp101a1:sp101a2:sp101b1:sp101c1:sp101d1a:sp101e1b:sp101f1:sp101g1:sp101i1a										
