tab 	samples
azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	criteria	description	dip	dir_comp_name	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	lon	method_codes	orientation_quality	result_quality	sample	site	software_packages	specimens	timestamp
				This study	DE-SPEC	sample direction		A	91.5	80.7	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-SUN		g	jm007j	jm007	pmagpy-2.59	jm007j1	
94	0	0	0	This study			-75										extrusive:igneous	lava flow	70.95979	basalt	351.29835	FS-LOC-GPS:SO-POM:SO-SUN	g		jm008a	jm008			2009-08-15T00:00:00Z
				This study	DE-SPEC	sample direction		A	286.1	86.2	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-SUN		g	jm008a	jm008	pmagpy-2.59	jm008a1	
92	0	0	0	This study			-73										extrusive:igneous	lava flow	70.95979	basalt	351.29835	FS-LOC-GPS:SO-POM:SO-SUN	g		jm008b	jm008			2009-08-15T00:00:00Z
				This study	DE-SPEC	sample direction		A	309.1	88.1	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-SUN		g	jm008b	jm008	pmagpy-2.59	jm008b1	
83.3	0	0	0	This study			-76										extrusive:igneous	lava flow	70.95979	basalt	351.29835	FS-LOC-GPS:SO-POM:SO-SUN	g		jm008c	jm008			2009-08-15T00:00:00Z
				This study		sample direction		A	57.1	-3.8	1	0	1	p	n	0						DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-SUN		g	jm008c	jm008	pmagpy-2.59	jm008c1	
93.1	0	0	0	This study			-70.5										extrusive:igneous	lava flow	70.95979	basalt	351.29835	FS-LOC-GPS:SO-POM:SO-SUN	g		jm008d	jm008			2009-08-15T00:00:00Z
				This study		sample direction		A	68.2	-4.4	1	0	1	p	n	0						DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-SUN		g	jm008d	jm008	pmagpy-2.59	jm008d1	
83.8	0	0	0	This study			-72.5										extrusive:igneous	lava flow	70.95979	basalt	351.29835	FS-LOC-GPS:SO-POM:SO-SUN	g		jm008e	jm008			2009-08-15T00:00:00Z
