tab 	pmag_sites
er_citation_names	er_location_name	er_sample_names	er_site_name	er_specimen_names	magic_method_codes	pmag_criteria_codes	site_description	site_inferred_age	site_inferred_age_sigma	site_inferred_age_unit	site_int	site_int_n	site_int_sigma	site_int_sigma_perc
This study	556	0556x031140 : 0556x041091 : 0556x051116 : 0556x052084 : 0556x062055 : 0556x073146 : 0556x083109 : 0556x084002	0556x	0556x0311401 : 0556x0410912 : 0556x0410912 : 0556x0410913 : 0556x0410914 : 0556x0410915 : 0556x0511164 : 0556x0511165 : 0556x0511166 : 0556x0520841 : 0556x0620551 : 0556x0620552 : 0556x0620553 : 0556x0731462 : 0556x0831093 : 0556x0840021 : 0556x0840022	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	30.7	0.2	Ma	1.741e-05	8	7.095e-06	40.75
This study	559	0559a073011	0559a	0559a0730111 : 0559a0730112 : 0559a0730113	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	32	1.1	Ma	1.048e-05	1	0	0
This study	559	0559x021142 : 0559x031011	0559x	0559x0211421 : 0559x0310111 : 0559x0310113	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	32	1.1	Ma	4.298e-05	2	4e-05	93.08
This study	562	0562x011p05 : 0562x012114 : 0562x013p3f : 0562x021p05 : 0562x021p3c : 0562x032003 : 0562x033113 : 0562x043p4b : 0562x043p6a : 0562x044003	0562x	0562x011p051 : 0562x011p052 : 0562x0121141 : 0562x0121142 : 0562x0121143 : 0562x013p3f2 : 0562x013p3f3 : 0562x021p051 : 0562x021p3c3 : 0562x0320032 : 0562x0331132 : 0562x0331133 : 0562x043p4b2 : 0562x043p4b3 : 0562x043p6a1 : 0562x0440031	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	17.4	0.2	Ma	1.459e-05	10	3.202e-06	21.95
This study	564	0564x012117 : 0564x021042 : 0564x022092 : 0564x033063 : 0564x041129 : 0564x042085 : 0564x043075 : 0564x054002 : 0564x061142 : 0564x071076 : 0564x081101 : 0564x093p02	0564x	0564x0121171 : 0564x0121173 : 0564x0210421 : 0564x0220921 : 0564x0330631 : 0564x0411292 : 0564x0420853 : 0564x0430751 : 0564x0430753 : 0564x0430756 : 0564x0430758 : 0564x0430759 : 0564x0540021 : 0564x0611424 : 0564x0611425 : 0564x0710761 : 0564x0710763 : 0564x0811011 : 0564x0811012 : 0564x093p021 : 0564x093p022	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	33.2	0.1	Ma	1.386e-05	12	2.586e-06	18.66
This study	706	0706c021009 : 0706c021071 : 0706c021093 : 0706c022039 : 0706c022095 : 0706c052074 : 0706c052103 : 0706c053044 : 0706c077010	0706c	0706c0210093 : 0706c0210713 : 0706c0210933 : 0706c0210934 : 0706c0220392 : 0706c0220395 : 0706c0220952 : 0706c0220953 : 0706c0220954 : 0706c0220955 : 0706c0520741 : 0706c0521031 : 0706c0521032 : 0706c0521033 : 0706c0530441 : 0706c0530442 : 0706c0770102 : 0706c0770103	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	32	2	Ma	6.51e-06	9	1.992e-06	30.6
This study	758	0758a702003 : 0758a702052 : 0758a712037 : 0758a713045 : 0758a714054 : 0758a714093 : 0758a723117	0758a	0758a7020031 : 0758a7020522 : 0758a7020523 : 0758a7120371 : 0758a7120372 : 0758a7130451 : 0758a7130452 : 0758a7140541 : 0758a7140542 : 0758a7140543 : 0758a7140933 : 0758a7140934 : 0758a7140935 : 0758a7231172	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	82	2	Ma	3.378e-05	7	1.336e-05	39.55
This study	765	0765c631004 : 0765c631051 : 0765c631088 : 0765c631100 : 0765c631127 : 0765c633075 : 0765c634056 : 0765c635098 : 0765c651124	0765c	0765c6310042 : 0765c6310044 : 0765c6310514 : 0765c6310881 : 0765c6310883 : 0765c6311004 : 0765c6311271 : 0765c6330751 : 0765c6340561 : 0765c6350981 : 0765c6511242	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	155.7	0.3	Ma	8.934e-06	9	8.407e-06	94.11
This study	765	0765d051065 : 0765d054055 : 0765d061008 : 0765d131096 : 0765d131101 : 0765d131102 : 0765d131105	0765d	0765d0510652 : 0765d0540552 : 0765d0610082 : 0765d1310961 : 0765d1310962 : 0765d1311013 : 0765d1311015 : 0765d1311022 : 0765d1311052 : 0765d1311055	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	155.7	0.3	Ma	2.239e-05	7	1.376e-05	61.43
This study	770	0770b172080 : 0770b173147 : 0770b182035 : 0770b183005 : 0770b183031	0770b	0770b1720801 : 0770b1731472 : 0770b1731473 : 0770b1731474 : 0770b1731475 : 0770b1820351 : 0770b1820352 : 0770b1830052 : 0770b1830053 : 0770b1830054 : 0770b1830056 : 0770b1830057 : 0770b1830058 : 0770b1830312	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	38.9	1	Ma	2.123e-05	5	8.626e-06	40.63
