tab 	pmag_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_names	magic_method_codes	pmag_criteria_codes	sample_description	sample_inferred_age	sample_inferred_age_sigma	sample_inferred_age_unit	sample_int	sample_int_n	sample_int_sigma	sample_int_sigma_perc
This study	410	0410a017004	0410a	0410a0170041	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	10.3	0.7	Ma	1.15e-05	1	0	
This study	410	0410a024081	0410a	0410a0240812	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	10.3	0.7	Ma	4.145e-06	1	0	
This study	410	0410a025013	0410a	0410a0250131	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	10.3	0.7	Ma	1.226e-05	1	0	
This study	410	0410a043026	0410a	0410a0430263	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	10.3	0.7	Ma	1.281e-05	1	0	
This study	410	0410a063045	0410a	0410a0630452	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	10.3	0.7	Ma	3.551e-06	1	0	
This study	410	0410a371106	0410a	0410a3711062	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	10.3	0.7	Ma	8.037e-06	1	0	
This study	417	0417d022p2a	0417d	0417d022p2a1 : 0417d022p2a4	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	121	1	Ma	9.394e-06	2	4.412e-07	4.697
This study	417	0417d022p2b	0417d	0417d022p2b1 : 0417d022p2b4	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	121	1	Ma	1.114e-05	2	2.567e-06	23.05
This study	417	0417d022p2d	0417d	0417d022p2d2 : 0417d022p2d4	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	121	1	Ma	1.118e-05	2	1.344e-06	12.02
This study	417	0417d022p2e	0417d	0417d022p2e1 : 0417d022p2e3	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	121	1	Ma	1.777e-05	2	9.405e-07	5.291
This study	417	0417d022p4a	0417d	0417d022p4a1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	121	1	Ma	4.647e-06	1	0	
This study	417	0417d022p4c	0417d	0417d022p4c3 : 0417d022p4c4	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	121	1	Ma	8.72e-06	2	8.337e-07	9.561
This study	418	0418a035p2b	0418a	0418a035p2b5	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	121	1	Ma	1.133e-05	1	0	
This study	418	0418a035p2c	0418a	0418a035p2c2	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	121	1	Ma	1.493e-05	1	0	
This study	420	0420x141000	0420x	0420x1410001 : 0420x1410002	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	3.4	0.2	Ma	1.64e-05	2	4.257e-06	25.96
This study	420	0420x171000	0420x	0420x1710001	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	3.4	0.2	Ma	1.568e-05	1	0	
This study	423	0423x05cp02	0423x	0423x05cp022	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	1.7	0.2	Ma	7.506e-06	1	0	
This study	423	0423x061p03	0423x	0423x061p032	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	1.7	0.2	Ma	7.701e-06	1	0	
This study	423	0423x081p01	0423x	0423x081p012	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	1.7	0.2	Ma	2.196e-05	1	0	
This study	447	0447a143076	0447a	0447a1430762	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	43	2	Ma	2.899e-05	1	0	
This study	447	0447a182119	0447a	0447a1821192	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	43	2	Ma	1.322e-05	1	0	
This study	447	0447a254001	0447a	0447a2540013	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	43	2	Ma	2.997e-05	1	0	
This study	448	0448a171p1w	0448a	0448a171p1w1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	31	1	Ma	3.653e-05	1	0	
This study	456	0456a131p06	0456a	0456a131p061	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	3.7	0.2	Ma	1.858e-05	1	0	
This study	462	0462a394p07	0462a	0462a394p071 : 0462a394p072	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	111	1	Ma	2.002e-05	2	1.28e-06	6.391
This study	462	0462a394p10	0462a	0462a394p102 : 0462a394p103	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	111	1	Ma	1.246e-05	2	2.786e-06	22.36
This study	462	0462a541p8c	0462a	0462a541p8c1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	111	1	Ma	5.707e-05	1	0	
This study	462	0462a581p8b	0462a	0462a581p8b1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	111	1	Ma	1.504e-05	1	0	
This study	462	0462a581p8c	0462a	0462a581p8c1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	111	1	Ma	1.815e-05	1	0	
This study	462	0462a596p5a	0462a	0462a596p5a1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	111	1	Ma	7.352e-06	1	0	
This study	462	0462a623p7b	0462a	0462a623p7b3	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	111	1	Ma	1.405e-05	1	0	
This study	462	0462a693p03	0462a	0462a693p032	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	111	1	Ma	1.862e-05	1	0	
This study	469	0469x461p01	0469x	0469x461p011 : 0469x461p012	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	18.7	0.2	Ma	1.365e-05	2	3.606e-06	26.42
This study	470	0470a081091	0470a	0470a0810911	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	15.2	0.5	Ma	2.997e-05	1	0	
This study	470	0470a085075	0470a	0470a0850751 : 0470a0850752 : 0470a0850753 : 0470a0850754	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	15.2	0.5	Ma	3.934e-05	4	3.32e-06	8.439
This study	470	0470a131039	0470a	0470a1310392 : 0470a1310393 : 0470a1310394	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	15.2	0.5	Ma	3.562e-05	3	3.305e-06	9.28
This study	474	0474a463000	0474a	0474a4630001 : 0474a4630002	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	3.1	0.2	Ma	2.476e-05	2	9.758e-07	3.941
This study	474	0474a481p13	0474a	0474a481p132	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	3.1	0.2	Ma	2.173e-05	1	0	
