tab	samples
cooling_rate_corr	cooling_rate_mcd	citations	location	sample_alternatives	sample	scientists	site	method_codes	participantlist	azimuth	bed_dip	bed_dip_direction	geologic_classes	cooling_rate	azimuth_dec_correction	description	dip	height	igsn	lat	lithologies	lon	texture	geologic_types
		This study	McMurdo		mc110d		mc110	:SO-NO					Not Specified							-78.23800	Not Specified	163.443		Not Specified
		This study	McMurdo		mc110f		mc110	:SO-NO					Not Specified							-78.23800	Not Specified	163.443		Not Specified
		This study	McMurdo		mc110g		mc110	:SO-NO					Not Specified							-78.23800	Not Specified	163.443		Not Specified
		This study	McMurdo		mc110h		mc110	:SO-NO					Not Specified							-78.23800	Not Specified	163.443		Not Specified
		This study	McMurdo		mc110i		mc110	:SO-NO					Not Specified							-78.23800	Not Specified	163.443		Not Specified
		This study	McMurdo		mc110j		mc110	:SO-NO					Not Specified							-78.23800	Not Specified	163.443		Not Specified
		This study	McMurdo		mc110k		mc110	:SO-NO					Not Specified							-78.23800	Not Specified	163.443		Not Specified
		This study	McMurdo		mc111a		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
		This study	McMurdo		mc111b		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
		This study	McMurdo		mc111c		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
		This study	McMurdo		mc111d		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
		This study	McMurdo		mc111e		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
		This study	McMurdo		mc111f		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
		This study	McMurdo		mc111g		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
		This study	McMurdo		mc111h		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
		This study	McMurdo		mc111i		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
		This study	McMurdo		mc111j		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
		This study	McMurdo		mc111k		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
		This study	McMurdo		mc111l		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
		This study	McMurdo		mc111m		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
		This study	McMurdo		mc112a		mc112	:SO-NO					Not Specified							-78.23800	Not Specified	163.441		Not Specified
		This study	McMurdo		mc112b		mc112	:SO-NO					Not Specified							-78.23800	Not Specified	163.441		Not Specified
		This study	McMurdo		mc112c		mc112	:SO-NO					Not Specified							-78.23800	Not Specified	163.441		Not Specified
		This study	McMurdo		mc112d		mc112	:SO-NO					Not Specified							-78.23800	Not Specified	163.441		Not Specified
		This study	McMurdo		mc112e		mc112	:SO-NO					Not Specified							-78.23800	Not Specified	163.441		Not Specified
		This study	McMurdo		mc112f		mc112	:SO-NO					Not Specified							-78.23800	Not Specified	163.441		Not Specified
		This study	McMurdo		mc112g		mc112	:SO-NO					Not Specified							-78.23800	Not Specified	163.441		Not Specified
		This study	McMurdo		mc112h		mc112	:SO-NO					Not Specified							-78.23800	Not Specified	163.441		Not Specified
		This study	McMurdo		mc112i		mc112	:SO-NO					Not Specified							-78.23800	Not Specified	163.441		Not Specified
		This study	McMurdo		mc112j		mc112	:SO-NO					Not Specified							-78.23800	Not Specified	163.441		Not Specified
		This study	McMurdo		mc113a		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
		This study	McMurdo		mc113b		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
		This study	McMurdo		mc113c		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
