tab 	specimens
citations	description	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b	int_b_beta	int_b_sigma	int_corr	int_drats	int_f	int_fvds	int_mad_free	int_md	int_n_measurements	int_n_ptrm	int_q	int_rsc	int_scat	int_treat_dc_field	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	specimen
This study	Recalculated from original measurements; supercedes published results.		22	75.9	0.5	8	p	n	0	LP-DIR-AF:sr09f2	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr09f	sr09f2
This study	Recalculated from original measurements; supercedes published results.		5.6	81.2	1.2	9	p	n	0	LP-DIR-T:sr09g1	Igneous:Extrusive	Lava Flow					u												Basalt	798	473	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr09g	sr09g1
This study	Recalculated from original measurements; supercedes published results.		10.9	81.2	3.3	9	p	n	0	LP-DIR-T:sr09i1	Igneous:Extrusive	Lava Flow					u												Basalt	798	473	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr09i	sr09i1
This study	Recalculated from original measurements; supercedes published results.		340.5	74.1	0.9	8	p	n	0	LP-DIR-AF:sr11a1	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr11a	sr11a1
This study	Recalculated from original measurements; supercedes published results.		354	70.3	2.1	10	p	n	0	LP-DIR-AF:sr11b1	Igneous:Extrusive	Lava Flow					u												Basalt	0.16	0.01	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr11b	sr11b1
This study	Recalculated from original measurements; supercedes published results.		342.7	69.4	1.3	8	p	n	0	LP-DIR-AF:sr11c1	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr11c	sr11c1
This study	Recalculated from original measurements; supercedes published results.		341.4	73.4	0.9	8	p	n	0	LP-DIR-AF:sr11e2	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr11e	sr11e2
This study	Recalculated from original measurements; supercedes published results.		136.6	9.4	3.5	14	p	n	0	LP-DIR-T:sr11f1	Igneous:Extrusive	Lava Flow					u												Basalt	848	273	K	DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:DE-BFP:LP-DIR-T	g	sr11f	sr11f1
This study	Recalculated from original measurements; supercedes published results.		345.4	77.1	0.8	8	p	n	0	LP-DIR-AF:sr11g2	Igneous:Extrusive	Lava Flow					u												Basalt	0.14	0.02	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr11g	sr11g2
This study	Recalculated from original measurements; supercedes published results.		77.1	0.8	3.5	12	p	n	0	LP-DIR-AF:sr11i1	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0	T	DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:DE-BFP:LP-DIR-AF	g	sr11i	sr11i1
This study	Recalculated from original measurements; supercedes published results.		97.4	-13.1	11.8	8	p	n	0	LP-DIR-AF:sr11j3	Igneous:Extrusive	Lava Flow					u												Basalt	0.12	0.01	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr11j	sr11j3
