age	age_pm	age_high	age_low	site_lat	site_lon	model_lat	model_lon	plate	nn	k	dec	inc	model_vgp_lat	model_vgp_lon	site	site_ID	location	psv10_location	reference	magic_method_code
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.68350308	203.537508	PA	5	257	5.4	20.8	78.8	355.1	HN27	876	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.68292388	203.5386784	PA	5	170	7.6	19	76.9	348.6	HN28	877	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.68263428	203.5392636	PA	5	2264	346.7	18.8	73.1	74.9	HN29	878	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.68147587	203.5416045	PA	5	354	9.9	10.5	71.9	350.2	HN31	879	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.68118627	203.5421897	PA	5	298	3.6	11.7	74.8	9.8	HN32	880	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.68060707	203.5433602	PA	4	171	5.1	11.5	74.3	4.5	HN33	881	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.68031747	203.5439454	PA	4	62	9.2	13.8	73.7	349.2	HN34	882	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.68002786	203.5445306	PA	5	485	7.1	17.3	76.3	352.4	HN35	883	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.68002786	203.5445306	PA	4	259	5.6	26.4	81.4	344.2	HN36	884	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.67973826	203.5451158	PA	4	275	356.1	26.5	82.4	53.4	HN37	885	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.67742144	203.5497974	PA	5	289	353.5	31.5	82.9	84.1	HN39	886	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.67539422	203.5538938	PA	5	377	356.9	33.3	86.2	73.8	HN41	887	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.67510462	203.554479	PA	5	360	3.9	32	85	334.9	HN42	888	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.67452541	203.5556494	PA	5	148	20.7	29.3	69.7	304.4	HN43	889	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
