tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_instrument_codes	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_correction	specimen_dec	specimen_description	specimen_direction_type	specimen_flag	specimen_inc	specimen_inferred_age	specimen_inferred_age_sigma	specimen_inferred_age_unit	specimen_mad	specimen_n	specimen_nrm	specimen_tilt_correction
Peter C. Lippert	This study	Wulan Wula Hu	06X089	WWH-8	06X089b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	25	mT	u	355		p	g	35.7	38.6	0.5	Ma	0.8	7	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X090	WWH-8	06X090b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	40	mT	u	357.3		p	g	50.6	38.6	0.5	Ma	0.6	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X091	WWH-8	06X091b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	140	40	mT	u	5.6		p	g	39.2	38.6	0.5	Ma	0.9	7	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X092	WWH-8	06X092b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	140	40	mT	u	359.3		p	g	48	38.6	0.5	Ma	0.6	7	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X093	WWH-8	06X093a	IPGP-2GH	DE-BFL:LP-DIR-T	585	475	°C	u	8	Specimen not used to calculate site mean direction.	p	g	54.5	38.6	0.5	Ma	3.1	10	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X093	WWH-8	06X093b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	160	50	mT	u	358.8		p	g	52.7	38.6	0.5	Ma	0.6	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X104	WWH-8	06X104b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	30	mT	u	356.4		p	g	43.1	38.6	0.5	Ma	0.9	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X105	WWH-8	06X105a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	80	20	mT	u	2.5		p	g	53.3	38.6	0.5	Ma	0.5	7	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X094	WWH-9	06X094b	IPGP-2GH : SIO-SUZY	DE-BFP-G:LP-DIR-AF	130	15	mT	u	53.5		p	g	-23.6	38.6	0.5	Ma	2.6	10	p	100
Peter C. Lippert	This study	Wulan Wula Hu	06X095	WWH-9	06X095a	IPGP-2GH : SIO-SUZY	DE-BFP-G:LP-DIR-AF	80	0	mT	u	114.9		p	g	-22.2	38.6	0.5	Ma	3.5	14	p	100
Peter C. Lippert	This study	Wulan Wula Hu	06X096	WWH-9	06X096a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	60	15	mT	u	359.8		p	g	48	38.6	0.5	Ma	1.1	7	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X098	WWH-9	06X098a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	20	mT	u	347.9		p	g	48.1	38.6	0.5	Ma	0.9	8	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X098	WWH-9	06X098b	IPGP-2GH	DE-BFL:LP-DIR-T	540	400	°C	u	349		p	g	47	38.6	0.5	Ma	2.4	7	l	100
