tab 	er_ages
age	age_description	age_sigma	age_unit	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_timescale_citation_names	magic_method_codes	timescale_eon	timescale_epoch	timescale_era	timescale_period
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X105	WWH-8	06X105a	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X094	WWH-9	06X094b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X095	WWH-9	06X095a	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X096	WWH-9	06X096a	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X098	WWH-9	06X098a	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X098	WWH-9	06X098b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X099	WWH-9	06X099b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X100	WWH-9	06X100b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X101	WWH-9	06X101b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X102	WWH-9	06X102a	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
