tab 	pmag_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_names	magic_method_codes	pmag_criteria_codes	sample_dec	sample_description	sample_direction_type	sample_inc	sample_inferred_age	sample_inferred_age_sigma	sample_inferred_age_unit	sample_int	sample_int_n	sample_int_sigma	sample_int_sigma_perc	sample_n	sample_n_lines	sample_n_planes	sample_tilt_correction
This study	Snake River	sr37j	sr37	sr37j1	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	DE-SPEC	170.4	sample direction.	l	-54.4	0.945	0.03	Ma					1	1	0	0
This study	Snake River	sr39a	sr39	sr39a1	LP-DIR-T:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	DE-SPEC	188	sample direction.	l	-43.4	1	1	Ma					1	1	0	0
This study	Snake River	sr39b	sr39	sr39b1	LP-DIR-T:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	DE-SPEC	190.3	sample direction.	l	-43.5	1	1	Ma					1	1	0	0
This study	Snake River	sr39g	sr39	sr39g3	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	DE-SPEC	185.1	sample direction.	l	-51	1	1	Ma					1	1	0	0
This study	Snake River	sr39h	sr39	sr39h3	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	DE-SPEC	178	sample direction.	l	-51.8	1	1	Ma					1	1	0	0
This study	Snake River	sr39i	sr39	sr39i1	LP-DIR-T:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	DE-SPEC	200.8	sample direction.	l	-46.2	1	1	Ma					1	1	0	0
This study	Snake River	sr39j	sr39	sr39j2	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	DE-SPEC	185.1	sample direction.	l	-45.9	1	1	Ma					1	1	0	0
This study	Snake River	sr40a	sr40	sr40a1	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	DE-SPEC	190.3	sample direction.	l	-60.3	1	1	Ma					1	1	0	0
This study	Snake River	sr40c	sr40	sr40c2	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	DE-SPEC	194.4	sample direction.	l	-62.7	1	1	Ma					1	1	0	0
This study	Snake River	sr40e	sr40	sr40e1	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	DE-SPEC	190.7	sample direction.	l	-62.7	1	1	Ma					1	1	0	0
This study	Snake River	sr40f	sr40	sr40f3	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	DE-SPEC	192.9	sample direction.	l	-64.3	1	1	Ma					1	1	0	0
This study	Snake River	sr40g	sr40	sr40g1	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	DE-SPEC	195.7	sample direction.	l	-53.5	1	1	Ma					1	1	0	0
This study	Snake River	sr42b	sr42	sr42b1	LP-DIR-T:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	DE-SPEC	14.6	sample direction.	l	51.5	1	1	Ma					1	1	0	0
This study	Snake River	sr42c	sr42	sr42c3	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	DE-SPEC	24.1	sample direction.	l	54.4	1	1	Ma					1	1	0	0
This study	Snake River	sr42f	sr42	sr42f2	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	DE-SPEC	108.7	sample direction.	l	45.6	1	1	Ma					1	1	0	0
This study	Snake River	sr42h	sr42	sr42h2	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	DE-SPEC	9.1	sample direction.	l	15.7	1	1	Ma					1	1	0	0
This study	Snake River	sr42j	sr42	sr42j2	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	DE-SPEC	333.9	sample direction.	l	53.5	1	1	Ma					1	1	0	0
This study	Snake River	sr09f	sr09	sr09f1	LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO		39	sample direction.	p	-16.5	0.095	0.05	Ma					1	0	1	0
This study	Snake River	sr11f	sr11	sr11f1	LP-DIR-T:SO-CMD-NORTH:DE-BFP:DA-DIR-GEO		136.6	sample direction.	p	9.4	0.395	0.01	Ma					1	0	1	0
This study	Snake River	sr11i	sr11	sr11i1	LP-DIR-AF:SO-CMD-NORTH:DE-BFP:DA-DIR-GEO		77.1	sample direction.	p	0.8	0.395	0.01	Ma					1	0	1	0
This study	Snake River	sr19a	sr19	sr19a3	LP-DIR-AF:SO-SUN:DE-BFP:DA-DIR-GEO		71.9	sample direction.	p	-0.9	1	1	Ma					1	0	1	0
This study	Snake River	sr22a	sr22	sr22a1	LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO		248.2	sample direction.	p	45	2.26	0.05	Ma					1	0	1	0
This study	Snake River	sr23f	sr23	sr23f1	LP-DIR-T:SO-CMD-NORTH:DE-BFP:DA-DIR-GEO		198.9	sample direction.	p	46.4	1.69	0.02	Ma					1	0	1	0
This study	Snake River	sr26e	sr26	sr26e2	LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO		340.9	sample direction.	p	-22.6	1.73	0.01	Ma					1	0	1	0
This study	Snake River	sr27a	sr27	sr27a2	LP-DIR-AF:SO-CMD-NORTH:DE-BFP:DA-DIR-GEO		288.8	sample direction.	p	-15.6	2.89	0.02	Ma					1	0	1	0
This study	Snake River	sr27c	sr27	sr27c1	LP-DIR-AF:SO-CMD-NORTH:DE-BFP:DA-DIR-GEO		191.7	sample direction.	p	-16.8	2.89	0.02	Ma					1	0	1	0
This study	Snake River	sr27e	sr27	sr27e2	LP-DIR-AF:SO-CMD-NORTH:DE-BFP:DA-DIR-GEO		210.6	sample direction.	p	-16.9	2.89	0.02	Ma					1	0	1	0
This study	Snake River	sr34f	sr34	sr34f3	LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO		234.3	sample direction.	p	40.3	0.191	0.008	Ma					1	0	1	0
This study	Snake River	sr37j	sr37	sr37j2	LP-DIR-AF:SO-SUN:DE-BFP:DA-DIR-GEO		56.9	sample direction.	p	-17.1	0.945	0.03	Ma					1	0	1	0
This study	Snake River	sr01a	sr01	sr01a2	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:IE-TT	IE-SPEC		sample intensity.			3.4	0.03	Ma	3.939e-05	1	0	0				
This study	Snake River	sr01d	sr01	sr01d1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC		sample intensity.			3.4	0.03	Ma	3.727e-05	1	0	0				
This study	Snake River	sr30a	sr30	sr30a2	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:IE-TT	IE-SPEC		sample intensity.			5.75	0.125	Ma	4.845e-05	1	0	0				
This study	Snake River	sr34k	sr34	sr34k1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC		sample intensity.			0.191	0.008	Ma	8.51e-05	1	0	0				
This study	Snake River	sr37j	sr37	sr37j1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC		sample intensity.			0.945	0.03	Ma	3.957e-05	1	0	0				
