tab 	pmag_results
antipodal	average_age	average_age_sigma	average_age_unit	average_alpha95	average_dec	average_inc	average_int	average_int_n	average_int_sigma	average_int_sigma_perc	average_k	average_lat	average_lat_sigma	average_lon	average_lon_sigma	average_n	average_nn	average_r	data_type	er_analyst_mail_names	er_citation_names	er_location_names	er_sample_names	er_site_names	er_specimen_names	magic_method_codes	magic_software_packages	percent_reversed	pmag_criteria_codes	pmag_result_name	pole_comp_name	result_description	reversal_test	tilt_correction	vadm	vadm_n	vadm_sigma	vdm	vdm_n	vdm_sigma	vgp_alpha95	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n
	4	4	Ma	4.5	324.2	-73.9					153.2	-78.36		164.26		8	8	7.9543	i	Kristin Lawrence	This study	McMurdo		mc44	mc44a : mc44b : mc44c : mc44d : mc44e : mc44f : mc44g : mc44h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc44	A	Site VGPA comp: (geog. coord).		0								3.3	8.7	68.4	111.5	8
	4	4	Ma	4.8	77	-56.6					165.4	-78.24		163.36		7	7	6.9668	i	Kristin Lawrence	This study	McMurdo		mc48	mc48b : mc48c : mc48d : mc48e : mc48f : mc48g : mc48h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc48	A	Site VGPA comp: (geog. coord).		0								1.8	9.3	38.9	249.5	7
	1.14	0.01	Ma	5.7	157	75					140.2	-78.24		163.36		6	6	5.9643	i	Kristin Lawrence	This study	McMurdo		mc49	mc49a : mc49b : mc49d : mc49e : mc49g : mc49h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc49	A	Site VGPA comp: (geog. coord).		0								4.5	11	-72.1	306.5	6
	1.9	0.05	Ma	2.6	191.3	71.4					458.9	-78.25		163.22		8	8	7.9847	i	Kristin Lawrence	This study	McMurdo		mc50	mc50a : mc50b : mc50c : mc50d : mc50e : mc50f : mc50g : mc50h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc50	A	Site VGPA comp: (geog. coord).		0								1.7	5	-67.5	359.8	8
	0.65	0.025	Ma				0.00004336	3	0.000001508	3.479		-77.8		166.83					i	Kristin Lawrence	This study	McMurdo	mc08a : mc08b : mc08g	mc08	mc08a : mc08b : mc08g	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc08		Site V [A] DM.			5.703E+22	3	1.984E+21	5.942E+22	3	2.067E+21						
	0.074	0.0075	Ma				0.0000271	3	0.000001007	3.715		-77.55		166.2					i	Kristin Lawrence	This study	McMurdo	mc09a : mc09b : mc09d	mc09	mc09a : mc09b : mc09d	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc09		Site V [A] DM.			3.567E+22	3	1.325E+21	3.588E+22	3	1.333E+21						
	0.86	0.035	Ma				0.00002862	4	0.000001917	6.697		-78.245		163.231					i	Kristin Lawrence	This study	McMurdo	mc105a : mc105c : mc105d : mc105j	mc105	mc105a2 : mc105c1 : mc105d1 : mc105j1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc105		Site V [A] DM.			3.759E+22	4	2.518E+21	4.328E+22	4	2.898E+21						
	1.261	0.02	Ma				0.0000348	3	0.000001152	3.309		-78.282		163.544					i	Kristin Lawrence	This study	McMurdo	mc109a : mc109c : mc109d	mc109	mc109a1 : mc109c1 : mc109d1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc109		Site V [A] DM.			4.571E+22	3	1.512E+21	4.91E+22	3	1.625E+21						
	1.99	0.02	Ma				0.0000279	2	0.0000004299	1.541		-78.224		162.787					i	Kristin Lawrence	This study	McMurdo	mc111d : mc111e	mc111	mc111d2 : mc111e2	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc111		Site V [A] DM.			3.665E+22	2	5.648E+20	4.322E+22	2	6.66E+20						
	6.73	0.085	Ma				0.00001182	2	0.000000454	3.842		-78.226		162.735					i	Kristin Lawrence	This study	McMurdo	mc113j : mc113m	mc113	mc113j1 : mc113m1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc113		Site V [A] DM.			1.553E+22	2	5.964E+20	1.667E+22	2	6.405E+20						
	2.46	0.155	Ma				0.00002461	2	0.0000004299	1.747		-78.243		162.958					i	Kristin Lawrence	This study	McMurdo	mc115a : mc115b	mc115	mc115a2 : mc115b1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc115		Site V [A] DM.			3.233E+22	2	5.647E+20	3.788E+22	2	6.618E+20						
	1.14	0.055	Ma				0.00003977	2	0.000001761	4.427		-78.222		162.744					i	Kristin Lawrence	This study	McMurdo	mc116b : mc116j	mc116	mc116b1 : mc116j2	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc116		Site V [A] DM.			5.224E+22	2	2.313E+21	5.32E+22	2	2.355E+21						
	2.28	0.12	Ma				0.00002641	4	0.0000007253	2.747		-78.235		162.973					i	Kristin Lawrence	This study	McMurdo	mc117a : mc117b : mc117d : mc117e	mc117	mc117a1 : mc117b1 : mc117d2 : mc117e2	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc117		Site V [A] DM.			3.469E+22	4	9.528E+20	3.969E+22	4	1.09E+21						
	1.08	0.11	Ma				0.00004097	5	0.000001947	4.753		-78.239		162.957					i	Kristin Lawrence	This study	McMurdo	mc119a : mc119b : mc119d : mc119e : mc119f	mc119	mc119a1 : mc119b1 : mc119d2 : mc119e2 : mc119f2	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc119		Site V [A] DM.			5.382E+22	5	2.558E+21	8.018E+22	5	3.811E+21						
	1.756	0.025	Ma				0.00002432	5	0.0000007249	2.981		-78.241		163.092					i	Kristin Lawrence	This study	McMurdo	mc120a : mc120b : mc120b : mc120c : mc120f	mc120	mc120a1 : mc120b1 : mc120b2 : mc120c1 : mc120f1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc120		Site V [A] DM.			3.195E+22	5	9.523E+20	3.627E+22	5	1.081E+21						
	1.93	0.025	Ma				0.00003004	4	0.000002256	7.511		-78.254		163.729					i	Kristin Lawrence	This study	McMurdo	mc123a : mc123b : mc123b : mc123c	mc123	mc123a2 : mc123b1 : mc123b2 : mc123c3	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc123		Site V [A] DM.			3.946E+22	4	2.964E+21	3.993E+22	4	2.999E+21						
	1.942	0.034	Ma				0.00003849	2	0.000001522	3.954		-78.254		163.733					i	Kristin Lawrence	This study	McMurdo	mc127a : mc127c	mc127	mc127a2 : mc127c1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc127		Site V [A] DM.			5.056E+22	2	1.999E+21	5.993E+22	2	2.37E+21						
	4	4	Ma				0.00003429	3	0.000002688	7.839		-78.21		166.571					i	Kristin Lawrence	This study	McMurdo	mc128b : mc128c : mc128j	mc128	mc128b2 : mc128c2 : mc128j1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc128		Site V [A] DM.			4.505E+22	3	3.532E+21	4.626E+22	3	3.627E+21						
	0.055	0.005	Ma				0.00003041	3	0.000002177	7.158		-77.64		166.41					i	Kristin Lawrence	This study	McMurdo	mc13a : mc13b : mc13c	mc13	mc13a : mc13b : mc13c	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc13		Site V [A] DM.			4.001E+22	3	2.864E+21	4.536E+22	3	3.247E+21						
	4	4	Ma				0.00001679	5	0.0000008907	5.304		-78.214		166.573					i	Kristin Lawrence	This study	McMurdo	mc131b : mc131c : mc131d : mc131e : mc131g	mc131	mc131b1 : mc131c2 : mc131d2 : mc131e1 : mc131g1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc131		Site V [A] DM.			2.206E+22	5	1.17E+21	2.943E+22	5	1.561E+21						
	4	4	Ma				0.000003294	7	0.0000001438	4.365		-78.206		166.552					i	Kristin Lawrence	This study	McMurdo	mc132e : mc132f : mc132g : mc132h : mc132i : mc132j : mc132k	mc132	mc132e2 : mc132f2 : mc132g2 : mc132h2 : mc132i2 : mc132j1 : mc132k1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc132		Site V [A] DM.			4.327E+21	7	1.889E+20	7.187E+21	7	3.138E+20						
	4	4	Ma				0.0000463	2	0.000003454	7.46		-78.199		166.584					i	Kristin Lawrence	This study	McMurdo	mc133f : mc133g	mc133	mc133f1 : mc133g1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc133		Site V [A] DM.			6.083E+22	2	4.537E+21	6.036E+22	2	4.503E+21						
	1.9	0.06	Ma				0.000006942	4	0.0000002155	3.105		-78.24		162.893					i	Kristin Lawrence	This study	McMurdo	mc145c : mc145f : mc145k : mc145l	mc145	mc145c2 : mc145f1 : mc145k2 : mc145l1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc145		Site V [A] DM.			9.119E+21	4	2.831E+20	1.794E+22	4	5.569E+20						
	1.37	0.21	Ma				0.00001721	2	0.0000007085	4.118		-78.22		162.963					i	Kristin Lawrence	This study	McMurdo	mc146e : mc146f	mc146	mc146e1 : mc146f1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc146		Site V [A] DM.			2.261E+22	2	9.308E+20	2.868E+22	2	1.181E+21						
	1.63	0.16	Ma				0.00002277	4	0.000002539	11.15		-78.196		162.962					i	Kristin Lawrence	This study	McMurdo	mc147a : mc147i : mc147j : mc147k	mc147	mc147a1 : mc147i1 : mc147j2 : mc147k2	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc147		Site V [A] DM.			2.991E+22	4	3.335E+21	3.536E+22	4	3.943E+21						
	0.718	0.33	Ma				0.00005156	3	0.000001558	3.021		-77.492		167.249					i	Kristin Lawrence	This study	McMurdo	mc148d : mc148i : mc148j	mc148	mc148d1 : mc148i1 : mc148j1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc148		Site V [A] DM.			6.787E+22	3	2.05E+21	6.951E+22	3	2.1E+21						
	1.33	0.01	Ma				0.00002802	3	0.000002569	9.167		-77.47		169.23					i	Kristin Lawrence	This study	McMurdo	mc15b : mc15c : mc15h	mc15	mc15b : mc15c : mc15h	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:DA-AC-AARM	pmagpy-2.60		IE-SITE	V[A]DM: Site mc15		Site V [A] DM.			3.689E+22	3	3.382E+21	3.678E+22	3	3.372E+21						
	2.19	0.04	Ma				0.00000797	2	0.0000009535	11.96		-77.719		162.626					i	Kristin Lawrence	This study	McMurdo	mc154a : mc154j	mc154	mc154a2 : mc154j2	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc154		Site V [A] DM.			1.048E+22	2	1.254E+21	1.035E+22	2	1.238E+21						
	3.47	0.025	Ma				0.0000218	2	0.000001296	5.944		-77.687		162.354					i	Kristin Lawrence	This study	McMurdo	mc160a : mc160f	mc160	mc160a1 : mc160f2	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc160		Site V [A] DM.			2.868E+22	2	1.705E+21	3.05E+22	2	1.813E+21						
	1.364	0.05	Ma				0.00008129	3	0.00000006483	0.07975		-77.514		169.33					i	Kristin Lawrence	This study	McMurdo	mc164c : mc164f : mc164j	mc164	mc164c1 : mc164f1 : mc164j1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc164		Site V [A] DM.			1.07E+23	3	8.533E+19	1.058E+23	3	8.44E+19						
	1.451	0.03	Ma				0.00002628	4	0.000001685	6.412		-77.513		169.332					i	Kristin Lawrence	This study	McMurdo	mc165b : mc165c : mc165h : mc165i	mc165	mc165b1 : mc165c1 : mc165h2 : mc165i2	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc165		Site V [A] DM.			3.459E+22	4	2.218E+21	3.501E+22	4	2.245E+21						
	1.5	0.75	Ma				0.00004346	3	0.000001128	2.596		-77.487		169.294					i	Kristin Lawrence	This study	McMurdo	mc167b : mc167d : mc167k	mc167	mc167b1 : mc167d2 : mc167k1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc167		Site V [A] DM.			5.721E+22	3	1.485E+21	6.192E+22	3	1.607E+21						
	0.073	0.005	Ma				0.00001431	3	0.000001222	8.545		-77.54995		166.16148					i	Kristin Lawrence	This study	McMurdo	mc200b : mc200c : mc200i	mc200	mc200b1 : mc200c1 : mc200i1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc200		Site V [A] DM.			1.883E+22	3	1.609E+21	1.883E+22	3	1.609E+21						
	4	4	Ma				0.00004503	4	0.000003422	7.599		-78.21		166.49					i	Kristin Lawrence	This study	McMurdo	mc21a : mc21b : mc21c : mc21e	mc21	mc21a : mc21b : mc21c : mc21e	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc21		Site V [A] DM.			5.916E+22	4	4.495E+21	6.116E+22	4	4.648E+21						
	2.5	2.5	Ma				0.00004381	5	0.000003126	7.134		-77.22355		166.4294					i	Kristin Lawrence	This study	McMurdo	mc214b : mc214d : mc214g : mc214h : mc214j	mc214	mc214b1 : mc214d1 : mc214g1 : mc214h1 : mc214j1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc214		Site V [A] DM.			5.771E+22	5	4.118E+21	6.056E+22	5	4.32E+21						
	0.026	0.005	Ma				0.0000343	5	0.00000248	7.231		-77.56218		166.97756					i	Kristin Lawrence	This study	McMurdo	mc218a : mc218b : mc218d : mc218i : mc218j	mc218	mc218a1 : mc218b1 : mc218d1 : mc218i1 : mc218j1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc218		Site V [A] DM.			4.514E+22	5	3.264E+21	4.562E+22	5	3.299E+21						
	1.334	0.122	Ma				0.00003025	4	0.000003807	12.59		-77.84783		166.67453					i	Kristin Lawrence	This study	McMurdo	mc219a : mc219c : mc219d : mc219e	mc219	mc219a1 : mc219c1 : mc219d1 : mc219e1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc219		Site V [A] DM.			3.978E+22	4	5.006E+21	4.277E+22	4	5.382E+21						
	0.531	0.02	Ma				0.00005394	4	0.000001238	2.295		-77.45702		166.91009					i	Kristin Lawrence	This study	McMurdo	mc220b : mc220c : mc220d : mc220e	mc220	mc220b1 : mc220c1 : mc220d1 : mc220e1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc220		Site V [A] DM.			7.101E+22	4	1.629E+21	7.132E+22	4	1.636E+21						
	0.378	0.014	Ma				0.00002153	4	0.000002646	12.29		-77.65831		166.7863					i	Kristin Lawrence	This study	McMurdo	mc223a : mc223b : mc223c : mc223g	mc223	mc223a1 : mc223b1 : mc223c2 : mc223g1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc223		Site V [A] DM.			2.833E+22	4	3.481E+21	2.808E+22	4	3.451E+21						
	0.057	0.005	Ma				0.00002855	4	0.000003136	10.99		-77.58053		166.80156					i	Kristin Lawrence	This study	McMurdo	mc225b : mc225c : mc225d : mc225i	mc225	mc225b1 : mc225c1 : mc225d1 : mc225i1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc225		Site V [A] DM.			3.757E+22	4	4.128E+21	4.054E+22	4	4.454E+21						
	1.07	0.09	Ma				0.00003123	3	0.00000393	12.58		-77.48281		167.15435					i	Kristin Lawrence	This study	McMurdo	mc229g : mc229h : mc229k	mc229	mc229g1 : mc229h1 : mc229k1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc229		Site V [A] DM.			4.111E+22	3	5.173E+21	4.526E+22	3	5.696E+21						
	4	4	Ma				0.00004263	4	0.0000003847	0.9023		-78.34		164.87					i	Kristin Lawrence	This study	McMurdo	mc30a : mc30b : mc30d : mc30e	mc30	mc30a : mc30b : mc30d : mc30e	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc30		Site V [A] DM.			5.598E+22	4	5.052E+20	6.546E+22	4	5.906E+20						
	0.12	0.01	Ma				0.00002411	2	0.000002766	11.47		-78.39		164.23					i	Kristin Lawrence	This study	McMurdo	mc35b : mc35d	mc35	mc35b : mc35d	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc35		Site V [A] DM.			3.166E+22	2	3.632E+21	3.168E+22	2	3.635E+21						
	0.12	0.01	Ma				0.00002569	4	0.000002957	11.51		-78.39		164.27					i	Kristin Lawrence	This study	McMurdo	mc36a : mc36b : mc36e : mc36h	mc36	mc36a : mc36b : mc36e : mc36h	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc36		Site V [A] DM.			3.373E+22	4	3.883E+21	3.395E+22	4	3.908E+21						
	4.47	0.02	Ma				0.00006039	4	0.000005261	8.713		-78.4		164.27					i	Kristin Lawrence	This study	McMurdo	mc37c : mc37d : mc37e : mc37h	mc37	mc37c : mc37d : mc37e : mc37h	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc37		Site V [A] DM.			7.929E+22	4	6.909E+21	8.021E+22	4	6.988E+21						
	1.9	0.05	Ma				0.00003366	3	0.000002303	6.841		-78.25		163.22					i	Kristin Lawrence	This study	McMurdo	mc50a : mc50b : mc50f	mc50	mc50a : mc50b : mc50f	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60		IE-SITE	V[A]DM: Site mc50		Site V [A] DM.			4.421E+22	3	3.025E+21	4.972E+22	3	3.402E+21						
	2.562	2.8348	Ma	3.3	16.3	-80.8					26	-77.996	0.3306	165.232	1.6035	75		72.1499	a	Kristin Lawrence	This study	McMurdo		mc02 : mc03 : mc04 : mc06 : mc07 : mc08 : mc09 : mc10 : mc100 : mc101 : mc104 : mc106 : mc107 : mc108 : mc11 : mc111 : mc114 : mc116 : mc118 : mc120 : mc122 : mc123 : mc124 : mc125 : mc126 : mc127 : mc128 : mc129 : mc13 : mc131 : mc133 : mc134 : mc135 : mc14 : mc140 : mc143 : mc148 : mc152 : mc170 : mc19 : mc20 : mc200 : mc201 : mc202 : mc204 : mc207 : mc208 : mc209 : mc210 : mc211 : mc215 : mc216 : mc217 : mc218 : mc220 : mc221 : mc223 : mc225 : mc226 : mc26 : mc28 : mc29 : mc31 : mc32 : mc33 : mc34 : mc35 : mc36 : mc38 : mc39 : mc40 : mc41 : mc43 : mc44 : mc48		DE-VGP	pmagpy-2.60	0	DE-SITE : NPOLE	Normal Pole		Mean of normal directions.									5.5			84.6	214.5	75
	2.554	1.8641	Ma	4.1	186.8	77.7					27.2	-77.8717	0.3456	164.8109	2.2854	46		44.3474	a	Kristin Lawrence	This study	McMurdo		mc01 : mc102 : mc103 : mc105 : mc109 : mc110 : mc112 : mc113 : mc115 : mc117 : mc119 : mc121 : mc130 : mc139 : mc141 : mc142 : mc144 : mc146 : mc147 : mc15 : mc150 : mc154 : mc155 : mc156 : mc157 : mc160 : mc161 : mc162 : mc163 : mc164 : mc165 : mc166 : mc167 : mc168 : mc203 : mc21 : mc213 : mc214 : mc219 : mc227 : mc228 : mc229 : mc30 : mc37 : mc49 : mc50		DE-VGP	pmagpy-2.60	100	DE-SITE : RPOLE	Reverse pole		Mean of reverse directions.									6.9			-79.9	2.7	46
173.8	2.5589	2.5017	Ma	2.5	12.1	-79.7					26.4	-77.9488	0.3404	165.0719	1.8938	121		116.4461	a	Kristin Lawrence	This study	McMurdo		mc01 : mc02 : mc03 : mc04 : mc06 : mc07 : mc08 : mc09 : mc10 : mc100 : mc101 : mc102 : mc103 : mc104 : mc105 : mc106 : mc107 : mc108 : mc109 : mc11 : mc110 : mc111 : mc112 : mc113 : mc114 : mc115 : mc116 : mc117 : mc118 : mc119 : mc120 : mc121 : mc122 : mc123 : mc124 : mc125 : mc126 : mc127 : mc128 : mc129 : mc13 : mc130 : mc131 : mc133 : mc134 : mc135 : mc139 : mc14 : mc140 : mc141 : mc142 : mc143 : mc144 : mc146 : mc147 : mc148 : mc15 : mc150 : mc152 : mc154 : mc155 : mc156 : mc157 : mc160 : mc161 : mc162 : mc163 : mc164 : mc165 : mc166 : mc167 : mc168 : mc170 : mc19 : mc20 : mc200 : mc201 : mc202 : mc203 : mc204 : mc207 : mc208 : mc209 : mc21 : mc210 : mc211 : mc213 : mc214 : mc215 : mc216 : mc217 : mc218 : mc219 : mc220 : mc221 : mc223 : mc225 : mc226 : mc227 : mc228 : mc229 : mc26 : mc28 : mc29 : mc30 : mc31 : mc32 : mc33 : mc34 : mc35 : mc36 : mc37 : mc38 : mc39 : mc40 : mc41 : mc43 : mc44 : mc48 : mc49 : mc50		DE-VGP:ST-R-2	pmagpy-2.60	38	DE-SITE	Grand Mean pole		Grand Mean of all directions.	+								4.3			83.1	197.5	121
	1.8502	1.5241	Ma				0.00003157	42	0.00001486	47.1		-77.9611	0.3591	165.2305	2.1542				a	Kristin Lawrence	This study	McMurdo		mc08 : mc09 : mc105 : mc109 : mc111 : mc113 : mc115 : mc116 : mc117 : mc119 : mc120 : mc123 : mc127 : mc128 : mc13 : mc131 : mc132 : mc133 : mc145 : mc146 : mc147 : mc148 : mc15 : mc154 : mc160 : mc164 : mc165 : mc167 : mc200 : mc21 : mc214 : mc218 : mc219 : mc220 : mc223 : mc225 : mc229 : mc30 : mc35 : mc36 : mc37 : mc50		LP-TRM	pmagpy-2.60		IE-SITE	Average V[A]DM		Average of all V [A] DMs.			4.151E+22	42	1.955E+22	4.501E+22	42	1.985E+22						
