tab	er_specimens
0.001377292	318-U1357A-008H-6-W-115
0.002560292	318-U1357A-008H-6-W-125
0.002290292	318-U1357A-008H-6-W-134
0.003673292	318-U1357A-008H-7-W-5
0.001874292	318-U1357A-008H-7-W-15
0.002764292	318-U1357A-008H-7-W-25
0.003097292	318-U1357A-008H-7-W-34
0.001796292	318-U1357A-008H-7-W-45
0.002137292	318-U1357A-008H-7-W-55
0.002352292	318-U1357A-008H-7-W-65
0.001766292	318-U1357A-008H-7-W-75
0.001899292	318-U1357A-008H-7-W-85
0.001490292	318-U1357A-008H-7-W-95
0.002813292	318-U1357A-008H-7-W-115
0.002319292	318-U1357A-008H-7-W-125
0.002431292	318-U1357A-008H-7-W-136
0.002598292	318-U1357A-008H-7-W-145
0.000788292	318-U1357A-008H-8-W-5
0.002818292	318-U1357A-008H-8-W-15
0.002864292	318-U1357A-008H-8-W-25
0.001966292	318-U1357A-008H-8-W-35
0.002169292	318-U1357A-008H-8-W-45
0.003948292	318-U1357A-008H-8-W-55
0.000944292	318-U1357A-008H-8-W-64
0.001932292	318-U1357A-008H-CC-W-5
0.002909292	318-U1357A-008H-CC-W-15
0.002860292	318-U1357A-008H-CC-W-25
0.031639292	318-U1357A-008H-CC-W-35
