tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
	This study	Bushveld	bg2.06	bg2	bg2.06		bg2.06:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.3	266.7		g	-5.6	6.827e-06	13	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.06	bg2	bg2.06		bg2.06:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.3	218.5		g	50.7	1.616e-05	14	u	2.730e+02	1.800e-01	5.000e-05	180.0	45.0	2.730e+02
	This study	Bushveld	bg2.06	bg2	bg2.06		bg2.06:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	223.5		g	30.8	4.108e-06	15	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.06	bg2	bg2.06		bg2.06:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	188.7		g	-43.6	1.992e-05	16	u	2.730e+02	1.800e-01	5.000e-05	180.0	-45.0	2.730e+02
	This study	Bushveld	bg2.06	bg2	bg2.06		bg2.06:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	204.5		g	-6.6	5.064e-06	17	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.06	bg2	bg2.06		bg2.06:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.4	190.2		g	-70.1	2.128e-05	18	u	2.730e+02	1.800e-01	5.000e-05	0.0	-90.0	2.730e+02
	This study	Bushveld	bg2.07	bg2	bg2.07		bg2.07:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.1	203.6		g	-26.2	1.872e-06	1	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.07	bg2	bg2.07		bg2.07:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.1	321.0		g	10.9	1.078e-05	2	u	2.730e+02	1.800e-01	5.000e-05	315.0	0.0	2.730e+02
	This study	Bushveld	bg2.07	bg2	bg2.07		bg2.07:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	305.2		g	5.6	2.169e-06	3	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.07	bg2	bg2.07		bg2.07:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.3	231.0		g	-7.8	1.708e-05	4	u	2.730e+02	1.800e-01	5.000e-05	225.0	0.0	2.730e+02
	This study	Bushveld	bg2.07	bg2	bg2.07		bg2.07:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	254.9		g	-1.6	4.332e-06	5	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.07	bg2	bg2.07		bg2.07:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	194.0		g	-13.0	2.004e-05	6	u	2.730e+02	1.800e-01	5.000e-05	180.0	0.0	2.730e+02
	This study	Bushveld	bg2.07	bg2	bg2.07		bg2.07:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	199.4		g	-14.3	6.552e-06	7	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.07	bg2	bg2.07		bg2.07:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.3	141.2		g	-50.2	2.246e-05	8	u	2.730e+02	1.800e-01	5.000e-05	90.0	-45.0	2.730e+02
	This study	Bushveld	bg2.07	bg2	bg2.07		bg2.07:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	141.5		g	-38.1	6.739e-06	9	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.07	bg2	bg2.07		bg2.07:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.4	235.2		g	-59.7	2.193e-05	10	u	2.730e+02	1.800e-01	5.000e-05	270.0	-45.0	2.730e+02
	This study	Bushveld	bg2.07	bg2	bg2.07		bg2.07:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.3	199.1		g	-60.1	8.126e-06	11	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.07	bg2	bg2.07		bg2.07:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	265.3		g	-15.5	1.819e-05	12	u	2.730e+02	1.800e-01	5.000e-05	270.0	0.0	2.730e+02
	This study	Bushveld	bg2.07	bg2	bg2.07		bg2.07:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	256.2		g	-16.0	7.434e-06	13	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.07	bg2	bg2.07		bg2.07:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	214.1		g	36.9	1.572e-05	14	u	2.730e+02	1.800e-01	5.000e-05	180.0	45.0	2.730e+02
	This study	Bushveld	bg2.07	bg2	bg2.07		bg2.07:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.1	220.7		g	22.5	3.963e-06	15	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.07	bg2	bg2.07		bg2.07:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	188.0		g	-40.0	2.450e-05	16	u	2.730e+02	1.800e-01	5.000e-05	180.0	-45.0	2.730e+02
	This study	Bushveld	bg2.07	bg2	bg2.07		bg2.07:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	198.6		g	-10.8	6.129e-06	17	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.07	bg2	bg2.07		bg2.07:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.3	189.9		g	-63.8	2.411e-05	18	u	2.730e+02	1.800e-01	5.000e-05	0.0	-90.0	2.730e+02
	This study	Bushveld	bg2.08	bg2	bg2.08		bg2.08:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	206.6		g	-36.2	2.076e-06	1	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
