tab 	specimens
citations	description	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	int_abs	int_b	int_b_beta	int_b_sigma	int_corr	int_drats	int_f	int_fvds	int_mad_free	int_md	int_n_measurements	int_n_ptrm	int_q	int_rsc	int_scat	int_treat_dc_field	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	specimen
This study	Recalculated from original measurements; supercedes published results.	2.7	296.4	-45.3			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr34k1	8.51e-05	-2.128	0.051	0.109	u	3.1	0.73	0.721	2.2	-1	10	4	11.6	0.9791	t	4e-05	798	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr34k	sr34k1
This study	Recalculated from original measurements; supercedes published results.	2.9	38.1	-10.7			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr37a2	6.413e-05	-1.603	0.06	0.097	u	4.5	0.351	0.29	3.3	-1	5	4	3.9	0.9891	t	4e-05	823	673	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr37a	sr37a2
This study	Recalculated from original measurements; supercedes published results.	8.3	41.3	-15.2			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr37b1	1.081e-05	-0.27	0.078	0.021	u	3.2	0.125	0.095	8	-1	5	4	1.1	0.9817	t	4e-05	798	623	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr37b	sr37b1
This study	Recalculated from original measurements; supercedes published results.	11.2	40	-7.8			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr37e1	7.455e-06	-0.186	0.304	0.057	u	25	0.165	0.082	7.4	-1	4	4	0.4	0.8238	t	4e-05	798	673	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr37e	sr37e1
This study	Recalculated from original measurements; supercedes published results.	0.7	45.3	-38.5			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr37j1	3.957e-05	-0.989	0.017	0.017	u	6.2	0.967	0.917	1.5	-1	13	6	46.7	0.9967	t	4e-05	873	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr37j	sr37j1
This study	Recalculated from original measurements; supercedes published results.	3.4	40.4	-47.8			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr39a1	5.143e-05	-1.286	0.065	0.084	u	5.5	0.394	0.385	1.9	-1	4	4	3.9	0.9915	t	4e-05	798	673	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr39a	sr39a1
This study	Recalculated from original measurements; supercedes published results.	9.1	54	-0.9			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr39b1	0.0001148	-2.869	0.05	0.144	u	19.8	0.369	0.324	6.7	-1	4	4	4.9	0.9949	t	4e-05	798	673	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr39b	sr39b1
This study	Recalculated from original measurements; supercedes published results.	8.9	53.4	-13.5			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr39c1	8.777e-05	-2.194	0.085	0.187	u	14	0.39	0.351	12.3	-1	8	4	3.4	0.9568	t	4e-05	798	473	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr39c	sr39c1
This study	Recalculated from original measurements; supercedes published results.	3	46.1	15			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr39i1	4.954e-05	-1.239	0.035	0.043	u	14.9	0.642	0.62	3	-1	10	6	13.6	0.9902	t	4e-05	798	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr39i	sr39i1
This study	Recalculated from original measurements; supercedes published results.	3	32	-29.2			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr40a1	6.92e-05	-1.73	0.033	0.058	u	6.5	0.254	0.243	9.6	-1	8	4	6.1	0.9933	t	4e-05	723	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr40a	sr40a1
This study	Recalculated from original measurements; supercedes published results.	5.7	51	-57.5			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr40c2	8.04e-05	-2.01	0.06	0.12	u	3.1	0.319	0.316	8	-1	8	4	4.3	0.9788	t	4e-05	723	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr40c	sr40c2
This study	Recalculated from original measurements; supercedes published results.	22.6	6.6	-38.9			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr40d1	3.241e-05	-0.81	0.184	0.149	u	0.8	0.28	0.223	11	-1	4	4	1	0.9332	t	4e-05	798	673	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr40d	sr40d1
This study	Recalculated from original measurements; supercedes published results.	6.5	69.7	-56.6			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr40g1	8.188e-05	-2.047	0.066	0.135	u	21	0.24	0.242	6.2	-1	7	4	2.9	0.9783	t	4e-05	673	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr40g	sr40g1
