tab	sites
site	location	samples	specimens	age	age_sigma	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	analysts	criteria	description	software_packages	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	citations	method_codes	result_quality	result_type	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
mc124	McMurdo		mc124d1 : mc124d2 : mc124f1 : mc124g1 : mc124j1 : mc124l1:mc124a1	12.61	0.055	Ma	2.4		13.2	-73.4	654.8	7.0			p	n	6.9908	0.0	-78.186	163.567	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc124, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							1.7	4.6	70.5	184.1	7.0
mc125	McMurdo		mc125b1 : mc125c1 : mc125d1 : mc125e1 : mc125e3 : mc125g1 : mc125i1 : mc125m1:mc125a1	4.26	0.09	Ma	5.4	A	345.0	-67.7	92.4	9.0	9.0	0.0	p	n	8.9134	0.0	-78.25399999999999	163.73	Intrusive:Igneous	Volcanic Dike	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc125	McMurdo	mc125i	mc125i1	4.26	0.09	Ma													-78.25399999999999	163.73	Intrusive:Igneous	Volcanic Dike	Basalt	Lisa Tauxe	IE-SPEC		pmagpy-2.60	2.592e-05	0.0	0.0	1.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc125	McMurdo		mc125b1 : mc125c1 : mc125d1 : mc125e1 : mc125e3 : mc125g1 : mc125i1 : mc125m1:mc125a1	4.26	0.09	Ma	5.4		345.0	-67.7	92.4	9.0			p	n	8.9134	0.0	-78.25399999999999	163.73	Intrusive:Igneous	Volcanic Dike	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc125, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							2.9	10.5	61.8	143.4	9.0
mc126	McMurdo		mc126c1 : mc126c2 : mc126d1 : mc126e1 : mc126f1 : mc126g1 : mc126i1:mc126a2	4.0	4.0	Ma	5.5	A	359.4	-79.6	103.2	8.0	8.0	0.0	p	n	7.9321	0.0	-78.253	163.737	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc126	McMurdo		mc126c1 : mc126c2 : mc126d1 : mc126e1 : mc126f1 : mc126g1 : mc126i1:mc126a2	4.0	4.0	Ma	5.5		359.4	-79.6	103.2	8.0			p	n	7.9321	0.0	-78.253	163.737	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc126, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							6.2	10.7	81.6	162.3	8.0
mc127	McMurdo		mc127a2 : mc127b1 : mc127c1 : mc127d1 : mc127f1 : mc127g2 : mc127i1:mc127a1	1.942	0.034	Ma	2.1	A	326.2	-67.2	666.9	8.0	8.0	0.0	p	n	7.9895	0.0	-78.25399999999999	163.733	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc127	McMurdo	mc127c:mc127a	mc127c1:mc127a2	1.942	0.034	Ma													-78.25399999999999	163.733	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	3.849e-05	1.5219999999999998e-06	3.9539999999999997	2.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc127	McMurdo		mc127a2 : mc127b1 : mc127c1 : mc127d1 : mc127f1 : mc127g2 : mc127i1:mc127a1	1.942	0.034	Ma	2.1		326.2	-67.2	666.9	8.0			p	n	7.9895	0.0	-78.25399999999999	163.733	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc127, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							1.1	4.1	59.1	119.5	8.0
mc127	McMurdo	mc127c:mc127a	mc127c1:mc127a2	1.942	0.034	Ma													-78.25399999999999	163.733	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	IE-SITE	V[A]DM: Site mc127, Site V [A] DM.	pmagpy-2.60	3.849e-05	1.5219999999999998e-06	3.9539999999999997	2.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		i	5.056e+22	2.0	1.999e+21	5.993e+22	2.0	2.37e+21					
mc128	McMurdo		mc128b2 : mc128c2 : mc128d1 : mc128e2 : mc128f1 : mc128h1 : mc128j1:mc128b1	4.0	4.0	Ma	2.8	A	36.9	-80.1	395.8	8.0	8.0	0.0	p	n	7.9823	0.0	-78.21	166.571	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc128	McMurdo	mc128c : mc128j:mc128b	mc128c2 : mc128j1:mc128b2	4.0	4.0	Ma													-78.21	166.571	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	3.429e-05	2.688e-06	7.8389999999999995	3.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc128	McMurdo		mc128b2 : mc128c2 : mc128d1 : mc128e2 : mc128f1 : mc128h1 : mc128j1:mc128b1	4.0	4.0	Ma	2.8		36.9	-80.1	395.8	8.0			p	n	7.9823	0.0	-78.21	166.571	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc128, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							3.3	5.4	78.0	238.4	8.0
mc128	McMurdo	mc128c : mc128j:mc128b	mc128c2 : mc128j1:mc128b2	4.0	4.0	Ma													-78.21	166.571	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	IE-SITE	V[A]DM: Site mc128, Site V [A] DM.	pmagpy-2.60	3.429e-05	2.688e-06	7.8389999999999995	3.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		i	4.505e+22	3.0	3.532e+21	4.626e+22	3.0	3.627e+21					
mc129	McMurdo		mc129a2 : mc129b1 : mc129c1 : mc129c2 : mc129f1 : mc129h2 : mc129j1 : mc129l1:mc129a1	4.0	4.0	Ma	2.3	A	22.1	-54.5	490.9	9.0	9.0	0.0	p	n	8.9837	0.0	-78.214	166.577	Intrusive:Igneous	Volcanic Dike	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc129	McMurdo		mc129a2 : mc129b1 : mc129c1 : mc129c2 : mc129f1 : mc129h2 : mc129j1 : mc129l1:mc129a1	4.0	4.0	Ma	2.3		22.1	-54.5	490.9	9.0			p	n	8.9837	0.0	-78.214	166.577	Intrusive:Igneous	Volcanic Dike	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc129, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							0.8	4.5	45.8	192.8	9.0
mc13	McMurdo		mc13b : mc13c : mc13d : mc13e : mc13f : mc13g : mc13h:mc13a	0.055	0.005	Ma	3.5	A	110.5	-70.6	259.5	8.0	7.0	1.0	p	n	7.975	0.0	-77.64	166.41	Extrusive:Igneous	Lava Flow	Trachyte	Lisa Tauxe	DE-SPEC	12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc13	McMurdo	mc13b : mc13c:mc13a	mc13b : mc13c:mc13a	0.055	0.005	Ma													-77.64	166.41	Extrusive:Igneous	Lava Flow	Trachyte	Lisa Tauxe	IE-SPEC	12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. Intensity included in Pmag_Results.	pmagpy-2.60	3.041e-05	2.177e-06	7.1579999999999995	3.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	g												
mc13	McMurdo		mc13b : mc13c : mc13d : mc13e : mc13f : mc13g : mc13h:mc13a	0.055	0.005	Ma	3.5		110.5	-70.6	259.5	8.0			p	n	7.975	0.0	-77.64	166.41	Extrusive:Igneous	Lava Flow	Trachyte	Kristin Lawrence	DE-SITE	12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. VGP: Site (geog. coord) A comp: mc13, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							2.3	6.8	49.1	291.0	8.0
mc13	McMurdo	mc13b : mc13c:mc13a	mc13b : mc13c:mc13a	0.055	0.005	Ma													-77.64	166.41	Extrusive:Igneous	Lava Flow	Trachyte	Kristin Lawrence	IE-SITE	12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. 12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus. V[A]DM: Site mc13, Site V [A] DM.	pmagpy-2.60	3.041e-05	2.177e-06	7.1579999999999995	3.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM		i	4.001e+22	3.0	2.864e+21	4.536e+22	3.0	3.247e+21					
mc130	McMurdo		mc130a2 : mc130b1 : mc130d1 : mc130e1 : mc130g2:mc130a1	7.251	0.035	Ma	3.3	A	150.5	46.1	405.9	6.0	6.0	0.0	p	r	5.9877	0.0	-78.21	166.579	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc130	McMurdo		mc130a2 : mc130b1 : mc130d1 : mc130e1 : mc130g2:mc130a1	7.251	0.035	Ma	3.3		150.5	46.1	405.9	6.0			p	n	5.9877	0.0	-78.21	166.579	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc130, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							1.0	6.4	-37.5	313.1	6.0
mc131	McMurdo		mc131b1 : mc131c2 : mc131d2 : mc131e1 : mc131f1 : mc131g1 : mc131k1:mc131a3	4.0	4.0	Ma	2.4	A	22.3	-58.1	526.8	8.0	8.0	0.0	p	n	7.9867	0.0	-78.214	166.57299999999998	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc131	McMurdo	mc131c : mc131d : mc131e : mc131g:mc131b	mc131c2 : mc131d2 : mc131e1 : mc131g1:mc131b1	4.0	4.0	Ma													-78.214	166.57299999999998	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	1.679e-05	8.906999999999999e-07	5.303999999999999	5.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc131	McMurdo		mc131b1 : mc131c2 : mc131d2 : mc131e1 : mc131f1 : mc131g1 : mc131k1:mc131a3	4.0	4.0	Ma	2.4		22.3	-58.1	526.8	8.0			p	n	7.9867	0.0	-78.214	166.57299999999998	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc131, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							0.9	4.6	49.5	193.7	8.0
mc131	McMurdo	mc131c : mc131d : mc131e : mc131g:mc131b	mc131c2 : mc131d2 : mc131e1 : mc131g1:mc131b1	4.0	4.0	Ma													-78.214	166.57299999999998	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	IE-SITE	V[A]DM: Site mc131, Site V [A] DM.	pmagpy-2.60	1.679e-05	8.906999999999999e-07	5.303999999999999	5.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		i	2.206e+22	5.0	1.17e+21	2.943e+22	5.0	1.561e+21					
mc132	McMurdo		mc132c1 : mc132d1 : mc132e2 : mc132g2 : mc132l1:mc132a1	4.0	4.0	Ma	5.0	A	6.3	38.3	195.4	6.0	4.0	2.0	p	t	5.9795	0.0	-78.206	166.55200000000002	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc132	McMurdo	mc132f : mc132g : mc132h : mc132i : mc132j : mc132k:mc132e	mc132f2 : mc132g2 : mc132h2 : mc132i2 : mc132j1 : mc132k1:mc132e2	4.0	4.0	Ma													-78.206	166.55200000000002	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	3.2939999999999997e-06	1.438e-07	4.365	7.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc132	McMurdo		mc132c1 : mc132d1 : mc132e2 : mc132g2 : mc132l1:mc132a1	4.0	4.0	Ma	5.0		6.3	38.3	195.4	6.0			p	n	5.9795	0.0	-78.206	166.55200000000002	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc132, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							1.3	9.7	-9.8	172.5	6.0
mc132	McMurdo	mc132f : mc132g : mc132h : mc132i : mc132j : mc132k:mc132e	mc132f2 : mc132g2 : mc132h2 : mc132i2 : mc132j1 : mc132k1:mc132e2	4.0	4.0	Ma													-78.206	166.55200000000002	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	IE-SITE	V[A]DM: Site mc132, Site V [A] DM.	pmagpy-2.60	3.2939999999999997e-06	1.438e-07	4.365	7.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		i	4.327e+21	7.0	1.889e+20	7.187e+21	7.0	3.138e+20					
mc133	McMurdo		mc133d1 : mc133f1 : mc133f2 : mc133h1 : mc133j1:mc133b2	4.0	4.0	Ma	4.4	A	36.3	-85.7	235.0	6.0	6.0	0.0	p	n	5.9787	0.0	-78.199	166.584	Extrusive:Igneous	Lava Flow	Trachyte	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc133	McMurdo	mc133g:mc133f	mc133g1:mc133f1	4.0	4.0	Ma													-78.199	166.584	Extrusive:Igneous	Lava Flow	Trachyte	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	4.6299999999999994e-05	3.454e-06	7.46	2.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc133	McMurdo		mc133d1 : mc133f1 : mc133f2 : mc133h1 : mc133j1:mc133b2	4.0	4.0	Ma	4.4		36.3	-85.7	235.0	6.0			p	n	5.9787	0.0	-78.199	166.584	Extrusive:Igneous	Lava Flow	Trachyte	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc133, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							12.0	8.5	83.0	300.6	6.0
mc133	McMurdo	mc133g:mc133f	mc133g1:mc133f1	4.0	4.0	Ma													-78.199	166.584	Extrusive:Igneous	Lava Flow	Trachyte	Kristin Lawrence	IE-SITE	V[A]DM: Site mc133, Site V [A] DM.	pmagpy-2.60	4.6299999999999994e-05	3.454e-06	7.46	2.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		i	6.083e+22	2.0	4.537e+21	6.036e+22	2.0	4.503e+21					
mc134	McMurdo		mc134c1 : mc134e1 : mc134f1 : mc134k1:mc134a1	9.02	0.025	Ma	2.6	A	12.5	-84.3	886.4	5.0	5.0	0.0	p	n	4.9955	0.0	-78.219	166.607	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc134	McMurdo		mc134c1 : mc134e1 : mc134f1 : mc134k1:mc134a1	9.02	0.025	Ma	2.6		12.5	-84.3	886.4	5.0			p	n	4.9955	0.0	-78.219	166.607	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc134, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							5.3	5.0	87.5	273.8	5.0
mc135	McMurdo		mc135b1 : mc135c2 : mc135d2 : mc135e1 : mc135e2 : mc135h2 : mc135i2:mc135a1	4.0	4.0	Ma	3.8	A	264.1	-77.8	215.3	8.0	8.0	0.0	p	n	7.9675	0.0	-78.23100000000001	166.565	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc135	McMurdo	mc135c	mc135c2	4.0	4.0	Ma													-78.23100000000001	166.565	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC		pmagpy-2.60	4.108e-05	0.0	0.0	1.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc135	McMurdo		mc135b1 : mc135c2 : mc135d2 : mc135e1 : mc135e2 : mc135h2 : mc135i2:mc135a1	4.0	4.0	Ma	3.8		264.1	-77.8	215.3	8.0			p	n	7.9675	0.0	-78.23100000000001	166.565	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc135, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							3.7	7.4	62.9	46.7	8.0
mc136	McMurdo		mc136c1 : mc136d1 : mc136d2 : mc136e1:mc136a1	1.99	0.3	Ma	3.5	A	103.4	18.5	513.7	5.0	4.0	1.0	p	t	4.9932	0.0	-78.282	163.329	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc136	McMurdo		mc136c1 : mc136d1 : mc136d2 : mc136e1:mc136a1	1.99	0.3	Ma	3.5		103.4	18.5	513.7	5.0			p	n	4.9932	0.0	-78.282	163.329	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc136, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							0.7	6.8	-12.0	264.5	5.0
mc137	McMurdo		mc137d1 : mc137h1 : mc137j2 : mc137l1:mc137a1	4.0	4.0	Ma	8.7	A	71.2	34.2	120.4	5.0	1.0	4.0	p	t	4.9834	0.0	-78.26100000000001	163.257	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC		pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc138	McMurdo		mc138b1 : mc138d1 : mc138g1 : mc138h1:mc138a1	1.21	0.09	Ma	4.4	A	83.0	12.1	473.2	5.0	1.0	4.0	p	t	4.9958	0.0	-78.26	163.24	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC		pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc139	McMurdo		mc139d1 : mc139e1 : mc139h1 : mc139j2:mc139a2	0.882	0.04	Ma	2.3	A	168.6	79.0	1124.5	5.0	5.0	0.0	p	r	4.9964	0.0	-78.26	163.08	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc139	McMurdo	mc139c	mc139c1	0.882	0.04	Ma													-78.26	163.08	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC		pmagpy-2.60	1.976e-05	0.0	0.0	1.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc139	McMurdo		mc139d1 : mc139e1 : mc139h1 : mc139j2:mc139a2	0.882	0.04	Ma	2.3		168.6	79.0	1124.5	5.0			p	n	4.9964	0.0	-78.26	163.08	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc139, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							2.5	4.5	-80.0	318.7	5.0
mc14	McMurdo		mc14b : mc14c : mc14d : mc14e : mc14f : mc14g : mc14h:mc14a	4.0	4.0	Ma	2.6	A	0.9	-80.8	439.5	8.0	8.0	0.0	p	n	7.9841	0.0	-77.46	169.23	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc14	McMurdo	mc14d : mc14h:mc14b	mc14d : mc14h:mc14b	4.0	4.0	Ma													-77.46	169.23	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC		pmagpy-2.60	6.945e-05	1.431e-05	20.61	3.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	g												
mc14	McMurdo		mc14b : mc14c : mc14d : mc14e : mc14f : mc14g : mc14h:mc14a	4.0	4.0	Ma	2.6		0.9	-80.8	439.5	8.0			p	n	7.9841	0.0	-77.46	169.23	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc14, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							3.5	5.0	84.6	172.2	8.0
mc140	McMurdo		mc140b1 : mc140d1 : mc140e1 : mc140g1 : mc140h1 : mc140j1:mc140a1	2.043	0.045	Ma	2.4	A	343.7	-79.2	654.7	7.0	6.0	1.0	p	n	6.9916	0.0	-78.27600000000001	163.004	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc140	McMurdo	mc140b : mc140c : mc140d:mc140a	mc140b1 : mc140c1 : mc140d1:mc140a1	2.043	0.045	Ma													-78.27600000000001	163.004	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC		pmagpy-2.60	1.746e-05	2.7060000000000004e-06	15.5	4.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc140	McMurdo		mc140b1 : mc140d1 : mc140e1 : mc140g1 : mc140h1 : mc140j1:mc140a1	2.043	0.045	Ma	2.4		343.7	-79.2	654.7	7.0			p	n	6.9916	0.0	-78.27600000000001	163.004	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc140, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							2.6	4.7	79.8	128.4	7.0
mc141	McMurdo		mc141b2 : mc141c1 : mc141g1 : mc141h3 : mc141k2 : mc141l1:mc141b1	1.31	0.01	Ma	2.6	A	133.0	83.5	549.9	7.0	7.0	0.0	p	r	6.9891	0.0	-77.58	166.24599999999998	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc141	McMurdo		mc141b2 : mc141c1 : mc141g1 : mc141h3 : mc141k2 : mc141l1:mc141b1	1.31	0.01	Ma	2.6		133.0	83.5	549.9	7.0			p	n	6.9891	0.0	-77.58	166.24599999999998	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc141, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							4.9	5.0	-80.0	235.4	7.0
