tab 	sites
bed_dip	bed_dip_direction	citations	conglomerate_test	contact_test	description	dir_dec	dir_inc	dir_k	dir_n_samples	dir_nrm_origin	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_lat	vgp_lon	vgp_n_samples
		This study				114.3	-64	69	4	p	r	100					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		23			
		This study				122.1	-55.1	69	4	p	r	0					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		23			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 23	114.3	-64		1	p	n	100			48.615971		Osler Volcanics, Nipigon Strait, Lower Reversed	271.842478	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	23	46.6399493497422	203.882599644	1
20	145.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			24			
		This study				116.8	-40.4	77	3	p	r	100					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		24			
		This study				122.2	-22.3	77	3	p	r	0					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		24			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 24	116.8	-40.4		1	p	n	100			48.678789		Osler Volcanics, Nipigon Strait, Lower Reversed	271.942681	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	24	34.6109661071803	178.247414689	1
20	140.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			25			
		This study				126.3	-58.7	166	3	p	r	100					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		25			
		This study				130.9	-39.2	166	3	p	r	0					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		25			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 25	126.3	-58.7		1	p	n	100			48.692757		Osler Volcanics, Nipigon Strait, Lower Reversed	271.951564	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	25	51.1652982890989	188.893404789	1
20	140.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			26			
		This study				112.0	-75.1	3634	3	p	r	100					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		26			
		This study				127.6	-56.2	3634	3	p	r	0					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		26			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 26	112.0	-75.1		1	p	n	100			48.711501		Osler Volcanics, Nipigon Strait, Lower Reversed	271.93353	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	26	51.2095812727701	227.88415866	1
10	130.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			27			
		This study				118.6	-70.3	729	3	p	r	100					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		27			
		This study				122.3	-60.5	729	3	p	r	0					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		27			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 27	118.6	-70.3		1	p	n	100			48.674874		Osler Volcanics, Nipigon Strait, Lower Reversed	271.903443	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	27	52.6178246762389	214.556099791	1
