tab 	sites
age	age_high	age_low	age_unit	citations	criteria	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	samples	site	software_packages	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon
0.5566	0.5566	0.5566	Ma	This study	ACCEPT	17.2	Fit 1	336.6	52.2	10	7	9	9	0	n	8.1946	0	Extrusive	Lava Flow	32.97603	Basaltic Lava	Golan-Heights	35.80064	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH32A:GH32C:GH32D:GH32E:GH32F:GH32G:GH32H	GH32	pmagpy-3.16.0: demag_gui.v.3.0	GH32A1:GH32C1:GH32C2:GH32D1:GH32E1:GH32E2:GH32F1:GH32G1:GH32H1	23.6	16.2	70.4	311.7
0.1089	0.1089	0.1089	Ma	This study	ACCEPT	4.7	Fit 1	7.4	59.9	120	8	9	9	0	n	8.9336	0	Extrusive	Lava Flow	32.98856	Basaltic Lava	Golan-Heights	35.7913	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH33A:GH33B:GH33C:GH33D:GH33E:GH33H:GH33I:GH33J	GH33	pmagpy-3.16.0: demag_gui.v.3.0	GH33A1:GH33B1:GH33C1:GH33C2:GH33D1:GH33E1:GH33H1:GH33I1:GH33J1	7.1	5.4	80.2	70.8
1.35	2.6	0.1	Ma	This study	ACCEPT	2.2	Fit 1	18.4	59.8	761	7	7	7	0	n	6.9921	0	Extrusive	Lava Flow	32.98312	Basaltic Lava	Golan-Heights	35.79625	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH34A:GH34B:GH34C:GH34D:GH34F:GH34G:GH34H	GH34	pmagpy-3.16.0: demag_gui.v.3.0	GH34A1:GH34B1:GH34C1:GH34D1:GH34F1:GH34G1:GH34H1	3.3	2.5	73.4	92.9
1.35	2.6	0.1	Ma	This study	ACCEPT	2.1	Fit 1	2.1	62.2	675	7	8	8	0	n	7.9896	0	Extrusive	Lava Flow	32.97711	Basaltic Lava	Golan-Heights	35.75094	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH35A:GH35B:GH35C:GH35E:GH35F:GH35G:GH35H	GH35	pmagpy-3.16.0: demag_gui.v.3.0	GH35A1:GH35B1:GH35C1:GH35E1:GH35F1:GH35G1:GH35H1:GH35H2	3.3	2.5	79.4	44.0
1.35	2.6	0.1	Ma	This study	ACCEPT	15.8	Fit 1	326.7	28.4	19	5	6	6	0	n	5.7345	0	Extrusive	Lava Flow	32.94704	Basaltic Lava	Golan-Heights	35.75662	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH36D:GH36E:GH36F:GH36G:GH36H	GH36	pmagpy-3.16.0: demag_gui.v.3.0	GH36D1:GH36E1:GH36E2:GH36F1:GH36G1:GH36H1	17.3	9.5	55	283.2
1.35	2.6	0.1	Ma	This study	ACCEPT	2.3	Fit 1	350.4	40.8	558	8	8	8	0	n	7.9875	0	Extrusive	Lava Flow	32.98198	Basaltic Lava	Golan-Heights	35.83036	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH37A:GH37B:GH37C:GH37D:GH37E:GH37F:GH37G:GH37H	GH37	pmagpy-3.16.0: demag_gui.v.3.0	GH37A1:GH37B1:GH37C1:GH37D1:GH37E1:GH37F1:GH37G1:GH37H1	2.8	1.7	77.2	259.5
1.35	2.6	0.1	Ma	This study	ACCEPT	2.1	Fit 1	9.1	47.2	721	7	8	8	0	n	7.9903	0	Extrusive	Lava Flow	32.17677	Basaltic Lava	Golan-Heights	35.76476	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH38A:GH38B:GH38C:GH38D:GH38F:GH38G:GH38H	GH38	pmagpy-3.16.0: demag_gui.v.3.0	GH38A1:GH38B1:GH38C1:GH38D1:GH38F1:GH38F2:GH38G1:GH38H1	2.7	1.8	81.3	149.3
0.1206	0.1206	0.1206	Ma	This study	ACCEPT	2.9	Fit 1	17.3	59.6	445	7	7	7	0	n	6.9865	0	Extrusive	Lava Flow	33.15644	Basaltic Lava	Golan-Heights	35.72501	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH39A:GH39B:GH39C:GH39D:GH39E:GH39F:GH39G	GH39	pmagpy-3.16.0: demag_gui.v.3.0	GH39A1:GH39B1:GH39C1:GH39D1:GH39E1:GH39F1:GH39G1	4.4	3.3	74.4	93.0
1.35	2.6	0.1	Ma	This study	ACCEPT	3.6	Fit 1	356.9	57.3	287	6	7	7	0	n	6.9791	0	Extrusive	Lava Flow	33.09204	Basaltic Lava	Golan-Heights	35.78264	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH40A:GH40B:GH40D:GH40F:GH40G:GH40H	GH40	pmagpy-3.16.0: demag_gui.v.3.0	GH40A1:GH40B1:GH40B2:GH40D1:GH40F1:GH40G1:GH40H1	5.3	3.8	84.6	9.0
1.35	2.6	0.1	Ma	This study	ACCEPT	5.7	Fit 1	16.2	53	111	6	7	7	0	n	6.9461	0	Extrusive	Lava Flow	33.13965	Basaltic Lava	Golan-Heights	35.74096	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH41A:GH41D:GH41E:GH41F:GH41G:GH41H	GH41	pmagpy-3.16.0: demag_gui.v.3.0	GH41A1:GH41D1:GH41E1:GH41E2:GH41F1:GH41G1:GH41H1	7.9	5.5	76.5	119.5
