Label Id,Exp,Site,Hole,Core,Core Type,Section,Section Half,Interval Top (cm) on SHLF, Interval Bot (cm) on SHLF,Top Depth (m),Bottom Depth (m),Depth Method,Top Offset (cm) on Parent Sample,Bottom Offset (cm) on Parent Sample,Volume (cc),Sample Type,Sampling Tool,Sample Name,Comments,Request Number,Request Code,Test,Text Id,Repository,Sample Date Logged,Sample Changed On,Sample Entered By
318-U1359B-21H-5-W 88/90-PMAG,318,U1359,B,21,H,5,W,88,90,195.095,195.115,CCSF-A,88,91,7,CUBE,CUBE_S,PMAG,,,,PMAG,CUBE2181851,,2/11/10 16:17,2/17/10 19:41,HAYDEN
318-U1359B-22H-2-W 83/85-PMAG,318,U1359,B,22,H,2,W,83,85,200.03,200.05,CCSF-A,83,85,7,CUBE,CUBE_S,PMAG,,,,PMAG,CUBE2182061,,2/11/10 17:47,2/11/10 17:47,HAYDEN
318-U1359B-22H-2-W 83/85-PMAG,318,U1359,B,22,H,2,W,83,85,200.03,200.05,CCSF-A,83,86,7,CUBE,CUBE_S,PMAG,,,,PMAG,CUBE2182081,,2/11/10 17:55,2/17/10 19:42,JIMENEZ
318-U1359B-22H-6-W 96/98-PMAG,318,U1359,B,22,H,6,W,96,98,206.19,206.21,CCSF-A,96,99,7,CUBE,CUBE_S,PMAG,,,,PMAG,CUBE2182071,,2/11/10 17:47,2/17/10 19:43,HAYDEN
318-U1359B-22H-6-W 96/98-PMAG,318,U1359,B,22,H,6,W,96,98,206.19,206.21,CCSF-A,96,98,7,CUBE,CUBE_S,PMAG,,,,PMAG,CUBE2182091,,2/11/10 17:55,2/11/10 17:55,JIMENEZ
318-U1359B-11H-1-W 75/77-Tauxe,318,U1359,B,11,H,1,W,75,77,93.95,93.97,,75,77,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492392,,10/19/11 13:38,10/19/11 13:44,BROYLES
318-U1359B-11H-2-W 76/78-Tauxe,318,U1359,B,11,H,2,W,76,78,95.46,95.48,,76,78,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492402,,10/19/11 13:38,10/19/11 13:38,BROYLES
318-U1359B-11H-3-W 78/80-Tauxe,318,U1359,B,11,H,3,W,78,80,96.98,97,,78,80,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492412,,10/19/11 13:38,10/19/11 13:38,BROYLES
318-U1359B-11H-4-W 96/98-Tauxe,318,U1359,B,11,H,4,W,96,98,98.66,98.68,,96,98,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492422,,10/19/11 13:38,10/19/11 13:38,BROYLES
318-U1359B-11H-5-W 88/90-Tauxe,318,U1359,B,11,H,5,W,88,90,100.08,100.1,,88,90,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492432,,10/19/11 13:38,10/19/11 13:38,BROYLES
318-U1359B-11H-6-W 60/62-Tauxe,318,U1359,B,11,H,6,W,60,62,101.3,101.32,,60,62,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492442,,10/19/11 13:38,10/19/11 13:38,BROYLES
318-U1359B-12H-1-W 68/70-Tauxe,318,U1359,B,12,H,1,W,68,70,103.38,103.4,,68,70,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492452,,10/19/11 13:44,10/19/11 13:47,BROYLES
318-U1359B-12H-2-W 83/85-Tauxe,318,U1359,B,12,H,2,W,83,85,105.03,105.05,,83,85,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492462,,10/19/11 13:44,10/19/11 13:44,BROYLES
318-U1359B-12H-3-W 87/89-Tauxe,318,U1359,B,12,H,3,W,87,89,106.57,106.59,,87,89,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492472,,10/19/11 13:44,10/19/11 13:44,BROYLES
318-U1359B-12H-4-W 82/84-Tauxe,318,U1359,B,12,H,4,W,82,84,108.02,108.04,,82,84,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492482,,10/19/11 13:44,10/19/11 13:44,BROYLES
318-U1359B-12H-5-W 85/87-Tauxe,318,U1359,B,12,H,5,W,85,87,109.55,109.57,,85,87,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492492,,10/19/11 13:44,10/19/11 13:44,BROYLES
318-U1359B-12H-6-W 75/77-Tauxe,318,U1359,B,12,H,6,W,75,77,110.95,110.97,,75,77,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492502,,10/19/11 13:44,10/19/11 13:44,BROYLES
318-U1359B-12H-7-W 53/55-Tauxe,318,U1359,B,12,H,7,W,53,55,112.14,112.16,,53,55,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492512,,10/19/11 13:44,10/19/11 13:44,BROYLES
318-U1359B-13H-1-W 83/85-Tauxe,318,U1359,B,13,H,1,W,83,85,113.03,113.05,,83,85,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492522,,10/19/11 13:47,10/19/11 13:50,BROYLES
318-U1359B-13H-2-W 78/80-Tauxe,318,U1359,B,13,H,2,W,78,80,114.48,114.5,,78,80,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492532,,10/19/11 13:47,10/19/11 13:47,BROYLES
318-U1359B-13H-3-W 85/87-Tauxe,318,U1359,B,13,H,3,W,85,87,116.05,116.07,,85,87,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492542,,10/19/11 13:47,10/19/11 13:47,BROYLES
318-U1359B-13H-4-W 83/85-Tauxe,318,U1359,B,13,H,4,W,83,85,117.53,117.55,,83,85,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492552,,10/19/11 13:47,10/19/11 13:47,BROYLES
318-U1359B-13H-5-W 74/76-Tauxe,318,U1359,B,13,H,5,W,74,76,118.94,118.96,,74,76,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492562,,10/19/11 13:47,10/19/11 13:47,BROYLES
318-U1359B-13H-6-W 68/70-Tauxe,318,U1359,B,13,H,6,W,68,70,119.88,119.9,,68,70,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492572,,10/19/11 13:47,10/19/11 13:47,BROYLES
318-U1359B-13H-CC-W 14/16-Tauxe,318,U1359,B,13,H,CC,W,14,16,120.17,120.19,,14,16,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492582,,10/19/11 13:47,10/19/11 13:47,BROYLES
318-U1359B-14H-1-W 75/77-Tauxe,318,U1359,B,14,H,1,W,75,77,122.45,122.47,,75,77,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492592,,10/19/11 13:50,10/19/11 13:54,BROYLES
318-U1359B-14H-2-W 77/79-Tauxe,318,U1359,B,14,H,2,W,77,79,123.97,123.99,,77,79,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492602,,10/19/11 13:50,10/19/11 13:50,BROYLES
318-U1359B-14H-3-W 67/69-Tauxe,318,U1359,B,14,H,3,W,67,69,125.37,125.39,,67,69,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492612,,10/19/11 13:50,10/19/11 13:50,BROYLES
318-U1359B-14H-4-W 74/76-Tauxe,318,U1359,B,14,H,4,W,74,76,126.94,126.96,,74,76,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492622,,10/19/11 13:50,10/19/11 13:50,BROYLES
318-U1359B-14H-5-W 44/46-Tauxe,318,U1359,B,14,H,5,W,44,46,128.14,128.16,,44,46,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492632,,10/19/11 13:50,10/19/11 13:50,BROYLES
318-U1359B-14H-CC-W 7/9-Tauxe,318,U1359,B,14,H,CC,W,7,9,128.49,128.51,,7,9,8,CUBE,SAW_ROCK,Tauxe,,1230IODP,,,CUBE1492642,,10/19/11 13:50,10/19/11 13:50,BROYLES
