tab	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b_beta	int_corr	int_corr_anisotropy	int_corr_cooling_rate	int_dang	int_drats	int_f	int_fvds	int_g	int_mad_free	int_n_measurements	int_n_ptrm	int_q	int_treat_dc_field	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05e6	Archeologic	Ceramic	7.190000000000001e-05	0.02	c	0.99	0.95	0.76	0.34	0.87	0.82	0.73	2.85	8.0	6.0	31.37	6e-05	Not Specified	863.0	623.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05e	pmagpy-3.4.1: thellier_gui.v.3.0	hz05e6
2.62	0.924115	0.021201	1.531331	0.324949 : 0.336112 : 0.338939 : 0.008675 : -0.000955 : 0.000535	6.0	0.010656	ATRM	0.341012 : 62.1 : -16.0	0.338818 : 51.5 : 73.8	0.320170 : 151.3 : 2.8	This study	Critical F: 3.1059									hz05e6;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	b	hz05e	pmagpy-3.4.1: thellier_gui.v.3.0	hz05e6
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05f1	Archeologic	Ceramic	7.7e-05	0.01	c	1.05	0.97	1.05	0.95	0.75	0.77	0.88	2.83	10.0	5.0	53.59	6e-05	Not Specified	833.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05f	pmagpy-3.4.1: thellier_gui.v.3.0	hz05f1
1.41	1.799987	2.090846	0.385938	0.327014 : 0.332162 : 0.340824 : 0.009206 : -0.013132 : -0.003506	6.0	0.011892	ATRM	0.353028 : 242.6 : 47.4	0.328710 : 206.6 : -36.7	0.318262 : 131.1 : 18.6	This study	Critical F: 3.1059									hz05f1;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	b	hz05f	pmagpy-3.4.1: thellier_gui.v.3.0	hz05f1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05f2	Archeologic	Ceramic	8.25e-05	0.02	c	1.03	0.97	0.75	3.07	0.89	0.9	0.91	3.05	14.0	6.0	32.58	6e-05	Not Specified	863.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05f	pmagpy-3.4.1: thellier_gui.v.3.0	hz05f2
2.83	7.584101	8.017921	2.099236	0.341519 : 0.330030 : 0.328451 : 0.024522 : -0.005263 : -0.003048	6.0	0.008527	ATRM	0.361920 : 218.8 : 9.6	0.327776 : 1.1 : 77.9	0.310305 : 127.6 : 7.3	This study	Critical F: 3.1059									hz05f2;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz05f	pmagpy-3.4.1: thellier_gui.v.3.0	hz05f2
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05f3	Archeologic	Ceramic	7.840000000000001e-05	0.01	c	1.09	0.96	0.76	0.33	0.79	0.81	0.89	2.36	11.0	6.0	52.04	6e-05	Not Specified	863.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05f	pmagpy-3.4.1: thellier_gui.v.3.0	hz05f3
0.77	20.051192	21.523087	5.346092	0.331400 : 0.319360 : 0.349240 : -0.009992 : -0.008811 : 0.010649	6.0	0.004541	ATRM	0.358146 : 145.7 : -57.1	0.328351 : 336.6 : -32.4	0.313502 : 63.4 : 5.0	This study	Critical F: 3.1059									hz05f3;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz05f	pmagpy-3.4.1: thellier_gui.v.3.0	hz05f3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05f4	Archeologic	Ceramic	8.35e-05	0.01	c	1.01	0.96	0.84	3.05	0.82	0.82	0.9	2.92	12.0	6.0	53.26	6e-05	Not Specified	863.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05f	pmagpy-3.4.1: thellier_gui.v.3.0	hz05f4
3.44	0.362295	0.450477	0.061832	0.327740 : 0.343062 : 0.329198 : 0.011343 : 0.001463 : 0.001859	6.0	0.021318	ATRM	0.349322 : 61.8 : 6.1	0.329087 : 292.1 : 80.4	0.321590 : 332.6 : -7.3	This study	Critical F: 3.1059									hz05f4;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	b	hz05f	pmagpy-3.4.1: thellier_gui.v.3.0	hz05f4
