tab 	samples																			
azimuth	citations	cooling_rate	criteria	description	dip	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_specimens	lat	lithologies	lon	method_codes	result_type	sample	site	software_packages	specimens
	This study	4.38E+11	ACCEPT	"Paleointensity;V[A]DM;hz11a, Paleointensity; V[A]DM"		Archeologic	Mixed Archeological Objects	6.84E-05	3.11E-08	0.05	3	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz11a	hz11	thellier_gui.v.2.29:pmagpy-3.3.2	hz11a1:hz11a2:hz11a3
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	6.11E-05	8.50E-08	0.14	3	33.017	Not Specified	35.568	IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz11b	hz11	thellier_gui.v.2.29:pmagpy-3.3.2	hz11b1:hz11b2:hz11b3
	This study	4.38E+11	ACCEPT	"Paleointensity;V[A]DM;hz11b, Paleointensity; V[A]DM"		Archeologic	Mixed Archeological Objects	6.11E-05	8.50E-08	0.14	3	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz11b	hz11	thellier_gui.v.2.29:pmagpy-3.3.2	hz11b1:hz11b2:hz11b3
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	5.94E-05	3.08E-06	5.19	4	33.017	Not Specified	35.568	IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz11c	hz11	thellier_gui.v.2.29:pmagpy-3.3.2	hz11c1:hz11c2:hz11c4:hz11c5
	This study	4.38E+11	ACCEPT	"Paleointensity;V[A]DM;hz11c, Paleointensity; V[A]DM"		Archeologic	Mixed Archeological Objects	5.94E-05	3.08E-06	5.19	4	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz11c	hz11	thellier_gui.v.2.29:pmagpy-3.3.2	hz11c1:hz11c2:hz11c4:hz11c5
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	6.02E-05	1.72E-06	2.85	7	33.017	Not Specified	35.568	IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz13a	hz13	thellier_gui.v.2.29:pmagpy-3.3.2	hz13a1:hz13a2:hz13a3:hz13a4:hz13a5:hz13a6:hz13a7
	This study	4.38E+11	ACCEPT	"Paleointensity;V[A]DM;hz13a, Paleointensity; V[A]DM"		Archeologic	Mixed Archeological Objects	6.02E-05	1.72E-06	2.85	7	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz13a	hz13	thellier_gui.v.2.29:pmagpy-3.3.2	hz13a1:hz13a2:hz13a3:hz13a4:hz13a5:hz13a6:hz13a7
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	5.51E-05	1.00E-06	1.82	5	33.017	Not Specified	35.568	IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz13b	hz13	thellier_gui.v.2.29:pmagpy-3.3.2	hz13b1:hz13b2:hz13b3:hz13b4:hz13b5
	This study	4.38E+11	ACCEPT	"Paleointensity;V[A]DM;hz13b, Paleointensity; V[A]DM"		Archeologic	Mixed Archeological Objects	5.51E-05	1.00E-06	1.82	5	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz13b	hz13	thellier_gui.v.2.29:pmagpy-3.3.2	hz13b1:hz13b2:hz13b3:hz13b4:hz13b5
	This study	4.38E+11				Archeologic	Mixed Archeological Objects					33.017	Not Specified	35.568		i	hz13c	hz13		
	This study	4.38E+11				Archeologic	Mixed Archeological Objects					33.017	Not Specified	35.568		i	hz13d	hz13		
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	6.00E-05	2.83E-07	0.47	6	33.017	Not Specified	35.568	IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz13e	hz13	thellier_gui.v.2.29:pmagpy-3.3.2	hz13e1:hz13e2:hz13e3:hz13e4:hz13e5:hz13e6
	This study	4.38E+11	ACCEPT	"Paleointensity;V[A]DM;hz13e, Paleointensity; V[A]DM"		Archeologic	Mixed Archeological Objects	6.00E-05	2.83E-07	0.47	6	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz13e	hz13	thellier_gui.v.2.29:pmagpy-3.3.2	hz13e1:hz13e2:hz13e3:hz13e4:hz13e5:hz13e6
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	5.67E-05	2.04E-07	0.36	3	33.017	Not Specified	35.568	IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz13f	hz13	thellier_gui.v.2.29:pmagpy-3.3.2	hz13f1:hz13f2:hz13f3
	This study	4.38E+11	ACCEPT	"Paleointensity;V[A]DM;hz13f, Paleointensity; V[A]DM"		Archeologic	Mixed Archeological Objects	5.67E-05	2.04E-07	0.36	3	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz13f	hz13	thellier_gui.v.2.29:pmagpy-3.3.2	hz13f1:hz13f2:hz13f3
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	5.01E-05	4.15E-08	0.08	3	33.017	Not Specified	35.568	IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz15a	hz15	thellier_gui.v.2.29:pmagpy-3.3.2	hz15a1:hz15a2:hz15a3
