tab	measurements
experiment	specimen	measurement	treat_dc_field	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	meas_field_dc	magn_moment	measurement_standard	measurement_temp	sample	scientists	site
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	78	-0.1251	-25.55	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	79	-0.1422	-27.87	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	80	-0.1593	-29.84	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	81	-0.1766	-31.55	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	82	-0.1937	-33.06	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	83	-0.2108	-34.41	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	84	-0.228	-35.63	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	85	-0.2451	-36.77	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	86	-0.2624	-37.8	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	87	-0.2795	-38.76	u	273	IS06a	Erez ben Yosef	IS06
