tab 	measurements
citations	experiment	instrument_codes	magn_moment	meas_field_dc	measurement_standard	measurement_temp	method_codes	number	quality	sample	scientists	site	specimen	treat_dc_field	treat_temp
This study	IS06a-1:LP-HYS	SIO-Maud	-5.541e+01	-8.115e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.580e+01	-8.286e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.616e+01	-8.457e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.654e+01	-8.629e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.691e+01	-8.800e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.727e+01	-8.972e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.763e+01	-9.143e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.800e+01	-9.315e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.834e+01	-9.486e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.870e+01	-9.657e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.906e+01	-9.830e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.940e+01	-1.000e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.977e+01	-1.017e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-6.009e+01	-1.034e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-6.044e+01	-1.051e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-6.078e+01	-1.068e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-6.113e+01	-1.086e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-6.146e+01	-1.103e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-6.178e+01	-1.120e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-6.214e+01	-1.137e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-6.245e+01	-1.154e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-6.280e+01	-1.171e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-6.312e+01	-1.188e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-6.338e+01	-1.202e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-6.339e+01	-1.202e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-6.331e+01	-1.197e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-6.302e+01	-1.180e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-6.269e+01	-1.163e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-6.237e+01	-1.146e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-6.205e+01	-1.129e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-6.169e+01	-1.111e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-6.138e+01	-1.094e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-6.103e+01	-1.077e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-6.070e+01	-1.060e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-6.036e+01	-1.043e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-6.002e+01	-1.026e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.968e+01	-1.008e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.934e+01	-9.912e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.899e+01	-9.740e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.864e+01	-9.567e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.830e+01	-9.396e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.795e+01	-9.224e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.758e+01	-9.052e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.722e+01	-8.881e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.686e+01	-8.709e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.649e+01	-8.538e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.613e+01	-8.366e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
