tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	magn_moment	meas_n_orient	meas_temp	measurement	method_codes	quality	software_packages	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
Bowles	10.1029/2005GC001141			292.30	26.9	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.61E-07		273	28	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			0	0	0	6.48E+02
Bowles	10.1029/2005GC001141			292.40	44	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.98E-07		273	29	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			2.50E-05	0	90	6.48E+02
Bowles	10.1029/2005GC001141			289.80	26.1	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.48E-07		273	30	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			0	0	0	6.73E+02
Bowles	10.1029/2005GC001141			289.40	43.4	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.91E-07		273	31	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			2.50E-05	0	90	6.23E+02
Bowles	10.1029/2005GC001141			294.30	47.2	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.00E-07		273	32	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			2.50E-05	0	90	6.73E+02
Bowles	10.1029/2005GC001141			294.10	28.2	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.31E-07		273	33	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			0	0	0	6.98E+02
Bowles	10.1029/2005GC001141			284.10	54.3	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.92E-07		273	34	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			2.50E-05	0	90	6.98E+02
Bowles	10.1029/2005GC001141			288.10	29.4	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	9.26E-08		273	35	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			0	0	0	7.23E+02
Bowles	10.1029/2005GC001141			294.80	55.9	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.42E-07		273	36	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			2.50E-05	0	90	6.73E+02
Bowles	10.1029/2005GC001141			309.80	66.4	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.82E-07		273	37	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			2.50E-05	0	90	7.23E+02
Bowles	10.1029/2005GC001141			285.80	32.2	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	3.14E-08		273	38	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			0	0	0	7.48E+02
