tab 	sites
age	age_sigma	age_unit	analysts	citations	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	lat	lithologies	location	lon	method_codes	result_type	samples	site	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
0.41	0.07	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.8	A	69.8	-72.4	403.2	5		5	0	n	4.9901	0	Extrusive:Igneous	Lava Flow					-78.247	Basalt	McMurdo	163.323	DA-DIR-GEO:DE-FM			mc108	pmagpy-2.60	mc108b1 : mc108d1 : mc108g2 : mc108k1:mc108a1											
0.41	0.07	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.8		69.8	-72.4	403.2	5	5				4.9901	0							-78.247		McMurdo	163.323	DE-DI:DE-FM	i		mc108	pmagpy-2.60	mc108b1 : mc108d1 : mc108g2 : mc108k1:mc108a1							2.6	7.4	59.8	252.3	5
																																mc108													
1.261	0.02	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.1	A	174.6	75.4	477.4	6		6	0	r	5.9895	0	Extrusive:Igneous	Lava Flow					-78.282	Basalt	McMurdo	163.544	DA-DIR-GEO:DE-FM			mc109	pmagpy-2.60	mc109a2 : mc109c1 : mc109d1 : mc109e1 : mc109i1:mc109a1											
1.261	0.02	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															0.0000348	0.000001152	3.309	3			McMurdo		IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc109c : mc109d:mc109a	mc109	pmagpy-2.60	mc109c1 : mc109d1:mc109a1											
1.261	0.02	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.1		174.6	75.4	477.4	6	6				5.9895	0							-78.282		McMurdo	163.544	DE-DI:DE-FM	i		mc109	pmagpy-2.60	mc109a2 : mc109c1 : mc109d1 : mc109e1 : mc109i1:mc109a1							2.5	6	-74.1	334.4	6
1.261	0.02	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															0.0000348	0.000001152	3.309	3	-78.282		McMurdo	163.544	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM	i	mc109c : mc109d:mc109a	mc109	pmagpy-2.60	mc109c1 : mc109d1:mc109a1	4.571E+22	3	1.512E+21	4.91E+22	3	1.625E+21					
																																mc109													
4	4	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.2	A	327.1	-77.1	621.8	8		8	0	n	7.9887	0	Extrusive:Igneous	Lava Flow					-77.57	Basalt	McMurdo	166.23	DA-DIR-GEO:DE-FM			mc11	pmagpy-2.60	mc11b : mc11c : mc11d : mc11e : mc11f : mc11g : mc11h:mc11a											
4	4	Ma	Lisa Tauxe	This study	IE-SPEC																0.00004328	0.00001135	26.23	3			McMurdo		IE-TT: LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM		mc11c : mc11e:mc11b	mc11	pmagpy-2.60	mc11c : mc11e:mc11b											
4	4	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.2		327.1	-77.1	621.8	8	8				7.9887	0							-77.57		McMurdo	166.23	DE-DI:DE-FM	i		mc11	pmagpy-2.60	mc11b : mc11c : mc11d : mc11e : mc11f : mc11g : mc11h:mc11a							2.1	4.2	74.4	109	8
																																mc11													
7.94	0.12	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.2	A	253.5	79.6	218.2	5		5	0	r	4.9817	0	Extrusive:Igneous	Lava Flow					-78.238	Basalt	McMurdo	163.443	DA-DIR-GEO:DE-FM			mc110	pmagpy-2.60	mc110b2 : mc110d1 : mc110g1 : mc110i1:mc110a2											
7.94	0.12	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	5.2		253.5	79.6	218.2	5	5				4.9817	0							-78.238		McMurdo	163.443	DE-DI:DE-FM	i		mc110	pmagpy-2.60	mc110b2 : mc110d1 : mc110g1 : mc110i1:mc110a2							5.9	10.1	-69.9	89.6	5
																																mc110													
1.99	0.02	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	1.7	A	47.9	-67.6	1243.3	7		7	0	n	6.9952	0	Extrusive:Igneous	Lava Flow					-78.224	Basalt	McMurdo	162.787	DA-DIR-GEO:DE-FM			mc111	pmagpy-2.60	mc111b1 : mc111d1 : mc111d2 : mc111e1 : mc111e2 : mc111f1:mc111a2											
