tab 	specimens
analyst_names	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_s	aniso_s_mean	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_tilt_correction	experiment_names	geologic_classes	geologic_types	hyst_bc	hyst_bcr	hyst_mr_moment	hyst_ms_moment	int_abs	int_b	int_b_beta	int_b_sigma	int_corr	int_dang	int_drats	int_f	int_fvds	int_gamma	int_mad_free	int_md	int_n_measurements	int_n_ptrm	int_q	int_rsc	int_treat_dc_field	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	sample	software_packages	specimen
@ltauxe														This study			A	166.4	68.4	0.8	13	0	mc117a2-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.005	T	LP-DIR-AF : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc117a	pmagpy-2.58	mc117a2
@jsteindorf														This study									mc117a2-1 : LP-HYS	Igneous : Extrusive	Lava Flow	0.01727	0.045	9.224E-07	0.00000485																		Basalt				LT-AF-I : LP-AN-ARM : LP-BCR-HDM	mc117a		mc117a2-1
@ltauxe														This study			A	167.6	70.3	1.1	11	0	mc117b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	823	473	K	LP-DIR-T : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc117b	pmagpy-2.58	mc117b1
@ltauxe														This study				193.4	65.3			-1	mc117b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow					2.6184e-05	-1.047	0.02	0.021	u	1	14.5	0.914	0.921	2.3	1.3	-1	12	5	37.8	0.9958	2.5e-05	Basalt	823	423	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT : DE-BFL	mc117b	pmagpy-2.60	mc117b1
@ltauxe														This study			A	165.1	70.3	1.5	10	0	mc117d2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	813	473	K	LP-DIR-T : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc117d	pmagpy-2.58	mc117d2
@ltauxe														This study				189.3	48.4			-1	mc117d2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow					2.6788e-05	-1.072	0.022	0.023	u	0.8	15.4	0.902	0.908	2	1.5	-1	11	5	33.5	0.9958	2.5e-05	Basalt	813	423	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT : DE-BFL	mc117d	pmagpy-2.60	mc117d2
@ltauxe														This study			A	165.1	69.6	2.8	10	0	mc117e2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	813	473	K	LP-DIR-T : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc117e	pmagpy-2.58	mc117e2
@ltauxe														This study				194.9	53.7			-1	mc117e2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow					2.7157e-05	-1.086	0.025	0.028	u	1.2	16.3	0.885	0.855	0.7	2.8	-1	11	5	28.7	0.9942	2.5e-05	Basalt	813	423	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT : DE-BFL	mc117e	pmagpy-2.60	mc117e2
@ltauxe														This study			A	158.6	71.4	1.9	13	0	mc117h1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.005	T	LP-DIR-AF : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc117h	pmagpy-2.58	mc117h1
@ltauxe														This study			A	62.1	-57.9	1.5	13	0	mc118a1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.005	T	LP-DIR-AF : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc118a	pmagpy-2.58	mc118a1
@ltauxe														This study			A	65.9	-54	2.4	11	0	mc118c1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.15	0.01	T	LP-DIR-AF : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc118c	pmagpy-2.58	mc118c1
@ltauxe														This study			A	62.7	-51.4	1.2	10	0	mc118d1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.16	0.015	T	LP-DIR-AF : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc118d	pmagpy-2.58	mc118d1
@ltauxe														This study			A	56.4	-51.3	1.2	10	0	mc118e1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.02	T	LP-DIR-AF : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc118e	pmagpy-2.58	mc118e1
@ltauxe														This study			A	52.3	-49.6	2.1	10	0	mc118f1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.02	T	LP-DIR-AF : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc118f	pmagpy-2.58	mc118f1
@ltauxe														This study			A	52.3	-41.6	1.7	10	0	mc118i1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.16	0.015	T	LP-DIR-AF : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc118i	pmagpy-2.58	mc118i1
@ltauxe														This study			A	64.7	-65.4	1.2	10	0	mc118l2-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.12	0.01	T	LP-DIR-AF : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc118l	pmagpy-2.58	mc118l2
@ltauxe														This study				148.7	53.1			-1	mc119a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow					4.2403e-05	-1.696	0.042	0.072	u	0.1	0.3	0.532	0.651	0.6	1.9	-1	9	5	10.3	0.9875	2.5e-05	Basalt	823	573	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT : DE-BFL	mc119a	pmagpy-2.60	mc119a1
@ltauxe														This study			A	119.3	49.4	1.9	10	0	mc119a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	813	473	K	LP-DIR-T : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc119a	pmagpy-2.58	mc119a1
@ltauxe														This study				143.9	46.7			-1	mc119b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow					4.3595e-05	-1.744	0.03	0.052	u	0.8	1.9	0.395	0.487	1.3	1.7	-1	8	5	11	0.9947	2.5e-05	Basalt	823	623	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT : DE-BFL	mc119b	pmagpy-2.60	mc119b1
@ltauxe														This study			A	124.4	50.9	2.2	10	0	mc119b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	813	473	K	LP-DIR-T : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc119b	pmagpy-2.58	mc119b1
@ltauxe														This study			A	126.1	48.6	1.2	13	0	mc119b2-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.005	T	LP-DIR-AF : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc119b	pmagpy-2.58	mc119b2
@ltauxe														This study				152.8	35			-1	mc119d2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow					3.9053e-05	-1.562	0.028	0.043	u	0.7	3.3	0.514	0.606	1	1.3	-1	7	5	14.6	0.9962	2.5e-05	Basalt	813	623	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT : DE-BFL	mc119d	pmagpy-2.60	mc119d2
@ltauxe														This study			A	124.6	51.1	2.9	10	0	mc119d2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	813	473	K	LP-DIR-T : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc119d	pmagpy-2.58	mc119d2
@ltauxe														This study				155.5	52.5			-1	mc119e2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow					4.025e-05	-1.61	0.041	0.065	u	0.8	3.5	0.508	0.616	1.3	1.1	-1	7	5	9.7	0.9918	2.5e-05	Basalt	813	623	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT : DE-BFL	mc119e	pmagpy-2.60	mc119e2
@ltauxe														This study			A	126.6	45.8	2.1	10	0	mc119e2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	813	473	K	LP-DIR-T : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc119e	pmagpy-2.58	mc119e2
@ltauxe														This study				160.1	58.9			-1	mc119f2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow					3.9545e-05	-1.582	0.047	0.074	u	1.2	1.3	0.581	0.712	1.6	1.3	-1	8	5	10.2	0.987	2.5e-05	Basalt	813	573	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT : DE-BFL	mc119f	pmagpy-2.60	mc119f2
@ltauxe														This study			A	127.3	47.8	1.9	10	0	mc119f2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	813	473	K	LP-DIR-T : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc119f	pmagpy-2.58	mc119f2
@ltauxe														This study			A	332.3	-74.6	1.8	10	0	mc11a-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Basalt	823	373	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc11a	pmagpy-2.58	mc11a
@ltauxe														This study				10.9	-13.2			-1	mc11b-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow					4.8107e-05	-1.203	0.049	0.059	u	2.8	2	0.794	0.804	1.3	2.6	-1	11	5	13.2	0.9781	4e-05	Basalt	823	373	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT : DE-BFL	mc11b	pmagpy-2.60	mc11b
@ltauxe														This study			A	323.3	-79.4	2.6	11	0	mc11b-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow									u													Basalt	823	373	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc11b	pmagpy-2.58	mc11b
@ltauxe														This study				8.2	-20.5			-1	mc11c-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow					5.1424e-05	-1.286	0.037	0.047	u	1.9	4.3	0.76	0.765	2.2	1.9	-1	11	5	16.8	0.9879	4e-05	Basalt	823	373	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT : DE-BFL	mc11c	pmagpy-2.60	mc11c
@ltauxe														This study			A	308.4	-79.7	0.5	4	0	mc11c-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow									u													Basalt	798	673	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc11c	pmagpy-2.58	mc11c
@ltauxe														This study			A	323	-75	0.7	13	0	mc11d-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.005	T	LP-DIR-AF : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc11d	pmagpy-2.58	mc11d
@ltauxe														This study			A	334.1	-76	0.9	6	0	mc11e-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow									u													Basalt	823	623	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc11e	pmagpy-2.58	mc11e
@ltauxe														This study				22.3	-63.3			-1	mc11e-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow					3.031e-05	-0.758	0.062	0.047	u	0.9	7.9	0.691	0.668	1	0.9	-1	6	5	8.2	0.9845	4e-05	Basalt	823	623	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT : DE-BFL	mc11e	pmagpy-2.60	mc11e
@ltauxe														This study			A	310.4	-78.5	1.5	10	0	mc11f-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Basalt	823	373	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc11f	pmagpy-2.58	mc11f
@ltauxe														This study			A	335.6	-76.5	1.4	10	0	mc11g-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Basalt	823	373	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc11g	pmagpy-2.58	mc11g
@ltauxe														This study			A	340.6	-75.7	1	5	0	mc11h-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow									u													Basalt	823	673	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc11h	pmagpy-2.58	mc11h
@ltauxe														This study				16.6	-62.4			-1	mc11h-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow					2.2828e-05	-0.571	0.045	0.025	u	3.6	17.6	0.683	0.601	0.6	3.6	-1	9	4	12.4	0.9861	4e-05	Basalt	773	373	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT : DE-BFL	mc11h	pmagpy-2.60	mc11h
@ltauxe														This study			A	72.8	-72.4	2.3	7	0	mc120a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	813	623	K	LP-DIR-T : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc120a	pmagpy-2.58	mc120a1
@ltauxe														This study				331.8	-62.6			-1	mc120a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow					2.4746e-05	-0.99	0.021	0.02	u	0.7	4.2	0.733	0.695	0.4	3.6	-1	10	5	29.1	0.9966	2.5e-05	Basalt	813	473	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT : DE-BFL	mc120a	pmagpy-2.60	mc120a1
@ltauxe														This study			A	69.1	-71.6	0.7	13	0	mc120a2-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.005	T	LP-DIR-AF : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc120a	pmagpy-2.58	mc120a2
@jsteindorf														This study									mc120a2-1 : LP-HYS	Igneous : Extrusive	Lava Flow	0.04297	0.065	0.000001708	0.000003911																		Basalt				LT-AF-I : LP-AN-ARM : LP-BCR-HDM	mc120a		mc120a2-1
@ltauxe														This study			A	78	-75.1	2.8	13	0	mc120b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	838	523	K	LP-DIR-T : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc120b	pmagpy-2.58	mc120b1
@ltauxe														This study				313	-78.3			-1	mc120b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow					2.4699e-05	-0.988	0.006	0.006	u	1	7.8	0.927	0.857	1.5	2.4	-1	16	8	143.2	0.9995	2.5e-05	Basalt	843	423	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT : DE-BFL	mc120b	pmagpy-2.60	mc120b1
@ltauxe														This study			A	79.4	-72.9	1.9	6	0	mc120b2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	813	673	K	LP-DIR-T : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc120b	pmagpy-2.58	mc120b2
@ltauxe														This study				313.8	-78.8			-1	mc120b2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow					2.4973e-05	-0.999	0.023	0.023	u	1	3.6	0.731	0.69	0.8	3.4	-1	10	5	26.2	0.9958	2.5e-05	Basalt	813	473	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT : DE-BFL	mc120b	pmagpy-2.60	mc120b2
@ltauxe														This study			A	61.4	-71.9	1.4	9	0	mc120c1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	833	673	K	LP-DIR-T : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc120c	pmagpy-2.58	mc120c1
@ltauxe														This study				339.3	-61.8			-1	mc120c1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow					2.3945e-05	-0.958	0.011	0.011	u	0.4	7.3	0.942	0.903	1.9	2.4	-1	14	7	73.1	0.9985	2.5e-05	Basalt	833	423	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT : DE-BFL	mc120c	pmagpy-2.60	mc120c1
@ltauxe														This study			A	67.5	-69.5	2.4	11	0	mc120f1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	833	523	K	LP-DIR-T : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc120f	pmagpy-2.58	mc120f1
@ltauxe														This study				338.1	-23.4			-1	mc120f1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow					2.322e-05	-0.929	0.029	0.027	u	0.7	2.7	0.917	0.857	1.5	2	-1	10	6	26.9	0.9931	2.5e-05	Basalt	833	573	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT : DE-BFL	mc120f	pmagpy-2.60	mc120f1
@ltauxe														This study			A	78.1	-66.2	2.5	13	0	mc120j2-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.15	0	T	LP-DIR-AF : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc120j	pmagpy-2.58	mc120j2
@ltauxe														This study			A	76	-68.3	1.6	11	0	mc120l1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.015	T	LP-DIR-AF : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc120l	pmagpy-2.58	mc120l1
@ltauxe														This study			A	78.7	-67.1	3.1	14	0	mc120m2-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0	T	LP-DIR-AF : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc120m	pmagpy-2.58	mc120m2
@ltauxe														This study			A	126.9	75.7	1.7	13	0	mc121a1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.005	T	LP-DIR-AF : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc121a	pmagpy-2.58	mc121a1
@ltauxe														This study				195.9	20			-1	mc121c1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow					1.1995e-05	-0.48	0.103	0.05	u	1.7	8	0.62	0.6	3	6.5	-1	12	5	5	0.8958	2.5e-05	Basalt	823	423	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT : DE-BFL	mc121c	pmagpy-2.60	mc121c1
@ltauxe														This study			A	106.8	75.5	4.3	8	0	mc121c1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	823	623	K	LP-DIR-T : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc121c	pmagpy-2.58	mc121c1
@ltauxe														This study			A	125.5	72.9	1.5	13	0	mc121c3-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.005	T	LP-DIR-AF : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc121c	pmagpy-2.58	mc121c3
@jsteindorf	3.8	0.4	5.3	0.29925 : 0.346846 : 0.353904 : -0.001806 : -0.005028 : 0.001793	0.00005973	9	0.013881	Am^2	-1	AARM	0.356621 : 275.2 : 62.3 : eta/zeta : 1.7 : 182 : 17.6 : 27.7 : 91.1 : 55.9	0.344245 : 91.1 : 27.7 : eta/zeta : 1.7 : 182 : 22.1 : 62.3 : 275.2 : 55.9	0.299134 : 182 : 1.7 : eta/zeta : 27.7 : 91.1 : 22.1 : 62.3 : 275.2 : 17.6	This study	mc121d1, Hext statistics adapted to AARM.								mc121d1 : AARM	Igneous : Extrusive	Lava Flow																						Basalt				LP-AN-ARM : AE-H	mc121d	pmagpy-2.58	mc121d1
@ltauxe														This study			A	107.8	74.6	4.7	9	0	mc121d1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	813	523	K	LP-DIR-T : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc121d	pmagpy-2.58	mc121d1
@ltauxe														This study				196.7	13.7			-1	mc121d1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow					2.4039e-05	-0.83	0.103	0.086	c	5	3.5	0.481	0.505	3.5	8.2	-1	9	5	3.1	0.9268	2.5e-05	Basalt	793	423	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT : DA-AC-AARM : DE-BFL	mc121d	pmagpy-2.60	mc121d1
@ltauxe														This study			A	120	75.2	1.6	13	0	mc121d2-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.005	T	LP-DIR-AF : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc121d	pmagpy-2.58	mc121d2
@ltauxe														This study			A	120	78.5	5.6	8	0	mc121e1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	823	623	K	LP-DIR-T : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc121e	pmagpy-2.58	mc121e1
@ltauxe														This study				184.9	21.4			-1	mc121e1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow					2.8165e-05	-1.127	0.11	0.124	u	6.9	1	0.48	0.484	1.4	9.4	-1	8	5	3.4	0.9284	2.5e-05	Basalt	773	423	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT : DE-BFL	mc121e	pmagpy-2.60	mc121e1
@ltauxe														This study			A	111.5	79.7	1	12	0	mc121e2-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.01	T	LP-DIR-AF : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc121e	pmagpy-2.58	mc121e2
@jsteindorf	2.1	0.7	2.1	0.306057 : 0.353515 : 0.340428 : -0.003151 : -0.006369 : 0.003433	0.00004164	9	0.015839	Am^2	-1	AARM	0.356456 : 275.2 : 22.5 : eta/zeta : 5.1 : 183.1 : 22.3 : 66.8 : 81.1 : 48.4	0.337961 : 81.1 : 66.8 : eta/zeta : 5.1 : 183.1 : 32.8 : 22.5 : 275.2 : 48.4	0.305583 : 183.1 : 5.1 : eta/zeta : 66.8 : 81.1 : 32.8 : 22.5 : 275.2 : 22.3	This study	mc121f2, Hext statistics adapted to AARM.								mc121f2 : AARM	Igneous : Extrusive	Lava Flow																						Basalt				LP-AN-ARM : AE-H	mc121f	pmagpy-2.58	mc121f2
@ltauxe														This study				187.6	19.4			-1	mc121f2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow					2.0479e-05	-0.742	0.086	0.064	c	4.5	12.6	0.805	0.693	1.1	5	-1	11	5	7.7	0.9338	2.5e-05	Basalt	813	423	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT : DA-AC-AARM : DE-BFL	mc121f	pmagpy-2.60	mc121f2
@ltauxe														This study			A	105.2	79.7	4.4	7	0	mc121f2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	813	623	K	LP-DIR-T : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc121f	pmagpy-2.58	mc121f2
@jsteindorf	0.2	0	0.3	0.329414 : 0.335687 : 0.334899 : 0.001229 : -0.00209 : 0.004776	0.00003321	9	0.011449	Am^2	-1	AARM	0.338302 : 308 : 53.4 : eta/zeta : 30.6 : 165.2 : 51.2 : 18.1 : 64.1 : 79.6	0.335524 : 64.1 : 18.1 : eta/zeta : 30.6 : 165.2 : 58.2 : 53.4 : 308 : 79.6	0.326174 : 165.2 : 30.6 : eta/zeta : 18.1 : 64.1 : 58.2 : 53.4 : 308 : 51.2	This study	mc121g1, Hext statistics adapted to AARM.								mc121g1 : AARM	Igneous : Extrusive	Lava Flow																						Basalt				LP-AN-ARM : AE-H	mc121g	pmagpy-2.58	mc121g1
@ltauxe														This study				197.5	63.6			-1	mc121g1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow					3.4742e-05	-1.373	0.035	0.048	c	1.1	12.9	0.908	0.928	1.7	1.6	-1	16	9	23.1	0.9828	2.5e-05	Basalt	853	523	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : SM-TTEST : IE-TT : DA-AC-AARM : DE-BFL	mc121g	pmagpy-2.60	mc121g1
@ltauxe														This study			A	125.7	81.3	1.6	16	0	mc121g1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	853	523	K	LP-DIR-T : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc121g	pmagpy-2.58	mc121g1
@ltauxe														This study			A	143.4	83.2	1.1	13	0	mc121i1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.005	T	LP-DIR-AF : SO-GPS-DIFF : DE-BFL : DA-DIR-GEO	mc121i	pmagpy-2.58	mc121i1
@jsteindorf	6.4	0.2	10.6	0.308342 : 0.347751 : 0.343907 : 0.007078 : -0.000169 : 0.018612	0.00005627	9	0.010382	Am^2	-1	AARM	0.353319 : 50.5 : 51.2 : eta/zeta : 22.5 : 171.6 : 14.3 : 29.7 : 275.3 : 65.9	0.347196 : 275.3 : 29.7 : eta/zeta : 22.5 : 171.6 : 16 : 51.2 : 50.5 : 65.9	0.299486 : 171.6 : 22.5 : eta/zeta : 29.7 : 275.3 : 16 : 51.2 : 50.5 : 14.3	This study	mc121k1, Hext statistics adapted to AARM.								mc121k1 : AARM	Igneous : Extrusive	Lava Flow																						Basalt				LP-AN-ARM : AE-H	mc121k	pmagpy-2.58	mc121k1
