tab 	images
citations	file	keywords	location	photographers	site	timestamp	title	type
This study	DSC_0207.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	McMurdo	Hubert Staudigel	mc204	2006:11:28:00:00:00.00	MC204 overview of outcrop	Outcrop
This study	DSC_0208.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	McMurdo	Hubert Staudigel	mc204	2006:11:28:00:00:00.00	MC204 overview of outcrop	Outcrop
This study	DSC_0209.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	McMurdo	Hubert Staudigel	mc204	2006:11:28:00:00:00.00	MC204 overview of outcrop	Outcrop
This study	DSC_0210.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	McMurdo	Hubert Staudigel	mc204	2006:11:28:00:00:00.00	MC204 detail of samples	Outcrop
This study	DSC_0211.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	McMurdo	Hubert Staudigel	mc204	2006:11:28:00:00:00.00	MC204 detail of samples	Outcrop
This study	DSC_0212.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	McMurdo	Hubert Staudigel	mc204	2006:11:28:00:00:00.00	MC204 detail of samples	Outcrop
This study	DSC_0213.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	McMurdo	Hubert Staudigel	mc204	2006:11:28:00:00:00.00	MC204 detail of samples	Outcrop
This study	DSC_0002.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	McMurdo	Hubert Staudigel	mc205	2006:12:02:00:00:00.00	MC205 detail of samples	Outcrop
This study	DSC_0003.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	McMurdo	Hubert Staudigel	mc205	2006:12:02:00:00:00.00	MC205 detail of samples	Outcrop
This study	DSC_0004.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	McMurdo	Hubert Staudigel	mc205	2006:12:02:00:00:00.00	MC205 detail of samples	Outcrop
This study	DSC_0005.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	McMurdo	Hubert Staudigel	mc205	2006:12:02:00:00:00.00	MC205 detail of samples	Outcrop
This study	DSC_0006.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	McMurdo	Hubert Staudigel	mc205	2006:12:02:00:00:00.00	MC205 detail of samples	Outcrop
This study	DSC_0007.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	McMurdo	Hubert Staudigel	mc205	2006:12:02:00:00:00.00	MC205 detail of samples	Outcrop
This study	DSC_0008.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	McMurdo	Hubert Staudigel	mc205	2006:12:02:00:00:00.00	MC205 detail of samples	Outcrop
This study	DSC_0009.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	McMurdo	Hubert Staudigel	mc205	2006:12:02:00:00:00.00	MC205 detail of samples	Outcrop
This study	DSC_0010.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	McMurdo	Hubert Staudigel	mc205	2006:12:02:00:00:00.00	MC205 detail of samples	Outcrop
This study	DSC_0011.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	McMurdo	Hubert Staudigel	mc205	2006:12:02:00:00:00.00	MC205 detail of samples	Outcrop
This study	DSC_0012.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	McMurdo	Hubert Staudigel	mc205	2006:12:02:00:00:00.00	MC205 detail of samples	Outcrop
