tab 	sites																																														
	age	age_sigma	age_unit	analysts	citations	criterion	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	lat	lithologies	location	lon	method_codes	result_type	samples	site	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_alpha95	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
	1.62	0.14	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc114, Site VGPA comp: (geog. coord)."	3.1	A	52.4	-69.7	614	5	5				4.9935	0	Igneous : Extrusive	Lava Flow					-78.224	Basalt	McMurdo	162.783	DE-FM : DE-DI	i		mc114	pmagpy-2.60	mc114a1 : mc114b2 : mc114c1 : mc114d2 : mc114i1								1.8	6	59.4	230.7	5
	2.46	0.155	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.5	A	77.7	68.1	359.2	6		6	0	r	5.9861	0	Igneous : Extrusive	Lava Flow					-78.243	Basalt	McMurdo	162.958	DE-FM : DA-DIR-GEO			mc115	pmagpy-2.60	mc115a1 : mc115a2 : mc115b1 : mc115e1 : mc115g2 : mc115h1												
	2.46	0.155	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.00002461	4.30E-07	1.747	2	-78.243	Basalt	McMurdo	162.958	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc115a : mc115b	mc115	pmagpy-2.60	mc115a2 : mc115b1												
	2.46	0.155	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc115, Site VGPA comp: (geog. coord)."	3.5	A	77.7	68.1	359.2	6	6				5.9861	0	Igneous : Extrusive	Lava Flow					-78.243	Basalt	McMurdo	162.958	DE-FM : DE-DI	i		mc115	pmagpy-2.60	mc115a1 : mc115a2 : mc115b1 : mc115e1 : mc115g2 : mc115h1								1.9	6.8	-47.4	227.7	6
	2.46	0.155	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc115, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.00002461	4.30E-07	1.747	2	-78.243	Basalt	McMurdo	162.958	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT	i	mc115a : mc115b	mc115	pmagpy-2.60	mc115a2 : mc115b1	3.23E+22	2	5.65E+20	3.79E+22	2	6.62E+20						
	1.14	0.055	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	6.5	A	274.6	-81.2	139.7	5		5	0	n	4.9714	0	Igneous : Extrusive	Lava Flow					-78.222	Basalt	McMurdo	162.744	DE-FM : DA-DIR-GEO			mc116	pmagpy-2.60	mc116a1 : mc116b1 : mc116c1 : mc116i2 : mc116j2												
	1.14	0.055	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.00003977	0.000001761	4.427	2	-78.222	Basalt	McMurdo	162.744	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc116b : mc116j	mc116	pmagpy-2.60	mc116b1 : mc116j2												
	1.14	0.055	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc116, Site VGPA comp: (geog. coord)."	6.5	A	274.6	-81.2	139.7	5	5				4.9714	0	Igneous : Extrusive	Lava Flow					-78.222	Basalt	McMurdo	162.744	DE-FM : DE-DI	i		mc116	pmagpy-2.60	mc116a1 : mc116b1 : mc116c1 : mc116i2 : mc116j2								8.7	12.6	70	42.5	5
	1.14	0.055	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc116, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.00003977	0.000001761	4.427	2	-78.222	Basalt	McMurdo	162.744	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT	i	mc116b : mc116j	mc116	pmagpy-2.60	mc116b1 : mc116j2	5.22E+22	2	2.31E+21	5.32E+22	2	2.36E+21						
	2.28	0.12	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	1.2	A	164.5	70	3152.4	6		6	0	r	5.9984	0	Igneous : Extrusive	Lava Flow					-78.235	Basalt	McMurdo	162.973	DE-FM : DA-DIR-GEO			mc117	pmagpy-2.60	mc117a1 : mc117a2 : mc117b1 : mc117d2 : mc117e2 : mc117h1												
	2.28	0.12	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.00002641	7.25E-07	2.747	4	-78.235	Basalt	McMurdo	162.973	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc117a : mc117b : mc117d : mc117e	mc117	pmagpy-2.60	mc117a1 : mc117b1 : mc117d2 : mc117e2												
	2.28	0.12	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc117, Site VGPA comp: (geog. coord)."	1.2	A	164.5	70	3152.4	6	6				5.9984	0	Igneous : Extrusive	Lava Flow					-78.235	Basalt	McMurdo	162.973	DE-FM : DE-DI	i		mc117	pmagpy-2.60	mc117a1 : mc117a2 : mc117b1 : mc117d2 : mc117e2 : mc117h1								0.7	2.3	-65.1	321	6
	2.28	0.12	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc117, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.00002641	7.25E-07	2.747	4	-78.235	Basalt	McMurdo	162.973	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT	i	mc117a : mc117b : mc117d : mc117e	mc117	pmagpy-2.60	mc117a1 : mc117b1 : mc117d2 : mc117e2	3.47E+22	4	9.53E+20	3.97E+22	4	1.09E+21						
	0.31	0.02	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	6.1	A	58.9	-53.1	99	7		7	0	n	6.9394	0	Igneous : Extrusive	Lava Flow					-78.241	Basalt	McMurdo	163.141	DE-FM : DA-DIR-GEO			mc118	pmagpy-2.60	mc118a1 : mc118c1 : mc118d1 : mc118e1 : mc118f1 : mc118i1 : mc118l2												
	0.31	0.02	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc118, Site VGPA comp: (geog. coord)."	6.1	A	58.9	-53.1	99	7	7				6.9394	0	Igneous : Extrusive	Lava Flow					-78.241	Basalt	McMurdo	163.141	DE-FM : DE-DI	i		mc118	pmagpy-2.60	mc118a1 : mc118c1 : mc118d1 : mc118e1 : mc118f1 : mc118i1 : mc118l2								2.1	11.8	39.1	229.8	7
	1.08	0.11	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.3	A	124.8	49	864.8	6		6	0	r	5.9942	0	Igneous : Extrusive	Lava Flow					-78.239	Basalt	McMurdo	162.957	DE-FM : DA-DIR-GEO			mc119	pmagpy-2.60	mc119a1 : mc119b1 : mc119b2 : mc119d2 : mc119e2 : mc119f2												
	1.08	0.11	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.00004097	0.000001947	4.753	5	-78.239	Basalt	McMurdo	162.957	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc119a : mc119b : mc119d : mc119e : mc119f	mc119	pmagpy-2.60	mc119a1 : mc119b1 : mc119d2 : mc119e2 : mc119f2												
	1.08	0.11	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc119, Site VGPA comp: (geog. coord)."	2.3	A	124.8	49	864.8	6	6				5.9942	0	Igneous : Extrusive	Lava Flow					-78.239	Basalt	McMurdo	162.957	DE-FM : DE-DI	i		mc119	pmagpy-2.60	mc119a1 : mc119b1 : mc119b2 : mc119d2 : mc119e2 : mc119f2								0.7	4.5	-36.1	281.2	6
	1.08	0.11	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc119, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.00004097	0.000001947	4.753	5	-78.239	Basalt	McMurdo	162.957	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT	i	mc119a : mc119b : mc119d : mc119e : mc119f	mc119	pmagpy-2.60	mc119a1 : mc119b1 : mc119d2 : mc119e2 : mc119f2	5.38E+22	5	2.56E+21	8.02E+22	5	3.81E+21						
					This study															Igneous : Extrusive	Lava Flow					-77.58	Basalt	McMurdo	166.23				mc12														
					This study															Igneous : Extrusive	Lava Flow					-77.58	Basalt	McMurdo	166.23				mc12														
	1.756	0.025	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.3	A	73.6	-70.6	509.6	9		9	0	n	8.9843	0	Igneous : Extrusive	Lava Flow					-78.241	Basalt	McMurdo	163.092	DE-FM : DA-DIR-GEO			mc120	pmagpy-2.60	mc120a1 : mc120a2 : mc120b1 : mc120b2 : mc120c1 : mc120f1 : mc120j2 : mc120l1 : mc120m2												
	1.756	0.025	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.00002432	7.25E-07	2.981	5	-78.241	Basalt	McMurdo	163.092	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc120a : mc120b : mc120b : mc120c : mc120f	mc120	pmagpy-2.60	mc120a1 : mc120b1 : mc120b2 : mc120c1 : mc120f1												
	1.756	0.025	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc120, Site VGPA comp: (geog. coord)."	2.3	A	73.6	-70.6	509.6	9	9				8.9843	0	Igneous : Extrusive	Lava Flow					-78.241	Basalt	McMurdo	163.092	DE-FM : DE-DI	i		mc120	pmagpy-2.60	mc120a1 : mc120a2 : mc120b1 : mc120b2 : mc120c1 : mc120f1 : mc120j2 : mc120l1 : mc120m2								1.4	4.5	56.5	253.9	9
	1.756	0.025	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc120, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.00002432	7.25E-07	2.981	5	-78.241	Basalt	McMurdo	163.092	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT	i	mc120a : mc120b : mc120b : mc120c : mc120f	mc120	pmagpy-2.60	mc120a1 : mc120b1 : mc120b2 : mc120c1 : mc120f1	3.20E+22	5	9.52E+20	3.63E+22	5	1.08E+21						
	2.505	0.03	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.3	A	117.4	78.4	389.2	11		11	0	r	10.9743	0	Igneous : Extrusive	Lava Flow					-78.235	Basalt	McMurdo	162.954	DE-FM : DA-DIR-GEO			mc121	pmagpy-2.60	mc121a1 : mc121c1 : mc121c3 : mc121d1 : mc121d2 : mc121e2 : mc121f2 : mc121g1 : mc121i1 : mc121k1 : mc121k2												
	2.505	0.03	Ma	@ltauxe	This study	IE-SPEC														Igneous : Extrusive	Lava Flow	0.00002466	0.000007086	28.73	7	-78.235	Basalt	McMurdo	162.954	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT : DA-AC-AARM		mc121c : mc121d : mc121e : mc121f : mc121g : mc121k : mc121k	mc121	pmagpy-2.60	mc121c1 : mc121d1 : mc121e1 : mc121f2 : mc121g1 : mc121k1 : mc121k2												
	2.505	0.03	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc121, Site VGPA comp: (geog. coord)."	2.3	A	117.4	78.4	389.2	11	11				10.9743	0	Igneous : Extrusive	Lava Flow					-78.235	Basalt	McMurdo	162.954	DE-FM : DE-DI	i		mc121	pmagpy-2.60	mc121a1 : mc121c1 : mc121c3 : mc121d1 : mc121d2 : mc121e2 : mc121f2 : mc121g1 : mc121i1 : mc121k1 : mc121k2								2.3	4.5	-70.3	250	11
	12.699	0.045	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.8	A	12.2	-72.4	177.8	5		5	0	n	4.9775	0	Igneous : Extrusive	Lava Flow					-78.187	Basalt	McMurdo	163.58	DE-FM : DA-DIR-GEO			mc122	pmagpy-2.60	mc122a1 : mc122b1 : mc122c1 : mc122d1 : mc122k2												
	12.699	0.045	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc122, Site VGPA comp: (geog. coord)."	5.8	A	12.2	-72.4	177.8	5	5				4.9775	0	Igneous : Extrusive	Lava Flow					-78.187	Basalt	McMurdo	163.58	DE-FM : DE-DI	i		mc122	pmagpy-2.60	mc122a1 : mc122b1 : mc122c1 : mc122d1 : mc122k2								3.9	11.2	69	182	5
	1.93	0.025	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.1	A	76.1	-82.1	317.2	8		8	0	n	7.9779	0	Igneous : Extrusive	Lava Flow					-78.254	Basalt	McMurdo	163.729	DE-FM : DA-DIR-GEO			mc123	pmagpy-2.60	mc123a1 : mc123a2 : mc123b1 : mc123b2 : mc123c2 : mc123c3 : mc123f1 : mc123j1												
	1.93	0.025	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.00003004	0.000002256	7.511	4	-78.254	Basalt	McMurdo	163.729	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc123a : mc123b : mc123b : mc123c	mc123	pmagpy-2.60	mc123a2 : mc123b1 : mc123b2 : mc123c3												
	1.93	0.025	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc123, Site VGPA comp: (geog. coord)."	3.1	A	76.1	-82.1	317.2	8	8				7.9779	0	Igneous : Extrusive	Lava Flow					-78.254	Basalt	McMurdo	163.729	DE-FM : DE-DI	i		mc123	pmagpy-2.60	mc123a1 : mc123a2 : mc123b1 : mc123b2 : mc123c2 : mc123c3 : mc123f1 : mc123j1								4.6	6	73	280.9	8
	1.93	0.025	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc123, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.00003004	0.000002256	7.511	4	-78.254	Basalt	McMurdo	163.729	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT	i	mc123a : mc123b : mc123b : mc123c	mc123	pmagpy-2.60	mc123a2 : mc123b1 : mc123b2 : mc123c3	3.95E+22	4	2.96E+21	3.99E+22	4	3.00E+21						
	12.61	0.055	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.4	A	13.2	-73.4	654.8	7		7	0	n	6.9908	0	Igneous : Extrusive	Lava Flow					-78.186	Basalt	McMurdo	163.567	DE-FM : DA-DIR-GEO			mc124	pmagpy-2.60	mc124a1 : mc124d1 : mc124d2 : mc124f1 : mc124g1 : mc124j1 : mc124l1												
	12.61	0.055	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc124, Site VGPA comp: (geog. coord)."	2.4	A	13.2	-73.4	654.8	7	7				6.9908	0	Igneous : Extrusive	Lava Flow					-78.186	Basalt	McMurdo	163.567	DE-FM : DE-DI	i		mc124	pmagpy-2.60	mc124a1 : mc124d1 : mc124d2 : mc124f1 : mc124g1 : mc124j1 : mc124l1								1.7	4.6	70.5	184.1	7
	4.26	0.09	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.4	A	345	-67.7	92.4	9		9	0	n	8.9134	0	Igneous : Intrusive	Volcanic Dike					-78.254	Basalt	McMurdo	163.73	DE-FM : DA-DIR-GEO			mc125	pmagpy-2.60	mc125a1 : mc125b1 : mc125c1 : mc125d1 : mc125e1 : mc125e3 : mc125g1 : mc125i1 : mc125m1												
	4.26	0.09	Ma	@ltauxe	This study	IE-SPEC														Igneous : Intrusive	Volcanic Dike	0.00002592	0	0	1	-78.254	Basalt	McMurdo	163.73	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc125i	mc125	pmagpy-2.60	mc125i1												
	4.26	0.09	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc125, Site VGPA comp: (geog. coord)."	5.4	A	345	-67.7	92.4	9	9				8.9134	0	Igneous : Intrusive	Volcanic Dike					-78.254	Basalt	McMurdo	163.73	DE-FM : DE-DI	i		mc125	pmagpy-2.60	mc125a1 : mc125b1 : mc125c1 : mc125d1 : mc125e1 : mc125e3 : mc125g1 : mc125i1 : mc125m1								2.9	10.5	61.8	143.4	9
	4	4	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.5	A	359.4	-79.6	103.2	8		8	0	n	7.9321	0	Igneous : Extrusive	Lava Flow					-78.253	Basalt	McMurdo	163.737	DE-FM : DA-DIR-GEO			mc126	pmagpy-2.60	mc126a2 : mc126c1 : mc126c2 : mc126d1 : mc126e1 : mc126f1 : mc126g1 : mc126i1												
	4	4	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc126, Site VGPA comp: (geog. coord)."	5.5	A	359.4	-79.6	103.2	8	8				7.9321	0	Igneous : Extrusive	Lava Flow					-78.253	Basalt	McMurdo	163.737	DE-FM : DE-DI	i		mc126	pmagpy-2.60	mc126a2 : mc126c1 : mc126c2 : mc126d1 : mc126e1 : mc126f1 : mc126g1 : mc126i1								6.2	10.7	81.6	162.3	8
	1.942	0.034	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.1	A	326.2	-67.2	666.9	8		8	0	n	7.9895	0	Igneous : Extrusive	Lava Flow					-78.254	Basalt	McMurdo	163.733	DE-FM : DA-DIR-GEO			mc127	pmagpy-2.60	mc127a1 : mc127a2 : mc127b1 : mc127c1 : mc127d1 : mc127f1 : mc127g2 : mc127i1												
	1.942	0.034	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.00003849	0.000001522	3.954	2	-78.254	Basalt	McMurdo	163.733	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc127a : mc127c	mc127	pmagpy-2.60	mc127a2 : mc127c1												
	1.942	0.034	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc127, Site VGPA comp: (geog. coord)."	2.1	A	326.2	-67.2	666.9	8	8				7.9895	0	Igneous : Extrusive	Lava Flow					-78.254	Basalt	McMurdo	163.733	DE-FM : DE-DI	i		mc127	pmagpy-2.60	mc127a1 : mc127a2 : mc127b1 : mc127c1 : mc127d1 : mc127f1 : mc127g2 : mc127i1								1.1	4.1	59.1	119.5	8
	1.942	0.034	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc127, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.00003849	0.000001522	3.954	2	-78.254	Basalt	McMurdo	163.733	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT	i	mc127a : mc127c	mc127	pmagpy-2.60	mc127a2 : mc127c1	5.06E+22	2	2.00E+21	5.99E+22	2	2.37E+21						
	4	4	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.8	A	36.9	-80.1	395.8	8		8	0	n	7.9823	0	Igneous : Extrusive	Lava Flow					-78.21	Basalt	McMurdo	166.571	DE-FM : DA-DIR-GEO			mc128	pmagpy-2.60	mc128b1 : mc128b2 : mc128c2 : mc128d1 : mc128e2 : mc128f1 : mc128h1 : mc128j1												
	4	4	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.00003429	0.000002688	7.839	3	-78.21	Basalt	McMurdo	166.571	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc128b : mc128c : mc128j	mc128	pmagpy-2.60	mc128b2 : mc128c2 : mc128j1												
	4	4	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc128, Site VGPA comp: (geog. coord)."	2.8	A	36.9	-80.1	395.8	8	8				7.9823	0	Igneous : Extrusive	Lava Flow					-78.21	Basalt	McMurdo	166.571	DE-FM : DE-DI	i		mc128	pmagpy-2.60	mc128b1 : mc128b2 : mc128c2 : mc128d1 : mc128e2 : mc128f1 : mc128h1 : mc128j1								3.3	5.4	78	238.4	8
	4	4	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc128, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.00003429	0.000002688	7.839	3	-78.21	Basalt	McMurdo	166.571	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT	i	mc128b : mc128c : mc128j	mc128	pmagpy-2.60	mc128b2 : mc128c2 : mc128j1	4.51E+22	3	3.53E+21	4.63E+22	3	3.63E+21						
	4	4	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.3	A	22.1	-54.5	490.9	9		9	0	n	8.9837	0	Igneous : Intrusive	Volcanic Dike					-78.214	Basalt	McMurdo	166.577	DE-FM : DA-DIR-GEO			mc129	pmagpy-2.60	mc129a1 : mc129a2 : mc129b1 : mc129c1 : mc129c2 : mc129f1 : mc129h2 : mc129j1 : mc129l1												
	4	4	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc129, Site VGPA comp: (geog. coord)."	2.3	A	22.1	-54.5	490.9	9	9				8.9837	0	Igneous : Intrusive	Volcanic Dike					-78.214	Basalt	McMurdo	166.577	DE-FM : DE-DI	i		mc129	pmagpy-2.60	mc129a1 : mc129a2 : mc129b1 : mc129c1 : mc129c2 : mc129f1 : mc129h2 : mc129j1 : mc129l1								0.8	4.5	45.8	192.8	9
	0.055	0.005	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.5	A	110.5	-70.6	259.5	8		7	1	n	7.975	0	Igneous : Extrusive	Lava Flow					-77.64	Trachyte	McMurdo	166.41	DE-FM : DA-DIR-GEO			mc13	pmagpy-2.60	mc13a : mc13b : mc13c : mc13d : mc13e : mc13f : mc13g : mc13h												
	0.055	0.005	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.00003041	0.000002177	7.158	3	-77.64	Trachyte	McMurdo	166.41	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT		mc13a : mc13b : mc13c	mc13	pmagpy-2.60	mc13a : mc13b : mc13c												
	0.055	0.005	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc13, Site VGPA comp: (geog. coord)."	3.5	A	110.5	-70.6	259.5	8	8				7.975	0	Igneous : Extrusive	Lava Flow					-77.64	Trachyte	McMurdo	166.41	DE-FM : DE-DI	i		mc13	pmagpy-2.60	mc13a : mc13b : mc13c : mc13d : mc13e : mc13f : mc13g : mc13h								2.3	6.8	49.1	291	8
	0.055	0.005	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc13, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.00003041	0.000002177	7.158	3	-77.64	Trachyte	McMurdo	166.41	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT	i	mc13a : mc13b : mc13c	mc13	pmagpy-2.60	mc13a : mc13b : mc13c	4.00E+22	3	2.86E+21	4.54E+22	3	3.25E+21						
	7.251	0.035	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.3	A	150.5	46.1	405.9	6		6	0	r	5.9877	0	Igneous : Extrusive	Lava Flow					-78.21	Basalt	McMurdo	166.579	DE-FM : DA-DIR-GEO			mc130	pmagpy-2.60	mc130a1 : mc130a2 : mc130b1 : mc130d1 : mc130e1 : mc130g2												
	7.251	0.035	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc130, Site VGPA comp: (geog. coord)."	3.3	A	150.5	46.1	405.9	6	6				5.9877	0	Igneous : Extrusive	Lava Flow					-78.21	Basalt	McMurdo	166.579	DE-FM : DE-DI	i		mc130	pmagpy-2.60	mc130a1 : mc130a2 : mc130b1 : mc130d1 : mc130e1 : mc130g2								1	6.4	-37.5	313.1	6
	4	4	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.4	A	22.3	-58.1	526.8	8		8	0	n	7.9867	0	Igneous : Extrusive	Lava Flow					-78.214	Basalt	McMurdo	166.573	DE-FM : DA-DIR-GEO			mc131	pmagpy-2.60	mc131a3 : mc131b1 : mc131c2 : mc131d2 : mc131e1 : mc131f1 : mc131g1 : mc131k1												
	4	4	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.00001679	8.91E-07	5.304	5	-78.214	Basalt	McMurdo	166.573	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc131b : mc131c : mc131d : mc131e : mc131g	mc131	pmagpy-2.60	mc131b1 : mc131c2 : mc131d2 : mc131e1 : mc131g1												
	4	4	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc131, Site VGPA comp: (geog. coord)."	2.4	A	22.3	-58.1	526.8	8	8				7.9867	0	Igneous : Extrusive	Lava Flow					-78.214	Basalt	McMurdo	166.573	DE-FM : DE-DI	i		mc131	pmagpy-2.60	mc131a3 : mc131b1 : mc131c2 : mc131d2 : mc131e1 : mc131f1 : mc131g1 : mc131k1								0.9	4.6	49.5	193.7	8
	4	4	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc131, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.00001679	8.91E-07	5.304	5	-78.214	Basalt	McMurdo	166.573	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT	i	mc131b : mc131c : mc131d : mc131e : mc131g	mc131	pmagpy-2.60	mc131b1 : mc131c2 : mc131d2 : mc131e1 : mc131g1	2.21E+22	5	1.17E+21	2.94E+22	5	1.56E+21						
	4	4	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5	A	6.3	38.3	195.4	6		4	2	t	5.9795	0	Igneous : Extrusive	Lava Flow					-78.206	Basalt	McMurdo	166.552	DE-FM : DA-DIR-GEO			mc132	pmagpy-2.60	mc132a1 : mc132c1 : mc132d1 : mc132e2 : mc132g2 : mc132l1												
	4	4	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.000003294	1.44E-07	4.365	7	-78.206	Basalt	McMurdo	166.552	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc132e : mc132f : mc132g : mc132h : mc132i : mc132j : mc132k	mc132	pmagpy-2.60	mc132e2 : mc132f2 : mc132g2 : mc132h2 : mc132i2 : mc132j1 : mc132k1												
	4	4	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc132, Site VGPA comp: (geog. coord)."	5	A	6.3	38.3	195.4	6	6				5.9795	0	Igneous : Extrusive	Lava Flow					-78.206	Basalt	McMurdo	166.552	DE-FM : DE-DI	i		mc132	pmagpy-2.60	mc132a1 : mc132c1 : mc132d1 : mc132e2 : mc132g2 : mc132l1								1.3	9.7	-9.8	172.5	6
