tab 	rmag_anisotropy
anisotropy_n	anisotropy_s1	anisotropy_s2	anisotropy_s3	anisotropy_s4	anisotropy_s5	anisotropy_s6	anisotropy_sigma	anisotropy_tilt_correction	anisotropy_type	anisotropy_unit	er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_method_codes
192	0.3353294	0.3345881	0.3300825	0.0009409	0.0008312	-0.0008272	3.28E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-012H-5-W-122	318-U1361A-012H-5-W-122	318-U1361A-012H-5-W-122	LP-X:AE-H:LP-AN-MS:SO-V
192	0.333724	0.3354438	0.3308322	-0.000597	0.000508	-0.001283	1.33E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-012H-6-W-107	318-U1361A-012H-6-W-107	318-U1361A-012H-6-W-107	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3386298	0.3382547	0.3231155	0.0002782	0.00002	-0.0023111	1.30E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-012H-7-W-43	318-U1361A-012H-7-W-43	318-U1361A-012H-7-W-43	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3369367	0.3309844	0.3320789	0.0017081	0.0014782	-0.0031736	4.96E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-013H-1-W-102	318-U1361A-013H-1-W-102	318-U1361A-013H-1-W-102	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3349639	0.3351157	0.3299204	-0.0007379	0.000646	0.0013252	3.41E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-013H-2-W-70	318-U1361A-013H-2-W-70	318-U1361A-013H-2-W-70	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3398015	0.3396014	0.320597	-0.0001904	-0.0017128	0.0018657	1.17E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-013H-3-W-97	318-U1361A-013H-3-W-97	318-U1361A-013H-3-W-97	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3403556	0.3393136	0.3203308	0.0003101	0.001071	0.0018064	1.29E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-013H-4-W-118	318-U1361A-013H-4-W-118	318-U1361A-013H-4-W-118	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3373079	0.3339216	0.3287705	0.0014757	0.0012249	0.0004444	1.22E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-013H-5-W-95	318-U1361A-013H-5-W-95	318-U1361A-013H-5-W-95	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3329031	0.3335106	0.3335862	-0.000385	-0.0005263	0.0012984	1.24E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-013H-6-W-89	318-U1361A-013H-6-W-89	318-U1361A-013H-6-W-89	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3346193	0.3374575	0.3279232	0.0008939	0.000626	0.0037578	1.03E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-014H-1-W-123	318-U1361A-014H-1-W-123	318-U1361A-014H-1-W-123	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3349703	0.3353423	0.3296875	0.0000571	0.0011732	0.001336	3.31E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-014H-2-W-87	318-U1361A-014H-2-W-87	318-U1361A-014H-2-W-87	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3353836	0.3347301	0.3298863	-0.0000617	0.0005949	0.0010986	7.77E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-014H-3-W-115	318-U1361A-014H-3-W-115	318-U1361A-014H-3-W-115	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3408821	0.3390893	0.3200286	-0.0008172	0.0045063	0.0037399	1.53E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-014H-4-W-110	318-U1361A-014H-4-W-110	318-U1361A-014H-4-W-110	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3352549	0.3331989	0.3315462	-0.0010494	0.0028872	0.0013979	1.49E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-014H-5-W-113	318-U1361A-014H-5-W-113	318-U1361A-014H-5-W-113	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3401674	0.3391552	0.3206774	-0.0001225	-0.000009	0.0008334	1.10E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-014H-6-W-88	318-U1361A-014H-6-W-88	318-U1361A-014H-6-W-88	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3376564	0.3368386	0.325505	-0.0002791	-0.0001862	0.0010612	7.49E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-015H-1-W-110	318-U1361A-015H-1-W-110	318-U1361A-015H-1-W-110	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3349031	0.3345024	0.3305946	-0.0008339	-0.0004869	0.000024	1.38E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-015H-2-W-59	318-U1361A-015H-2-W-59	318-U1361A-015H-2-W-59	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3364494	0.3383742	0.3251764	-0.0001627	0.0005838	0.0025004	5.32E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-015H-3-W-51	318-U1361A-015H-3-W-51	318-U1361A-015H-3-W-51	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3351504	0.3367799	0.3280697	-0.0008144	-0.0003258	0.0008294	8.71E-05	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-015H-4-W-58	318-U1361A-015H-4-W-58	318-U1361A-015H-4-W-58	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3355709	0.3341731	0.3302559	0.0001756	0.0002815	0.0007582	1.19E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-015H-5-W-57	318-U1361A-015H-5-W-57	318-U1361A-015H-5-W-57	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3461366	0.3470063	0.3068571	0.0001057	-0.002047	0.0021193	1.62E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-015H-6-W-125	318-U1361A-015H-6-W-125	318-U1361A-015H-6-W-125	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3342709	0.3350339	0.3306952	-0.0003328	0.0005705	0.0000189	9.74E-05	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-016H-1-W-60	318-U1361A-016H-1-W-60	318-U1361A-016H-1-W-60	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3352907	0.3334316	0.3312777	-0.000185	0.0000944	-0.0000785	1.08E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-016H-2-W-60	318-U1361A-016H-2-W-60	318-U1361A-016H-2-W-60	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3353299	0.3342004	0.3304697	-0.0003	-0.0001316	-0.0002209	3.52E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-016H-3-W-60	318-U1361A-016H-3-W-60	318-U1361A-016H-3-W-60	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3394295	0.3357492	0.3248213	0.0001753	0.0003872	0.0011697	1.32E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-016H-4-W-60	318-U1361A-016H-4-W-60	318-U1361A-016H-4-W-60	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3344547	0.3337113	0.331834	0.0001859	0.0006284	0.0008292	1.33E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-016H-5-W-60	318-U1361A-016H-5-W-60	318-U1361A-016H-5-W-60	LP-X:AE-H:LP-AN-MS:SO-V
