tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_scientist_mail_names	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_flag	measurement_lab_field_dc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_dc_field	treatment_temp
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-3.653e-01	-3.188e+01	93	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-3.824e-01	-3.232e+01	94	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-3.996e-01	-3.276e+01	95	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-4.167e-01	-3.318e+01	96	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-4.340e-01	-3.361e+01	97	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-4.511e-01	-3.398e+01	98	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-4.682e-01	-3.437e+01	99	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-4.854e-01	-3.473e+01	100	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-5.025e-01	-3.509e+01	101	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-5.198e-01	-3.540e+01	102	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-5.369e-01	-3.573e+01	103	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-5.541e-01	-3.606e+01	104	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-5.712e-01	-3.640e+01	105	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-5.883e-01	-3.672e+01	106	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-6.056e-01	-3.701e+01	107	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-6.227e-01	-3.732e+01	108	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-6.399e-01	-3.765e+01	109	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-6.570e-01	-3.796e+01	110	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-6.743e-01	-3.827e+01	111	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-6.914e-01	-3.852e+01	112	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-7.086e-01	-3.884e+01	113	u	273		273
