tab	samples
sample	site	specimens	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	criteria	description	azimuth	dip	citations	method_codes	location	sample_direction_type	age	sample_inferred_age_sigma	sample_inferred_age_unit
sv05h	sv05								35.184	247.808	Igneous	Lava Flow	Basalt			208.4	-32	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv05i	sv05								35.184	247.808	Igneous	Lava Flow	Basalt			212.8	-34	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv05i	sv05	sv05i1	166.6	-54.5	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv05j	sv05								35.184	247.808	Igneous	Lava Flow	Basalt			240.5	-9	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv05j	sv05	sv05j1	157.8	-60	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv05k	sv05								35.184	247.808	Igneous	Lava Flow	Basalt			12.9	-26	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv06a	sv06	sv06a1	246.5	-31.4	1	0	1	0							sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	San Francisco Volcanics	p	2.5	2.5	Ma
sv06a	sv06								35.192	247.807	Igneous	Lava Flow	Basalt			317.3	-56.5	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv06b	sv06								35.192	247.807	Igneous	Lava Flow	Basalt			313.9	-52	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv06c	sv06	sv06c3	278.3	24.5	1	0	1	0							sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	San Francisco Volcanics	p	2.5	2.5	Ma
sv06c	sv06								35.192	247.807	Igneous	Lava Flow	Basalt			300.5	-52	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv06d	sv06								35.192	247.807	Igneous	Lava Flow	Basalt			270	-61	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv06e	sv06								35.192	247.807	Igneous	Lava Flow	Basalt			275.6	-56	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv06f	sv06	sv06f1	357.8	-39.1	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv06f	sv06								35.192	247.807	Igneous	Lava Flow	Basalt			335.9	-44	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv06g	sv06	sv06g1	59.6	24	1	0	1	0							sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	San Francisco Volcanics	p	2.5	2.5	Ma
sv06g	sv06								35.192	247.807	Igneous	Lava Flow	Basalt			288.1	-44	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv06h	sv06								35.192	247.807	Igneous	Lava Flow	Basalt			271.5	-73	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv06h	sv06	sv06h1	344.7	-25.1	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv06i	sv06								35.192	247.807	Igneous	Lava Flow	Basalt			318	-57	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv06j	sv06								35.192	247.807	Igneous	Lava Flow	Basalt			291	-10	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv07a	sv07								35.194	247.807	Igneous	Lava Flow	Basalt			248	-12	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv07a	sv07	sv07a1	4.1	57.1	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv07b	sv07								35.194	247.807	Igneous	Lava Flow	Basalt			215	-52	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv07b	sv07	sv07b1	352.3	61.6	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv07c	sv07	sv07c1	346.5	62.5	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
