tab	specimens																	
specimen	sample	experiments	dir_dec	dir_inc	dir_n_measurements	dir_tilt_correction	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	description	int_corr	citations	method_codes	specimen_direction_type
sv07c1	sv07c							Igneous	Lava Flow	Basalt						This study		
sv07d1	sv07d	sv07d1 : LP-DIR-AF	351.2	65.3	12	0	1.8				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv07d1	sv07d							Igneous	Lava Flow	Basalt						This study		
sv07f2	sv07f							Igneous	Lava Flow	Basalt						This study		
sv07f2	sv07f	sv07f2 : LP-DIR-AF	344.1	60.2	8	0	2.3				0.15	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv07g1	sv07g							Igneous	Lava Flow	Basalt						This study		
sv07g1	sv07g	sv07g1 : LP-DIR-AF	341.2	59.3	9	0	1.5				0.15	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv07i1	sv07i	sv07i1 : LP-DIR-AF	352.3	64.6	13	0	1.2				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv07i1	sv07i							Igneous	Lava Flow	Basalt						This study		
sv07j1	sv07j	sv07j1 : LP-DIR-AF	200.3	24.6	13	0	5				0.16	0	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFP : DA-DIR-GEO	p
sv07j1	sv07j							Igneous	Lava Flow	Basalt						This study		
sv08a1	sv08a	sv08a1 : LP-DIR-AF	173.5	-46.7	7	0	1				0.18	0.04	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv08a1	sv08a							Igneous	Lava Flow	Basalt						This study		
sv08b1	sv08b							Igneous	Lava Flow	Basalt						This study		
sv08b1	sv08b	sv08b1 : LP-DIR-AF	165	-38.2	13	0	0.9				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv08c1	sv08c	sv08c1 : LP-DIR-AF	164.7	-41.1	7	0	0.7				0.15	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv08c1	sv08c							Igneous	Lava Flow	Basalt						This study		
sv08d1	sv08d							Igneous	Lava Flow	Basalt						This study		
sv08d1	sv08d	sv08d1 : LP-DIR-AF	160.9	-48.9	12	0	2.4				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv08e1	sv08e	sv08e1 : LP-DIR-AF	171.2	-53.8	13	0	1.2				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv08e1	sv08e							Igneous	Lava Flow	Basalt						This study		
sv08g1	sv08g	sv08g1 : LP-DIR-AF	169.4	-48.3	12	0	0.9				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv08g1	sv08g							Igneous	Lava Flow	Basalt						This study		
sv08h1	sv08h	sv08h1 : LP-DIR-AF	156.6	-44.8	7	0	2.7				0.18	0.07	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
