tab 	er_samples
er_citation_names	er_expedition_name	er_location_name	er_sample_alternatives	er_sample_name	er_site_name	er_specimen_names	magic_method_codes	sample_azimuth	sample_composite_depth	sample_core_depth	sample_date	sample_dip	sample_volume
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-95	XXX-UTESTA-001H_1A-95	XXX-UTESTA-001H_1A-95	FS-C-DRILL-IODP:SO-V	0	0.942	0.95		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-100	XXX-UTESTA-001H_1A-100	XXX-UTESTA-001H_1A-100	FS-C-DRILL-IODP:SO-V	0	0.991	1		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-105	XXX-UTESTA-001H_1A-105	XXX-UTESTA-001H_1A-105	FS-C-DRILL-IODP:SO-V	0	1.041	1.05		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-110	XXX-UTESTA-001H_1A-110	XXX-UTESTA-001H_1A-110	FS-C-DRILL-IODP:SO-V	0	1.09	1.1		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-115	XXX-UTESTA-001H_1A-115	XXX-UTESTA-001H_1A-115	FS-C-DRILL-IODP:SO-V	0	1.14	1.15		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-120	XXX-UTESTA-001H_1A-120	XXX-UTESTA-001H_1A-120	FS-C-DRILL-IODP:SO-V	0	1.19	1.2		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-125	XXX-UTESTA-001H_1A-125	XXX-UTESTA-001H_1A-125	FS-C-DRILL-IODP:SO-V	0	1.239	1.25		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-130	XXX-UTESTA-001H_1A-130	XXX-UTESTA-001H_1A-130	FS-C-DRILL-IODP:SO-V	0	1.289	1.3		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-135	XXX-UTESTA-001H_1A-135	XXX-UTESTA-001H_1A-135	FS-C-DRILL-IODP:SO-V	0	1.338	1.35		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-140	XXX-UTESTA-001H_1A-140	XXX-UTESTA-001H_1A-140	FS-C-DRILL-IODP:SO-V	0	1.388	1.4		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-145	XXX-UTESTA-001H_1A-145	XXX-UTESTA-001H_1A-145	FS-C-DRILL-IODP:SO-V	0	1.437	1.45		0	
