tab 	magic_measurements
er_citation_names	er_sample_name	er_scientist_mail_names	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_flag	measurement_lab_field_dc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_dc_field	treatment_temp
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-5.883e-01	-5.002e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-6.056e-01	-5.047e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-6.228e-01	-5.093e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-6.399e-01	-5.137e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-6.570e-01	-5.181e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-6.743e-01	-5.223e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-6.914e-01	-5.264e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-7.086e-01	-5.305e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-7.257e-01	-5.347e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-7.429e-01	-5.388e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-7.601e-01	-5.426e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-7.772e-01	-5.466e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-7.944e-01	-5.505e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-8.115e-01	-5.541e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-8.286e-01	-5.580e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-8.457e-01	-5.616e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-8.629e-01	-5.654e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-8.800e-01	-5.691e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-8.972e-01	-5.727e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-9.143e-01	-5.763e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-9.315e-01	-5.800e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-9.486e-01	-5.834e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-9.657e-01	-5.870e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-9.830e-01	-5.906e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.000e+00	-5.940e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.017e+00	-5.977e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.034e+00	-6.009e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.051e+00	-6.044e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.068e+00	-6.078e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.086e+00	-6.113e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.103e+00	-6.146e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.120e+00	-6.178e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.137e+00	-6.214e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.154e+00	-6.245e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.171e+00	-6.280e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.188e+00	-6.312e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.202e+00	-6.338e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.202e+00	-6.339e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.197e+00	-6.331e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.180e+00	-6.302e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.163e+00	-6.269e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.146e+00	-6.237e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.129e+00	-6.205e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.111e+00	-6.169e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.094e+00	-6.138e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.077e+00	-6.103e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.060e+00	-6.070e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.043e+00	-6.036e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.026e+00	-6.002e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.008e+00	-5.968e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-9.912e-01	-5.934e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-9.740e-01	-5.899e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-9.567e-01	-5.864e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-9.396e-01	-5.830e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-9.224e-01	-5.795e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-9.052e-01	-5.758e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-8.881e-01	-5.722e+01	1	u	273		273
