tab 	specimens
citations	geologic_classes	geologic_types	lithologies	sample	specimen
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	SW01	SW01-12A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	SW01	SW01-13A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	SW01	SW01-14A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	SW01	SW01-15A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	SW01	SW01-16A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	SW01	SW01-17A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	SW01	SW01-18A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	SW01	SW01-19A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-00A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-01A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-02A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-04A-1
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-05A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-06A-3
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-07A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-08A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-10A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-11A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-12A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-13A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-14A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-15A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-16A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-17A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-18A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-19A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-20A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-21A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-22A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-23A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-24A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-25A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-26A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-27A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS01	TS01-28A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-01A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-02A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-03A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-04A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-05A-3
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-06A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-07A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-08A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-09A-3
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-10A-3
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-11A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-12A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-13A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-14A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-15A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-16A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-17A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-18A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-19A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-20A-3
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-21A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-22A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-23A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-24A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-25A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	TS02	TS02-26A-2
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw108a	hw108a1
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw108a	hw108a2
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw108a	hw108a3
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw108a	hw108a4
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw108a	hw108a5
