tab 	measurements
measurement	experiment	specimen	sequence	standard	quality	method_codes	treat_step_num	meas_field_dc	magn_moment	timestamp
LP-FORC-conventional_example-10-1	LP-FORC-conventional_example	conventional_example	92	u	g	LP-FORC	92	0.09287911	5.434661e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-10-2	LP-FORC-conventional_example	conventional_example	93	u	g	LP-FORC	93	0.09569527	5.514461e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-10-3	LP-FORC-conventional_example	conventional_example	94	u	g	LP-FORC	94	0.0985671	5.584564e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-10-4	LP-FORC-conventional_example	conventional_example	95	u	g	LP-FORC	95	0.10143	5.653599e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-10-5	LP-FORC-conventional_example	conventional_example	96	u	g	LP-FORC	96	0.1042796	5.717769e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-10-6	LP-FORC-conventional_example	conventional_example	97	u	g	LP-FORC	97	0.1071485	5.791573e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-10-7	LP-FORC-conventional_example	conventional_example	98	u	g	LP-FORC	98	0.1099943	5.860475e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-10-8	LP-FORC-conventional_example	conventional_example	99	u	g	LP-FORC	99	0.1128307	5.918198e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-10-9	LP-FORC-conventional_example	conventional_example	100	u	g	LP-FORC	100	0.1156656	5.988015e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-10-10	LP-FORC-conventional_example	conventional_example	101	u	g	LP-FORC	101	0.1184915	6.040251e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-10-11	LP-FORC-conventional_example	conventional_example	102	u	g	LP-FORC	102	0.1213242	6.100485e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-10-12	LP-FORC-conventional_example	conventional_example	103	u	g	LP-FORC	103	0.124163	6.150577e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-10-13	LP-FORC-conventional_example	conventional_example	104	u	g	LP-FORC	104	0.1269919	6.211828e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-10-14	LP-FORC-conventional_example	conventional_example	105	u	g	LP-FORC	105	0.129822	6.265525e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-10-15	LP-FORC-conventional_example	conventional_example	106	u	g	LP-FORC	106	0.1326488	6.325394e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-10-16	LP-FORC-conventional_example	conventional_example	107	u	g	LP-FORC	107	0.1354834	6.375826e-07	2016-04-13T13:20:00
