tab     ages
age	age_unit	citations	description	location	method_codes	sample	site
2.83	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_3A-0.9	318-U1361A-007H_3A-0.9
2.83	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_3A-0.95	318-U1361A-007H_3A-0.95
2.83	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_3A-1	318-U1361A-007H_3A-1
2.83	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_3A-1.05	318-U1361A-007H_3A-1.05
2.83	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_3A-1.1	318-U1361A-007H_3A-1.1
2.84	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_3A-1.15	318-U1361A-007H_3A-1.15
2.84	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_3A-1.2	318-U1361A-007H_3A-1.2
2.84	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_3A-1.25	318-U1361A-007H_3A-1.25
2.84	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_3A-1.3	318-U1361A-007H_3A-1.3
2.84	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_3A-1.35	318-U1361A-007H_3A-1.35
2.85	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_3A-1.4	318-U1361A-007H_3A-1.4
2.85	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-0.1	318-U1361A-007H_4A-0.1
2.85	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-0.15	318-U1361A-007H_4A-0.15
2.86	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-0.2	318-U1361A-007H_4A-0.2
2.86	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-0.25	318-U1361A-007H_4A-0.25
2.86	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-0.3	318-U1361A-007H_4A-0.3
2.86	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-0.35	318-U1361A-007H_4A-0.35
2.86	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-0.4	318-U1361A-007H_4A-0.4
2.87	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-0.45	318-U1361A-007H_4A-0.45
2.87	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-0.6	318-U1361A-007H_4A-0.6
2.87	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-0.65	318-U1361A-007H_4A-0.65
2.88	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-0.7	318-U1361A-007H_4A-0.7
2.88	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-0.75	318-U1361A-007H_4A-0.75
2.88	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-0.8	318-U1361A-007H_4A-0.8
2.88	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-0.85	318-U1361A-007H_4A-0.85
2.88	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-0.9	318-U1361A-007H_4A-0.9
2.89	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-0.95	318-U1361A-007H_4A-0.95
2.89	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-1	318-U1361A-007H_4A-1
2.89	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-1.05	318-U1361A-007H_4A-1.05
2.89	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-1.1	318-U1361A-007H_4A-1.1
2.89	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-1.15	318-U1361A-007H_4A-1.15
2.90	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-1.2	318-U1361A-007H_4A-1.2
2.90	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-1.25	318-U1361A-007H_4A-1.25
2.90	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-1.3	318-U1361A-007H_4A-1.3
2.90	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-1.35	318-U1361A-007H_4A-1.35
2.90	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_4A-1.4	318-U1361A-007H_4A-1.4
2.91	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-0.1	318-U1361A-007H_5A-0.1
2.91	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-0.15	318-U1361A-007H_5A-0.15
2.92	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-0.2	318-U1361A-007H_5A-0.2
2.92	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-0.25	318-U1361A-007H_5A-0.25
2.92	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-0.3	318-U1361A-007H_5A-0.3
2.92	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-0.35	318-U1361A-007H_5A-0.35
2.92	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-0.4	318-U1361A-007H_5A-0.4
2.93	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-0.45	318-U1361A-007H_5A-0.45
2.93	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-0.5	318-U1361A-007H_5A-0.5
2.93	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-0.55	318-U1361A-007H_5A-0.55
2.93	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-0.6	318-U1361A-007H_5A-0.6
2.93	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-0.65	318-U1361A-007H_5A-0.65
2.94	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-0.7	318-U1361A-007H_5A-0.7
2.94	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-0.75	318-U1361A-007H_5A-0.75
2.94	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-0.8	318-U1361A-007H_5A-0.8
2.94	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-0.85	318-U1361A-007H_5A-0.85
2.94	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-0.9	318-U1361A-007H_5A-0.9
2.94	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-0.95	318-U1361A-007H_5A-0.95
2.95	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-1	318-U1361A-007H_5A-1
2.95	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-1.05	318-U1361A-007H_5A-1.05
2.95	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-1.1	318-U1361A-007H_5A-1.1
2.95	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-1.15	318-U1361A-007H_5A-1.15
2.95	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-1.2	318-U1361A-007H_5A-1.2
2.96	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-1.25	318-U1361A-007H_5A-1.25
2.96	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-1.3	318-U1361A-007H_5A-1.3
2.96	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-1.35	318-U1361A-007H_5A-1.35
2.96	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_5A-1.4	318-U1361A-007H_5A-1.4
2.97	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-0.1	318-U1361A-007H_6A-0.1
2.97	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-0.15	318-U1361A-007H_6A-0.15
2.97	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-0.2	318-U1361A-007H_6A-0.2
2.98	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-0.25	318-U1361A-007H_6A-0.25
2.98	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-0.3	318-U1361A-007H_6A-0.3
2.98	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-0.35	318-U1361A-007H_6A-0.35
2.98	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-0.4	318-U1361A-007H_6A-0.4
2.98	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-0.45	318-U1361A-007H_6A-0.45
2.99	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-0.5	318-U1361A-007H_6A-0.5
2.99	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-0.55	318-U1361A-007H_6A-0.55
2.99	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-0.6	318-U1361A-007H_6A-0.6
2.99	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-0.65	318-U1361A-007H_6A-0.65
2.99	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-0.7	318-U1361A-007H_6A-0.7
3.00	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-0.75	318-U1361A-007H_6A-0.75
3.00	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-0.8	318-U1361A-007H_6A-0.8
3.00	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-0.85	318-U1361A-007H_6A-0.85
3.00	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-0.9	318-U1361A-007H_6A-0.9
3.00	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-0.95	318-U1361A-007H_6A-0.95
3.01	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-1	318-U1361A-007H_6A-1
3.01	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-1.05	318-U1361A-007H_6A-1.05
3.01	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-1.1	318-U1361A-007H_6A-1.1
3.01	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-1.15	318-U1361A-007H_6A-1.15
3.01	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-1.2	318-U1361A-007H_6A-1.2
3.01	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-1.25	318-U1361A-007H_6A-1.25
3.02	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-1.3	318-U1361A-007H_6A-1.3
3.02	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-1.35	318-U1361A-007H_6A-1.35
3.02	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_6A-1.4	318-U1361A-007H_6A-1.4
3.03	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_7A-0.1	318-U1361A-007H_7A-0.1
3.03	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_7A-0.15	318-U1361A-007H_7A-0.15
3.03	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_7A-0.2	318-U1361A-007H_7A-0.2
3.03	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_7A-0.25	318-U1361A-007H_7A-0.25
3.04	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_7A-0.3	318-U1361A-007H_7A-0.3
3.04	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_7A-0.35	318-U1361A-007H_7A-0.35
3.04	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_7A-0.4	318-U1361A-007H_7A-0.4
3.04	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_7A-0.45	318-U1361A-007H_7A-0.45
3.04	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_7A-0.5	318-U1361A-007H_7A-0.5
3.05	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_7A-0.55	318-U1361A-007H_7A-0.55
3.05	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-007H_7A-0.6	318-U1361A-007H_7A-0.6
3.07	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H-1-W-73	318-U1361A-008H-1-W-73
3.07	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H-1-W-73a	318-U1361A-008H-1-W-73a
3.14	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H-2-W-92	318-U1361A-008H-2-W-92
3.20	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H-3-W-102	318-U1361A-008H-3-W-102
3.20	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H-3-W-102a	318-U1361A-008H-3-W-102a
3.25	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H-4-W-78	318-U1361A-008H-4-W-78
3.25	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H-4-W-78a	318-U1361A-008H-4-W-78a
3.30	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H-5-W-67	318-U1361A-008H-5-W-67
3.30	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H-5-W-67a	318-U1361A-008H-5-W-67a
3.37	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H-6-W-83	318-U1361A-008H-6-W-83
3.37	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H-6-W-83a	318-U1361A-008H-6-W-83a
3.38	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H-7-W-28	318-U1361A-008H-7-W-28
3.38	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H-7-W-28a	318-U1361A-008H-7-W-28a
3.06	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_1A-0.4	318-U1361A-008H_1A-0.4
3.06	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_1A-0.45	318-U1361A-008H_1A-0.45
3.06	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_1A-0.5	318-U1361A-008H_1A-0.5
3.07	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_1A-0.55	318-U1361A-008H_1A-0.55
3.07	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_1A-0.6	318-U1361A-008H_1A-0.6
3.07	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_1A-0.65	318-U1361A-008H_1A-0.65
3.07	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_1A-0.7	318-U1361A-008H_1A-0.7
3.07	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_1A-0.75	318-U1361A-008H_1A-0.75
3.08	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_1A-0.8	318-U1361A-008H_1A-0.8
3.08	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_1A-0.85	318-U1361A-008H_1A-0.85
3.08	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_1A-0.9	318-U1361A-008H_1A-0.9
3.08	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_1A-0.95	318-U1361A-008H_1A-0.95
3.08	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_1A-1	318-U1361A-008H_1A-1
3.10	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_1A-1.4	318-U1361A-008H_1A-1.4
3.11	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_2A-0.1	318-U1361A-008H_2A-0.1
3.11	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_2A-0.15	318-U1361A-008H_2A-0.15
3.11	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_2A-0.2	318-U1361A-008H_2A-0.2
3.11	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_2A-0.25	318-U1361A-008H_2A-0.25
3.11	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_2A-0.3	318-U1361A-008H_2A-0.3
3.12	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_2A-0.35	318-U1361A-008H_2A-0.35
3.12	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_2A-0.4	318-U1361A-008H_2A-0.4
3.12	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_2A-0.45	318-U1361A-008H_2A-0.45
3.12	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_2A-0.5	318-U1361A-008H_2A-0.5
3.13	Ma	10.1029/2012PA002308:This study	interpolation between pmag and biostrat tie points	U1361A	GM-FOSSIL:GM-INT:GM-POL	318-U1361A-008H_2A-0.65	318-U1361A-008H_2A-0.65
