tab	MAGIC_Measurements													
er_specimen_name	er_sample_name	er_site_name	er_location_name	er_expedition_name	measurement_chi_volume	measurement_chi_qdr_volume	measurement_temp	measurement_freq	measurement_lab_field_ac	magic_instrument_codes	measurement_date	er_citation_names	magic_method_codes	magic_experiment_name
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.17E-05	4.06E-07	89.98952	31.62955	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.15E-05	3.42E-07	89.98952	100.0534	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.12E-05	2.87E-07	89.98952	316.723	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.10E-05	1.93E-07	89.98952	997.3405	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.39E-05	8.43E-07	99.99716	1.000576	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.33E-05	7.60E-07	99.99716	3.163809	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.28E-05	6.60E-07	99.99716	10.00747	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.23E-05	5.70E-07	99.99716	31.62955	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.20E-05	4.87E-07	99.99716	100.0534	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.16E-05	4.04E-07	99.99716	316.723	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
