tab	measurements
experiment	specimen	measurement	treat_step_num	citations	instrument_codes	method_codes	meas_field_ac	meas_freq	meas_temp	timestamp	susc_chi_qdr_volume	susc_chi_volume
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	31.62955	69.99519000000001	2006-03-20T08:53:33Z	1.87e-07	1.0800000000000002e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	100.0534	69.99519000000001	2006-03-20T08:53:33Z	1.54e-07	1.06e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	316.723	69.99519000000001	2006-03-20T08:53:33Z	1.2699999999999999e-07	1.05e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	997.3405	69.99519000000001	2006-03-20T08:53:33Z	1.05e-07	1.04e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	1.0005760000000001	79.99685	2006-03-20T08:53:33Z	4.3299999999999997e-07	1.2e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	3.163809	79.99685	2006-03-20T08:53:33Z	3.84e-07	1.17e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	10.00747	79.99685	2006-03-20T08:53:33Z	3.2200000000000005e-07	1.1400000000000001e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	31.62955	79.99685	2006-03-20T08:53:33Z	2.79e-07	1.12e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	100.0534	79.99685	2006-03-20T08:53:33Z	2.3e-07	1.1e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	316.723	79.99685	2006-03-20T08:53:33Z	2.0199999999999998e-07	1.0800000000000002e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	997.3405	79.99685	2006-03-20T08:53:33Z	1.57e-07	1.07e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	1.0005760000000001	89.98952	2006-03-20T08:53:33Z	6.24e-07	1.29e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	3.163809	89.98952	2006-03-20T08:53:33Z	5.520000000000001e-07	1.24e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	10.00747	89.98952	2006-03-20T08:53:33Z	4.74e-07	1.2e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	31.62955	89.98952	2006-03-20T08:53:33Z	4.06e-07	1.17e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	100.0534	89.98952	2006-03-20T08:53:33Z	3.42e-07	1.15e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	316.723	89.98952	2006-03-20T08:53:33Z	2.87e-07	1.12e-05
