tab	specimens
specimen	sample	dir_alpha95	dir_bfv_dec	dir_bfv_inc	dir_comp	dir_dec	dir_inc	dir_k	dir_k_ratio	dir_n_comps	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	lithologies	description	scientists	int_rel	citations	method_codes	result_quality	result_type	specimen_alternatives	volume	weight
15-1-149	15-1-149					313.1	78.8									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001318	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-2-003	15-2-003															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3154.0	1e-06	0.001707
15-2-003	15-2-003					152.8	46.9									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002156	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-2-005	15-2-005					149.9	50.0									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002664	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-2-005	15-2-005															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3155.0	1e-06	0.001674
15-2-008	15-2-008															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3156.0	1e-06	0.0016350000000000002
15-2-008	15-2-008					157.8	47.9									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.003048	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-2-012	15-2-012															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3157.0	1e-06	0.001684
15-2-012	15-2-012					157.5	47.1									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002664	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-2-014	15-2-014															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3158.0	1e-06	0.0016469999999999998
15-2-014	15-2-014					155.3	44.9									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0021379999999999997	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-2-019	15-2-019															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3159.0	1e-06	0.001632
