tab	samples
citations	location	sample	site	method_codes	sample_core_depth
This study	DSDP Site 522	15-3-083	15-3-083	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.93
This study	DSDP Site 522	15-3-086	15-3-086	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.96
This study	DSDP Site 522	15-3-089	15-3-089	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.99
This study	DSDP Site 522	15-3-092	15-3-092	FS-C-DRILL-IODP:SP-SS-C:SO-V	59.02
This study	DSDP Site 522	15-3-096	15-3-096	FS-C-DRILL-IODP:SP-SS-C:SO-V	59.05
This study	DSDP Site 522	15-3-098	15-3-098	FS-C-DRILL-IODP:SP-SS-C:SO-V	59.07
This study	DSDP Site 522	15-3-101	15-3-101	FS-C-DRILL-IODP:SP-SS-C:SO-V	59.11
This study	DSDP Site 522	15-3-104	15-3-104	FS-C-DRILL-IODP:SP-SS-C:SO-V	59.14
This study	DSDP Site 522	15-3-107	15-3-107	FS-C-DRILL-IODP:SP-SS-C:SO-V	59.16
This study	DSDP Site 522	15-3-109	15-3-109	FS-C-DRILL-IODP:SP-SS-C:SO-V	59.19
This study	DSDP Site 522	15-3-112	15-3-112	FS-C-DRILL-IODP:SP-SS-C:SO-V	59.22
This study	DSDP Site 522	15-3-115	15-3-115	FS-C-DRILL-IODP:SP-SS-C:SO-V	59.25
This study	DSDP Site 522	15-3-118	15-3-118	FS-C-DRILL-IODP:SP-SS-C:SO-V	59.28
This study	DSDP Site 522	15-3-122	15-3-122	FS-C-DRILL-IODP:SP-SS-C:SO-V	59.31
This study	DSDP Site 522	15-3-125	15-3-125	FS-C-DRILL-IODP:SP-SS-C:SO-V	59.34
This study	DSDP Site 522	15-3-129	15-3-129	FS-C-DRILL-IODP:SP-SS-C:SO-V	59.38
This study	DSDP Site 522	16-1-098	16-1-098	FS-C-DRILL-IODP:SP-SS-C:SO-V	60.47
This study	DSDP Site 522	16-1-101	16-1-101	FS-C-DRILL-IODP:SP-SS-C:SO-V	60.51
This study	DSDP Site 522	16-1-104	16-1-104	FS-C-DRILL-IODP:SP-SS-C:SO-V	60.54
This study	DSDP Site 522	16-1-108	16-1-108	FS-C-DRILL-IODP:SP-SS-C:SO-V	60.57
This study	DSDP Site 522	16-1-110	16-1-110	FS-C-DRILL-IODP:SP-SS-C:SO-V	60.6
This study	DSDP Site 522	16-1-115	16-1-115	FS-C-DRILL-IODP:SP-SS-C:SO-V	60.64
This study	DSDP Site 522	16-1-119	16-1-119	FS-C-DRILL-IODP:SP-SS-C:SO-V	60.68
This study	DSDP Site 522	16-1-122	16-1-122	FS-C-DRILL-IODP:SP-SS-C:SO-V	60.72
This study	DSDP Site 522	16-1-125	16-1-125	FS-C-DRILL-IODP:SP-SS-C:SO-V	60.74
This study	DSDP Site 522	16-1-128	16-1-128	FS-C-DRILL-IODP:SP-SS-C:SO-V	60.77
This study	DSDP Site 522	16-1-131	16-1-131	FS-C-DRILL-IODP:SP-SS-C:SO-V	60.8
This study	DSDP Site 522	16-1-134	16-1-134	FS-C-DRILL-IODP:SP-SS-C:SO-V	60.83
This study	DSDP Site 522	16-1-137	16-1-137	FS-C-DRILL-IODP:SP-SS-C:SO-V	60.87
This study	DSDP Site 522	16-1-140	16-1-140	FS-C-DRILL-IODP:SP-SS-C:SO-V	60.89
This study	DSDP Site 522	16-1-142	16-1-142	FS-C-DRILL-IODP:SP-SS-C:SO-V	60.92
This study	DSDP Site 522	16-1-145	16-1-145	FS-C-DRILL-IODP:SP-SS-C:SO-V	60.94
This study	DSDP Site 522	16-1-148	16-1-148	FS-C-DRILL-IODP:SP-SS-C:SO-V	60.98
This study	DSDP Site 522	16-2-001	16-2-001	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.01
This study	DSDP Site 522	16-2-005	16-2-005	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.05
This study	DSDP Site 522	16-2-008	16-2-008	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.08
This study	DSDP Site 522	16-2-012	16-2-012	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.12
This study	DSDP Site 522	16-2-015	16-2-015	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.15
This study	DSDP Site 522	16-2-018	16-2-018	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.17
This study	DSDP Site 522	16-2-021	16-2-021	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.2
This study	DSDP Site 522	16-2-024	16-2-024	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.23
This study	DSDP Site 522	16-2-029	16-2-029	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.28
This study	DSDP Site 522	16-2-032	16-2-032	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.31
This study	DSDP Site 522	16-2-034	16-2-034	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.34
This study	DSDP Site 522	16-2-038	16-2-038	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.38
This study	DSDP Site 522	16-2-041	16-2-041	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.4
This study	DSDP Site 522	16-2-050	16-2-050	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.49
This study	DSDP Site 522	16-2-053	16-2-053	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.52
This study	DSDP Site 522	16-2-056	16-2-056	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.55
This study	DSDP Site 522	16-2-059	16-2-059	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.58
This study	DSDP Site 522	16-2-061	16-2-061	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.6
This study	DSDP Site 522	16-2-064	16-2-064	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.63
This study	DSDP Site 522	16-2-066	16-2-066	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.66
This study	DSDP Site 522	16-2-069	16-2-069	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.68
This study	DSDP Site 522	16-2-073	16-2-073	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.72
This study	DSDP Site 522	16-2-076	16-2-076	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.75
This study	DSDP Site 522	16-2-079	16-2-079	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.78
This study	DSDP Site 522	16-2-082	16-2-082	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.81
This study	DSDP Site 522	16-2-085	16-2-085	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.84
This study	DSDP Site 522	16-2-087	16-2-087	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.86
This study	DSDP Site 522	16-2-090	16-2-090	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.9
This study	DSDP Site 522	16-2-093	16-2-093	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.92
This study	DSDP Site 522	16-2-096	16-2-096	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.95
This study	DSDP Site 522	16-2-098	16-2-098	FS-C-DRILL-IODP:SP-SS-C:SO-V	61.98
This study	DSDP Site 522	16-2-101	16-2-101	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.01
This study	DSDP Site 522	16-2-104	16-2-104	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.04
This study	DSDP Site 522	16-2-107	16-2-107	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.06
This study	DSDP Site 522	16-2-110	16-2-110	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.09
This study	DSDP Site 522	16-2-112	16-2-112	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.12
This study	DSDP Site 522	16-2-116	16-2-116	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.15
This study	DSDP Site 522	16-2-122	16-2-122	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.22
This study	DSDP Site 522	16-2-127	16-2-127	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.26
This study	DSDP Site 522	16-2-130	16-2-130	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.29
This study	DSDP Site 522	16-2-132	16-2-132	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.32
This study	DSDP Site 522	16-2-135	16-2-135	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.35
This study	DSDP Site 522	16-2-138	16-2-138	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.38
This study	DSDP Site 522	16-2-141	16-2-141	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.41
This study	DSDP Site 522	16-2-144	16-2-144	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.44
This study	DSDP Site 522	16-2-147	16-2-147	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.47
This study	DSDP Site 522	16-2-150	16-2-150	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.5
This study	DSDP Site 522	16-3-002	16-3-002	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.52
This study	DSDP Site 522	16-3-004	16-3-004	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.54
This study	DSDP Site 522	16-3-008	16-3-008	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.58
This study	DSDP Site 522	16-3-011	16-3-011	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.6
This study	DSDP Site 522	16-3-014	16-3-014	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.64
This study	DSDP Site 522	16-3-017	16-3-017	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.66
This study	DSDP Site 522	16-3-020	16-3-020	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.69
This study	DSDP Site 522	16-3-023	16-3-023	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.72
This study	DSDP Site 522	16-3-026	16-3-026	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.75
This study	DSDP Site 522	16-3-028	16-3-028	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.78
This study	DSDP Site 522	16-3-031	16-3-031	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.81
This study	DSDP Site 522	16-3-034	16-3-034	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.84
This study	DSDP Site 522	16-3-037	16-3-037	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.87
This study	DSDP Site 522	16-3-040	16-3-040	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.9
This study	DSDP Site 522	16-3-043	16-3-043	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.93
This study	DSDP Site 522	16-3-045	16-3-045	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.95
This study	DSDP Site 522	16-3-048	16-3-048	FS-C-DRILL-IODP:SP-SS-C:SO-V	62.98
This study	DSDP Site 522	16-3-051	16-3-051	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.01
This study	DSDP Site 522	16-3-054	16-3-054	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.04
This study	DSDP Site 522	16-3-057	16-3-057	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.07
