tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	magn_volume	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	timestamp	magn_moment
KO_86.12_LP-DIR-AF11	KO_86.12_LP-DIR-AF	KO_86.12	0.99	289.6538240580533	-6.241722611331747	 8.000e-02	0	0.00	0.00	11	273	0.0038454992982196357	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	53	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	4.037774263130617e-08
KO_86.12_LP-DIR-AF12	KO_86.12_LP-DIR-AF	KO_86.12	0.99	275.39526456821307	0.27464429477658875	 9.000e-02	0	0.00	0.00	12	273	0.008781863532935998	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	54	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	9.220956709582797e-08
KO_86.12_LP-DIR-AF13	KO_86.12_LP-DIR-AF	KO_86.12	0.99	277.6610578276753	1.2661353304162648	 1.000e-01	0	0.00	0.00	13	273	0.01086148217377987	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	55	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	1.1404556282468862e-07
KO_86.13_LP-DIR-AF0	KO_86.13_LP-DIR-AF	KO_86.13	0.99	161.48401052459653	-27.01703401126784	 0.000e+00	0	0.00	0.00	0	273	0.007170290177146933	This study	Utrecht_ 2G DC	LT-NO:LP-DIR-AF	g	56	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	7.528804686004279e-08
KO_86.13_LP-DIR-AF1	KO_86.13_LP-DIR-AF	KO_86.13	0.99	160.55996517182382	-28.13205041490756	 5.000e-03	0	0.00	0.00	1	273	0.007008960898722336	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	57	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	7.359408943658452e-08
KO_86.13_LP-DIR-AF2	KO_86.13_LP-DIR-AF	KO_86.13	0.99	159.68953712456556	-27.647563148269228	 1.000e-02	0	0.00	0.00	2	273	0.006752414534136387	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	58	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	7.090035260843206e-08
KO_86.13_LP-DIR-AF3	KO_86.13_LP-DIR-AF	KO_86.13	0.99	159.2431135326795	-26.906840879553016	 1.500e-02	0	0.00	0.00	3	273	0.006418779138090263	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	59	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	6.739718094994775e-08
KO_86.13_LP-DIR-AF4	KO_86.13_LP-DIR-AF	KO_86.13	0.99	158.79637284746246	-25.52740535769746	 2.000e-02	0	0.00	0.00	4	273	0.0060111838323045515	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	60	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	6.311743023919778e-08
KO_86.13_LP-DIR-AF5	KO_86.13_LP-DIR-AF	KO_86.13	0.99	158.2789491980027	-24.19880230538164	 2.500e-02	0	0.00	0.00	5	273	0.0055297504997575755	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	61	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	5.8062380247454544e-08
KO_86.13_LP-DIR-AF6	KO_86.13_LP-DIR-AF	KO_86.13	0.99	158.96248897457818	-23.897305853988154	 3.000e-02	0	0.00	0.00	6	273	0.005078128817807739	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	62	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	5.332035258698126e-08
KO_86.13_LP-DIR-AF7	KO_86.13_LP-DIR-AF	KO_86.13	0.99	158.83874018317172	-23.80779207795579	 4.000e-02	0	0.00	0.00	7	273	0.0041523809523809525	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	63	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	4.36e-08
KO_86.13_LP-DIR-AF8	KO_86.13_LP-DIR-AF	KO_86.13	0.99	168.47074621351746	-25.283466850068994	 5.000e-02	0	0.00	0.00	8	273	0.0026981717165971662	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	64	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	2.8330803024270244e-08
KO_86.13_LP-DIR-AF9	KO_86.13_LP-DIR-AF	KO_86.13	0.99	225.0	-21.866287868738084	 6.000e-02	0	0.00	0.00	9	273	0.0016544611580076485	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	65	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	1.737184215908031e-08
KO_86.13_LP-DIR-AF10	KO_86.13_LP-DIR-AF	KO_86.13	0.99	273.20134360031875	-5.29344450739084	 7.000e-02	0	0.00	0.00	10	273	0.004521547304040481	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	66	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	4.747624669242505e-08
KO_86.13_LP-DIR-AF11	KO_86.13_LP-DIR-AF	KO_86.13	0.99	286.5191952401972	-2.7895907205850836	 8.000e-02	0	0.00	0.00	11	273	0.00784709319782356	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	67	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	8.239447857714738e-08
