tab 	specimens
sample	specimen
22-1-086	22-1-086
22-1-090	22-1-090
22-1-093	22-1-093
22-1-095	22-1-095
22-1-100	22-1-100
22-1-103	22-1-103
22-1-106	22-1-106
22-1-109	22-1-109
22-1-112	22-1-112
22-1-115	22-1-115
22-1-118	22-1-118
22-1-121	22-1-121
22-1-124	22-1-124
22-1-127	22-1-127
22-1-132	22-1-132
22-1-135	22-1-135
22-1-137	22-1-137
22-1-141	22-1-141
22-1-144	22-1-144
22-1-147	22-1-147
22-1-150	22-1-150
22-2-004	22-2-004
22-2-007	22-2-007
22-2-010	22-2-010
22-2-013	22-2-013
22-2-019	22-2-019
22-2-022	22-2-022
22-2-025	22-2-025
22-2-028	22-2-028
22-2-031	22-2-031
22-2-034	22-2-034
22-2-036	22-2-036
22-2-040	22-2-040
22-2-043	22-2-043
22-2-046	22-2-046
22-2-051	22-2-051
22-2-055	22-2-055
22-2-057	22-2-057
22-2-061	22-2-061
22-2-064	22-2-064
22-2-067	22-2-067
22-2-070	22-2-070
22-2-073	22-2-073
22-2-081	22-2-081
22-2-083	22-2-083
22-2-086	22-2-086
22-2-090	22-2-090
22-2-093	22-2-093
22-2-096	22-2-096
22-2-098	22-2-098
22-2-102	22-2-102
22-2-105	22-2-105
22-2-108	22-2-108
22-2-112	22-2-112
22-2-114	22-2-114
22-2-116	22-2-116
22-2-119	22-2-119
22-2-122	22-2-122
22-2-125	22-2-125
22-2-129	22-2-129
22-2-133	22-2-133
22-2-136	22-2-136
22-2-140	22-2-140
22-3-004	22-3-004
22-3-009	22-3-009
22-3-014	22-3-014
22-3-016	22-3-016
22-3-019	22-3-019
22-3-023	22-3-023
22-3-025	22-3-025
22-3-028	22-3-028
22-3-035	22-3-035
22-3-040	22-3-040
22-3-043	22-3-043
22-3-047	22-3-047
22-3-051	22-3-051
22-3-054	22-3-054
22-3-057	22-3-057
22-3-061	22-3-061
22-3-062	22-3-062
22-3-065	22-3-065
22-3-068	22-3-068
22-3-071	22-3-071
22-3-075	22-3-075
22-3-078	22-3-078
22-3-083	22-3-083
22-3-086	22-3-086
22-3-089	22-3-089
22-3-091	22-3-091
22-3-095	22-3-095
22-3-098	22-3-098
22-3-100	22-3-100
22-3-104	22-3-104
22-3-107	22-3-107
22-3-110	22-3-110
22-3-113	22-3-113
25-1-007	25-1-007
25-1-044	25-1-044
25-1-063	25-1-063
25-1-066	25-1-066
25-1-069	25-1-069
25-1-072	25-1-072
25-1-076	25-1-076
25-1-082	25-1-082
25-1-092	25-1-092
25-1-100	25-1-100
25-1-103	25-1-103
25-1-107	25-1-107
25-1-109	25-1-109
25-1-113	25-1-113
25-1-115	25-1-115
25-1-118	25-1-118
25-1-121	25-1-121
25-1-126	25-1-126
25-1-130	25-1-130
25-1-133	25-1-133
25-1-136	25-1-136
25-1-143	25-1-143
25-1-146	25-1-146
25-1-149	25-1-149
25-2-001	25-2-001
25-2-005	25-2-005
25-2-008	25-2-008
25-2-011	25-2-011
25-2-015	25-2-015
25-2-019	25-2-019
25-2-023	25-2-023
25-2-026	25-2-026
25-2-032	25-2-032
25-2-035	25-2-035
25-2-039	25-2-039
25-2-042	25-2-042
25-2-047	25-2-047
