tab	sites
site	location	age_unit	composite_depth	core_depth	height	lat	lon	geologic_classes	geologic_types	lithologies	citations	method_codes	result_quality	result_type
318-U1361A-006H_5A-0.9	U1361A		53.9	53.9		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_5A-0.95	U1361A		53.95	53.95		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_5A-1	U1361A		54.0	54.0		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_5A-1.05	U1361A		54.05	54.05		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_5A-1.1	U1361A		54.1	54.1		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_5A-1.25	U1361A		54.25	54.25		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_5A-1.3	U1361A		54.3	54.3		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_5A-1.35	U1361A		54.35	54.35		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_5A-1.4	U1361A		54.4	54.4		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_6A-0.1	U1361A		54.6	54.6		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_6A-0.15	U1361A		54.65	54.65		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_6A-0.2	U1361A		54.7	54.7		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_6A-0.25	U1361A		54.75	54.75		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_6A-0.3	U1361A		54.8	54.8		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_6A-0.35	U1361A		54.85	54.85		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_6A-0.4	U1361A		54.9	54.9		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_6A-0.45	U1361A		54.95	54.95		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_6A-0.5	U1361A		55.0	55.0		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_6A-0.55	U1361A		55.05	55.05		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_6A-0.6	U1361A		55.1	55.1		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_6A-0.65	U1361A		55.15	55.15		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_6A-0.7	U1361A		55.2	55.2		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_6A-0.75	U1361A		55.25	55.25		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_6A-0.8	U1361A		55.3	55.3		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_6A-0.85	U1361A		55.35	55.35		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_7A-0.1	U1361A		55.46	55.46		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_7A-0.25	U1361A		55.61	55.61		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_7A-0.3	U1361A		55.66	55.66		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_7A-0.35	U1361A		55.71	55.71		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_7A-0.4	U1361A		55.76	55.76		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_7A-0.45	U1361A		55.81	55.81		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_7A-0.5	U1361A		55.86	55.86		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_7A-0.55	U1361A		55.91	55.91		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_7A-0.6	U1361A		55.96	55.96		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_7A-0.65	U1361A		56.01	56.01		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_7A-0.7	U1361A		56.06	56.06		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_7A-0.75	U1361A		56.11	56.11		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_7A-0.8	U1361A		56.16	56.16		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_7A-0.85	U1361A		56.21	56.21		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_7A-0.9	U1361A		56.26	56.26		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_7A-0.95	U1361A		56.31	56.31		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_7A-1	U1361A		56.36	56.36		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_7A-1.05	U1361A		56.41	56.41		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-006H_7A-1.1	U1361A		56.46	56.46		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H-1-W-100	U1361A		57.5	57.5		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H-1-W-100a	U1361A		57.5	57.5		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H-2-W-110	U1361A		59.1	59.1		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H-3-W-135	U1361A		60.85	60.85		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H-3-W-135a	U1361A		60.85	60.85		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H-4-W-42	U1361A		61.42	61.42		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H-4-W-42a	U1361A		61.42	61.42		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H-5-W-110	U1361A		63.6	63.6		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H-6-W-23	U1361A		64.23	64.23		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H-7-W-20	U1361A		65.7	65.7		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H-7-W-20a	U1361A		65.7	65.7		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_1A-0.55	U1361A		57.05	57.05		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_1A-0.6	U1361A		57.1	57.1		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_1A-0.65	U1361A		57.15	57.15		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_1A-0.7	U1361A		57.2	57.2		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_1A-0.75	U1361A		57.25	57.25		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_1A-0.8	U1361A		57.3	57.3		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_1A-0.85	U1361A		57.35	57.35		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_1A-0.9	U1361A		57.4	57.4		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_1A-0.95	U1361A		57.45	57.45		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_1A-1	U1361A		57.5	57.5		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_1A-1.05	U1361A		57.55	57.55		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_1A-1.1	U1361A		57.6	57.6		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_1A-1.15	U1361A		57.65	57.65		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_1A-1.2	U1361A		57.7	57.7		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_1A-1.25	U1361A		57.75	57.75		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_1A-1.3	U1361A		57.8	57.8		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_1A-1.35	U1361A		57.85	57.85		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_1A-1.4	U1361A		57.9	57.9		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-0.1	U1361A		58.1	58.1		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-0.15	U1361A		58.15	58.15		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-0.2	U1361A		58.2	58.2		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-0.25	U1361A		58.25	58.25		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-0.3	U1361A		58.3	58.3		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-0.35	U1361A		58.35	58.35		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-0.4	U1361A		58.4	58.4		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-0.45	U1361A		58.45	58.45		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-0.5	U1361A		58.5	58.5		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-0.55	U1361A		58.55	58.55		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-0.6	U1361A		58.6	58.6		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-0.65	U1361A		58.65	58.65		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-0.7	U1361A		58.7	58.7		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-0.75	U1361A		58.75	58.75		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-0.8	U1361A		58.8	58.8		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-0.85	U1361A		58.85	58.85		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-0.9	U1361A		58.9	58.9		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-0.95	U1361A		58.95	58.95		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-1	U1361A		59.0	59.0		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-1.05	U1361A		59.05	59.05		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-1.1	U1361A		59.1	59.1		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-1.15	U1361A		59.15	59.15		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-1.2	U1361A		59.2	59.2		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-1.25	U1361A		59.25	59.25		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-1.3	U1361A		59.3	59.3		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-1.35	U1361A		59.35	59.35		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_2A-1.4	U1361A		59.4	59.4		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-0.1	U1361A		59.6	59.6		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-0.15	U1361A		59.65	59.65		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-0.2	U1361A		59.7	59.7		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-0.25	U1361A		59.75	59.75		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-0.3	U1361A		59.8	59.8		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-0.35	U1361A		59.85	59.85		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-0.4	U1361A		59.9	59.9		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-0.45	U1361A		59.95	59.95		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-0.5	U1361A		60.0	60.0		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-0.55	U1361A		60.05	60.05		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-0.6	U1361A		60.1	60.1		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-0.65	U1361A		60.15	60.15		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-0.7	U1361A		60.2	60.2		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-0.75	U1361A		60.25	60.25		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-0.8	U1361A		60.3	60.3		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-0.85	U1361A		60.35	60.35		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-0.9	U1361A		60.4	60.4		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-0.95	U1361A		60.45	60.45		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-1	U1361A		60.5	60.5		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-1.05	U1361A		60.55	60.55		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-1.1	U1361A		60.6	60.6		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-1.15	U1361A		60.65	60.65		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-1.2	U1361A		60.7	60.7		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-1.25	U1361A		60.75	60.75		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-1.3	U1361A		60.8	60.8		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-1.35	U1361A		60.85	60.85		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_3A-1.4	U1361A		60.9	60.9		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-0.1	U1361A		61.1	61.1		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-0.15	U1361A		61.15	61.15		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-0.2	U1361A		61.2	61.2		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-0.25	U1361A		61.25	61.25		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-0.3	U1361A		61.3	61.3		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-0.35	U1361A		61.35	61.35		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-0.4	U1361A		61.4	61.4		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-0.45	U1361A		61.45	61.45		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-0.6	U1361A		61.6	61.6		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-0.65	U1361A		61.65	61.65		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-0.7	U1361A		61.7	61.7		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-0.75	U1361A		61.75	61.75		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-0.8	U1361A		61.8	61.8		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-0.85	U1361A		61.85	61.85		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-0.9	U1361A		61.9	61.9		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-0.95	U1361A		61.95	61.95		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-1	U1361A		62.0	62.0		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-1.05	U1361A		62.05	62.05		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-1.1	U1361A		62.1	62.1		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-1.15	U1361A		62.15	62.15		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-1.2	U1361A		62.2	62.2		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-1.25	U1361A		62.25	62.25		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-1.3	U1361A		62.3	62.3		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-1.35	U1361A		62.35	62.35		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_4A-1.4	U1361A		62.4	62.4		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-0.1	U1361A		62.6	62.6		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-0.15	U1361A		62.65	62.65		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-0.2	U1361A		62.7	62.7		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-0.25	U1361A		62.75	62.75		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-0.3	U1361A		62.8	62.8		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-0.35	U1361A		62.85	62.85		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-0.4	U1361A		62.9	62.9		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-0.45	U1361A		62.95	62.95		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-0.5	U1361A		63.0	63.0		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-0.55	U1361A		63.05	63.05		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-0.6	U1361A		63.1	63.1		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-0.65	U1361A		63.15	63.15		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-0.7	U1361A		63.2	63.2		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-0.75	U1361A		63.25	63.25		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-0.8	U1361A		63.3	63.3		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-0.85	U1361A		63.35	63.35		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-0.9	U1361A		63.4	63.4		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-0.95	U1361A		63.45	63.45		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-1	U1361A		63.5	63.5		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-1.05	U1361A		63.55	63.55		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-1.1	U1361A		63.6	63.6		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-1.15	U1361A		63.65	63.65		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-1.2	U1361A		63.7	63.7		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-1.25	U1361A		63.75	63.75		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-1.3	U1361A		63.8	63.8		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-007H_5A-1.35	U1361A		63.85	63.85		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
