tab	er_specimens
er_sample_name	er_specimen_name	specimen_int_uT	measurement_step_min	measurement_step_min	specimen_lab_field_dc	Anisotropy_correction_factor	NLT_correction_factor	specimen_n	specimen_int_ptrm_n	specimen_f	specimen_fvds	specimen_frac	specimen_gap_max	specimen_b_beta	specimen_dang	specimen_drats	specimen_int_mad	specimen_md
0474a463000	0474a4630002	17.41	150	500	30	1.00	-	12.00	6.00	1.05	0.78	0.78	0.18	0.10	2.89	28.01	6.67	-1.00
0474a463000	0474a4630001	17.41	100	325	30	1.00	-	6.00	3.00	0.42	0.37	0.42	0.37	0.04	10.43	0.58	7.21	-1.00
0474a483p01	0474a483p012	22.61	200	425	30	1.00	-	8.00	5.00	0.53	0.35	0.45	0.22	0.07	12.32	6.70	13.25	-1.00
0474a483p01	0474a483p011	17.53	300	425	30	1.00	-	6.00	5.00	0.44	0.27	0.30	0.29	0.05	7.12	16.16	7.79	-1.00
0474a484p09	0474a484p091	15.35	100	300	30	1.00	-	5.00	3.00	0.68	0.54	0.67	0.43	0.05	9.30	16.55	13.80	-1.00
0474a484p09	0474a484p092	10.72	150	350	30	1.00	-	6.00	3.00	0.71	0.55	0.60	0.47	0.07	5.30	8.42	5.66	-1.00
0474a491000	0474a4910001	13.44	200	400	30	1.00	-	7.00	4.00	0.41	0.24	0.28	0.27	0.02	5.66	2.80	10.24	-1.00
0474a491000	0474a4910002	12.08	150	400	30	1.00	-	8.00	4.00	0.50	0.27	0.34	0.22	0.03	10.92	8.42	14.41	-1.00
0474a492p04	0474a492p042	22.80	250	450	30	1.00	-	7.00	5.00	0.56	0.32	0.31	0.31	0.08	3.32	1.67	4.09	-1.00
0474a492p04	0474a492p041	22.40	200	475	30	1.00	-	10.00	6.00	0.66	0.31	0.33	0.20	0.07	8.97	15.81	10.79	-1.00
0483b121000	0483b1210002	10.20	200	375	30	1.00	-	6.00	4.00	0.45	0.36	0.46	0.34	0.05	3.69	12.85	8.35	-1.00
0483b121000	0483b1210001	10.22	200	375	30	1.00	-	6.00	4.00	0.44	0.38	0.40	0.35	0.08	10.86	19.42	4.14	-1.00
0483b201p13	0483b201p132	36.33	250	450	30	1.00	-	8.00	6.00	0.46	0.25	0.25	0.44	0.08	4.63	12.46	3.92	-1.00
0483b201p13	0483b201p131	31.12	100	250	30	1.00	-	4.00	2.00	0.48	0.46	0.46	0.43	0.02	2.30	9.69	3.27	-1.00
0483b222p03	0483b222p032	13.21	375	550	30	1.00	-	8.00	7.00	0.57	0.24	0.28	0.22	0.09	3.36	5.30	7.24	-1.00
0483b222p03	0483b222p031	5.83	150	300	30	1.00	-	4.00	3.00	0.62	0.31	0.32	0.45	0.09	8.77	13.81	6.00	-1.00
0483b303p4c	0483b303p4c1	20.72	150	500	30	1.00	-	12.00	6.00	0.55	0.28	0.31	0.34	0.04	10.75	0.06	6.74	-1.00
0483b303p4c	0483b303p4c2	14.28	200	475	30	1.00	-	10.00	6.00	0.64	0.23	0.26	0.31	0.06	12.95	5.98	12.51	-1.00
0483x213p01	0483x213p012	16.51	100	400	30	1.00	-	9.00	4.00	0.77	0.62	0.73	0.27	0.08	5.60	1.65	6.95	-1.00
0483x213p01	0483x213p011	23.23	100	500	30	1.00	-	13.00	6.00	0.97	0.46	0.55	0.22	0.09	5.61	3.74	12.64	-1.00
0495x483p03	0495x483p031	19.31	375	550	30	1.00	-	8.00	7.00	0.58	0.58	0.61	0.25	0.06	1.69	5.41	6.59	-1.00
0495x483p03	0495x483p032	19.29	0	500	30	1.00	-	14.00	7.00	0.95	0.62	0.92	0.14	0.04	8.63	17.18	9.37	-1.00
0520x311020	0520x3110201	23.32	275	475	50	1.00	-	9.00	6.00	0.35	0.21	0.22	0.19	0.04	1.12	2.39	6.62	-1.00
0520x311020	0520x3110202	32.13	300	425	50	1.00	-	6.00	6.00	0.36	0.21	0.22	0.24	0.03	2.96	1.52	5.53	-1.00
0522b051p01	0522b051p012	14.62	150	475	50	1.00	-	13.00	7.00	0.55	0.43	0.62	0.17	0.09	2.46	7.89	8.59	-1.00
0522b051p01	0522b051p011	14.42	200	585	50	1.00	-	15.00	8.00	1.08	0.79	0.83	0.16	0.10	2.76	23.47	3.03	-1.00
0525a005p6b	0525a005p6b4	65.20	175	416	50	1.00	-	10.00	6.00	0.89	0.73	0.71	0.18	0.05	0.87	15.15	1.77	-1.00
0525a005p6b	0525a005p6b1	65.20	175	375	50	1.00	-	9.00	6.00	0.70	0.46	0.46	0.23	0.04	2.11	11.68	3.33	-1.00
