tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	magic_software_packages	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_dip
This study	Northern Iceland	is010h	is010	FS-FD:SO-POM	pmagpy-2.129	227.0	5.0	59.0	82.0
This study	Northern Iceland	is010i	is010	FS-FD:SO-POM	pmagpy-2.129	158.0	5.0	59.0	64.0
This study	Northern Iceland	is010j	is010	FS-FD:SO-POM	pmagpy-2.129	232.0	5.0	59.0	19.0
This study	Northern Iceland	is010k	is010	FS-FD:SO-POM	pmagpy-2.129	220.0	5.0	59.0	65.0
This study	Northern Iceland	is011a	is011	FS-FD:SO-POM	pmagpy-2.129	268.0	5.0	59.0	83.0
This study	Northern Iceland	is011b	is011	FS-FD:SO-POM	pmagpy-2.129	284.0	5.0	59.0	85.0
This study	Northern Iceland	is011c	is011	FS-FD:SO-POM	pmagpy-2.129	271.0	5.0	59.0	82.0
This study	Northern Iceland	is011d	is011	FS-FD:SO-POM	pmagpy-2.129	155.0	5.0	59.0	78.0
This study	Northern Iceland	is011e	is011	FS-FD:SO-POM	pmagpy-2.129	271.0	5.0	59.0	85.0
This study	Northern Iceland	is011f	is011	FS-FD:SO-POM	pmagpy-2.129	262.0	5.0	59.0	69.0
This study	Northern Iceland	is011g	is011	FS-FD:SO-POM	pmagpy-2.129	258.0	5.0	59.0	68.0
This study	Northern Iceland	is011h	is011	FS-FD:SO-POM	pmagpy-2.129	192.0	5.0	59.0	83.0
This study	Northern Iceland	is011i	is011	FS-FD:SO-POM	pmagpy-2.129	313.0	5.0	59.0	86.0
This study	Northern Iceland	is011j	is011	FS-FD:SO-POM	pmagpy-2.129	274.0	5.0	59.0	74.0
This study	Northern Iceland	is011k	is011	FS-FD:SO-POM	pmagpy-2.129	234.0	5.0	59.0	90.0
This study	Northern Iceland	is011l	is011	FS-FD:SO-POM	pmagpy-2.129	160.0	5.0	59.0	45.0
This study	Northern Iceland	is011m	is011	FS-FD:SO-POM	pmagpy-2.129	163.0	5.0	59.0	60.0
This study	Northern Iceland	is011n	is011	FS-FD:SO-POM	pmagpy-2.129	229.0	5.0	59.0	62.0
This study	Northern Iceland	is011o	is011	FS-FD:SO-POM	pmagpy-2.129	250.0	5.0	59.0	45.0
This study	Northern Iceland	is011p	is011	FS-FD:SO-POM	pmagpy-2.129	256.0	5.0	59.0	9.0
This study	Northern Iceland	is011q	is011	FS-FD:SO-POM	pmagpy-2.129	213.0	5.0	59.0	43.0
This study	Northern Iceland	is012a	is012	FS-FD:SO-POM	pmagpy-2.129	234.0	5.0	59.0	80.0
This study	Northern Iceland	is012b	is012	FS-FD:SO-POM	pmagpy-2.129	143.0	5.0	59.0	77.0
This study	Northern Iceland	is012c	is012	FS-FD:SO-POM	pmagpy-2.129	126.0	5.0	59.0	57.0
This study	Northern Iceland	is012d	is012	FS-FD:SO-POM	pmagpy-2.129	191.0	5.0	59.0	36.0
This study	Northern Iceland	is012e	is012	FS-FD:SO-POM	pmagpy-2.129	149.0	5.0	59.0	71.0
This study	Northern Iceland	is012f	is012	FS-FD:SO-POM	pmagpy-2.129	190.0	5.0	59.0	29.0
This study	Northern Iceland	is012g	is012	FS-FD:SO-POM	pmagpy-2.129	194.0	5.0	59.0	66.0
This study	Northern Iceland	is012h	is012	FS-FD:SO-POM	pmagpy-2.129	184.0	5.0	59.0	40.0
This study	Northern Iceland	is012i	is012	FS-FD:SO-POM	pmagpy-2.129	194.0	5.0	59.0	24.0
This study	Northern Iceland	is013a	is013	FS-FD:SO-POM	pmagpy-2.129	225.0	5.0	59.0	85.0
This study	Northern Iceland	is013b	is013	FS-FD:SO-POM	pmagpy-2.129	205.0	5.0	59.0	76.0
This study	Northern Iceland	is013c	is013	FS-FD:SO-POM	pmagpy-2.129	189.0	5.0	59.0	58.0
This study	Northern Iceland	is013d	is013	FS-FD:SO-POM	pmagpy-2.129	245.0	5.0	59.0	61.0
This study	Northern Iceland	is013e	is013	FS-FD:SO-POM	pmagpy-2.129	265.0	5.0	59.0	57.0
This study	Northern Iceland	is013f	is013	FS-FD:SO-POM	pmagpy-2.129	197.0	5.0	59.0	78.0
This study	Northern Iceland	is013g	is013	FS-FD:SO-POM	pmagpy-2.129	224.0	5.0	59.0	49.0
This study	Northern Iceland	is013h	is013	FS-FD:SO-POM	pmagpy-2.129	234.0	5.0	59.0	61.0
This study	Northern Iceland	is013i	is013	FS-FD:SO-POM	pmagpy-2.129	226.0	5.0	59.0	67.0
This study	Northern Iceland	is014a	is014	FS-FD:SO-POM	pmagpy-2.129	247.0	5.0	59.0	63.0
This study	Northern Iceland	is014b	is014	FS-FD:SO-POM	pmagpy-2.129	200.0	5.0	59.0	75.0
This study	Northern Iceland	is014c	is014	FS-FD:SO-POM	pmagpy-2.129	276.0	5.0	59.0	93.0
This study	Northern Iceland	is014d	is014	FS-FD:SO-POM	pmagpy-2.129	184.0	5.0	59.0	93.0
This study	Northern Iceland	is014e	is014	FS-FD:SO-POM	pmagpy-2.129	183.0	5.0	59.0	86.0
This study	Northern Iceland	is014f	is014	FS-FD:SO-POM	pmagpy-2.129	198.0	5.0	59.0	78.0
This study	Northern Iceland	is014g	is014	FS-FD:SO-POM	pmagpy-2.129	267.0	5.0	59.0	92.0
This study	Northern Iceland	is014h	is014	FS-FD:SO-POM	pmagpy-2.129	187.0	5.0	59.0	82.0
This study	Northern Iceland	is014i	is014	FS-FD:SO-POM	pmagpy-2.129	260.0	5.0	59.0	67.0
This study	Northern Iceland	is014j	is014	FS-FD:SO-POM	pmagpy-2.129	266.0	5.0	59.0	72.0
This study	Northern Iceland	is014k	is014	FS-FD:SO-POM	pmagpy-2.129	241.0	5.0	59.0	21.0
This study	Northern Iceland	is014m	is014	FS-FD:SO-POM	pmagpy-2.129	139.0	5.0	59.0	42.0
This study	Northern Iceland	is014n	is014	FS-FD:SO-POM	pmagpy-2.129	199.0	5.0	59.0	6.0
This study	Northern Iceland	is014o	is014	FS-FD:SO-POM	pmagpy-2.129	240.0	5.0	59.0	17.0
This study	Northern Iceland	is014p	is014	FS-FD:SO-POM	pmagpy-2.129	257.0	5.0	59.0	33.0
This study	Northern Iceland	is015a	is015	FS-FD:SO-POM	pmagpy-2.129	230.0	5.0	59.0	40.0
This study	Northern Iceland	is015b	is015	FS-FD:SO-POM	pmagpy-2.129	226.0	5.0	59.0	47.0
This study	Northern Iceland	is015c	is015	FS-FD:SO-POM	pmagpy-2.129	235.0	5.0	59.0	30.0
This study	Northern Iceland	is015d	is015	FS-FD:SO-POM	pmagpy-2.129	222.0	5.0	59.0	59.0
This study	Northern Iceland	is015e	is015	FS-FD:SO-POM	pmagpy-2.129	260.0	5.0	59.0	67.0
This study	Northern Iceland	is015f	is015	FS-FD:SO-POM	pmagpy-2.129	242.0	5.0	59.0	25.0
This study	Northern Iceland	is015g	is015	FS-FD:SO-POM	pmagpy-2.129	219.0	5.0	59.0	32.0
This study	Northern Iceland	is015h	is015	FS-FD:SO-POM	pmagpy-2.129	237.0	5.0	59.0	59.0
This study	Northern Iceland	is016a	is016	FS-FD:SO-POM	pmagpy-2.129	298.0	5.0	59.0	47.0
This study	Northern Iceland	is016b	is016	FS-FD:SO-POM	pmagpy-2.129	301.0	5.0	59.0	46.0
This study	Northern Iceland	is016c	is016	FS-FD:SO-POM	pmagpy-2.129	279.0	5.0	59.0	72.0
This study	Northern Iceland	is016d	is016	FS-FD:SO-POM	pmagpy-2.129	313.0	5.0	59.0	69.0
This study	Northern Iceland	is016e	is016	FS-FD:SO-POM	pmagpy-2.129	275.0	5.0	59.0	61.0
This study	Northern Iceland	is016f	is016	FS-FD:SO-POM	pmagpy-2.129	223.0	5.0	59.0	68.0
This study	Northern Iceland	is016g	is016	FS-FD:SO-POM	pmagpy-2.129	213.0	5.0	59.0	71.0
This study	Northern Iceland	is016h	is016	FS-FD:SO-POM	pmagpy-2.129	227.0	5.0	59.0	63.0
This study	Northern Iceland	is016i	is016	FS-FD:SO-POM	pmagpy-2.129	178.0	5.0	59.0	22.0
This study	Northern Iceland	is016j	is016	FS-FD:SO-POM	pmagpy-2.129	223.0	5.0	59.0	15.0
This study	Northern Iceland	is016k	is016	FS-FD:SO-POM	pmagpy-2.129	224.0	5.0	59.0	22.0
This study	Northern Iceland	is017a	is017	FS-FD:SO-POM	pmagpy-2.129	256.0	5.0	59.0	51.0
This study	Northern Iceland	is017c	is017	FS-FD:SO-POM	pmagpy-2.129	221.0	5.0	59.0	41.0
This study	Northern Iceland	is017d	is017	FS-FD:SO-POM	pmagpy-2.129	205.0	5.0	59.0	67.0
This study	Northern Iceland	is017e	is017	FS-FD:SO-POM	pmagpy-2.129	268.0	5.0	59.0	67.0
This study	Northern Iceland	is017f	is017	FS-FD:SO-POM	pmagpy-2.129	277.0	5.0	59.0	67.0
This study	Northern Iceland	is017g	is017	FS-FD:SO-POM	pmagpy-2.129	289.0	5.0	59.0	64.0
This study	Northern Iceland	is017h	is017	FS-FD:SO-POM	pmagpy-2.129	284.0	5.0	59.0	69.0
This study	Northern Iceland	is017i	is017	FS-FD:SO-POM	pmagpy-2.129	300.0	5.0	59.0	56.0
This study	Northern Iceland	is017j	is017	FS-FD:SO-POM	pmagpy-2.129	254.0	5.0	59.0	31.0
This study	Northern Iceland	is017k	is017	FS-FD:SO-POM	pmagpy-2.129	252.0	5.0	59.0	35.0
This study	Northern Iceland	is017l	is017	FS-FD:SO-POM	pmagpy-2.129	256.0	5.0	59.0	38.0
This study	Northern Iceland	is018a	is018	FS-FD:SO-POM	pmagpy-2.129	204.0	5.0	59.0	59.0
This study	Northern Iceland	is018b	is018	FS-FD:SO-POM	pmagpy-2.129	222.0	5.0	59.0	81.0
This study	Northern Iceland	is018c	is018	FS-FD:SO-POM	pmagpy-2.129	249.0	5.0	59.0	49.0
This study	Northern Iceland	is018d	is018	FS-FD:SO-POM	pmagpy-2.129	206.0	5.0	59.0	54.0
This study	Northern Iceland	is018e	is018	FS-FD:SO-POM	pmagpy-2.129	194.0	5.0	59.0	73.0
This study	Northern Iceland	is018f	is018	FS-FD:SO-POM	pmagpy-2.129	142.0	5.0	59.0	84.0
This study	Northern Iceland	is018g	is018	FS-FD:SO-POM	pmagpy-2.129	302.0	5.0	59.0	80.0
This study	Northern Iceland	is018h	is018	FS-FD:SO-POM	pmagpy-2.129	262.0	5.0	59.0	66.0
This study	Northern Iceland	is018i	is018	FS-FD:SO-POM	pmagpy-2.129	230.0	5.0	59.0	53.0
This study	Northern Iceland	is018j	is018	FS-FD:SO-POM	pmagpy-2.129	262.0	5.0	59.0	13.0
This study	Northern Iceland	is018k	is018	FS-FD:SO-POM	pmagpy-2.129	206.0	5.0	59.0	18.0
This study	Northern Iceland	is019a	is019	FS-FD:SO-POM	pmagpy-2.129	224.0	5.0	59.0	78.0
