tab 	er_sites
er_citation_names	er_location_name	er_site_name	site_class	site_definition	site_lithology	site_type
This study	DSDP Site 522	16-1-140	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-1-142	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-1-145	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-1-148	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-001	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-005	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-008	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-012	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-015	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-018	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-021	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-024	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-029	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-032	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-034	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-038	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-041	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-050	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-053	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-056	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-059	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-061	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-064	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-066	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-069	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-073	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-076	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-079	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-082	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-085	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-087	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-090	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-093	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-096	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-098	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-101	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-104	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-107	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-110	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-112	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-116	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-122	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-127	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-130	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-132	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-135	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-138	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-141	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-144	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-147	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-2-150	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-002	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-004	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-008	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-011	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-014	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-017	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-020	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-023	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-026	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-028	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-031	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-034	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-037	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-040	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-043	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-045	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-048	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-051	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-054	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-057	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-060	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-063	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-066	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-069	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-072	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-075	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-078	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-080	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-083	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-086	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-089	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-092	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-095	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-098	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-102	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-105	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-108	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-110	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-114	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-116	sedimentary	s	nannofossil ooze	sedimentary layer
