tab	samples
azimuth	citations	cooling_rate	criteria	description	dip	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_specimens	lat	lithologies	lon	method_codes	result_type	sample	site	software_packages	specimens	location
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	3.53e-05	2.36e-06	6.33	8	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgj04d	mgj04d	pmagpy-3.4.1: thellier_gui.v.3.0	mgj04d02:mgj04d03:mgj04d04:mgj04d05:mgj04d06:mgj04d10:mgj04d11:mgj04d12	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	3.84e-05	1.64e-06	3.27	4	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	mgj06a	mgj06a	pmagpy-3.4.1: thellier_gui.v.3.0	mgj06a01:mgj06a02:mgj06a03:mgj06a04	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	4.01e-05	1.96e-06	4.44	3	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	mgj06b	mgj06b	pmagpy-3.4.1: thellier_gui.v.3.0	mgj06b01:mgj06b02:mgj06b03	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	4.02e-05	1.50e-06	3.53	4	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	mgj06c	mgj06c	pmagpy-3.4.1: thellier_gui.v.3.0	mgj06c01:mgj06c02:mgj06c03:mgj06c04	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	3.83e-05	1.43e-06	3.30	4	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	mgj06d	mgj06d	pmagpy-3.4.1: thellier_gui.v.3.0	mgj06d01:mgj06d02:mgj06d03:mgj06d04	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	6.66e-05	4.54e-06	6.42	5	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-ARM:LP-AN-TRM:LP-TRM:IE-TT		mgk06a	mgk06a	pmagpy-3.4.1: thellier_gui.v.3.0	mgk06a03:mgk06a05:mgk06a06:mgk06a07:mgk06a10	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	6.24e-05	3.70e-06	5.86	3	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	mgk06b	mgk06b	pmagpy-3.4.1: thellier_gui.v.3.0	mgk06b04:mgk06b06:mgk06b07	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	6.24e-05	2.87e-06	4.30	4	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	mgk06c	mgk06c	pmagpy-3.4.1: thellier_gui.v.3.0	mgk06c04:mgk06c05:mgk06c06:mgk06c07	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	6.07e-05	1.03e-06	1.57	5	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	mgk06d	mgk06d	pmagpy-3.4.1: thellier_gui.v.3.0	mgk06d01:mgk06d02:mgk06d03:mgk06d04:mgk06d05	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	5.88e-05	9.16e-07	1.51	3	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgk08a	mgk08a	pmagpy-3.4.1: thellier_gui.v.3.0	mgk08a01:mgk08a02:mgk08a03	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	5.91e-05	3.40e-06	5.54	4	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	mgk08b	mgk08b	pmagpy-3.4.1: thellier_gui.v.3.0	mgk08b01:mgk08b04:mgk08b05:mgk08b06	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	6.29e-05	5.37e-07	0.81	4	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	mgk08c	mgk08c	pmagpy-3.4.1: thellier_gui.v.3.0	mgk08c01:mgk08c02:mgk08c04:mgk08c05	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	5.55e-05	8.45e-07	1.39	5	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	mgk08e	mgk08e	pmagpy-3.4.1: thellier_gui.v.3.0	mgk08e01:mgk08e02:mgk08e03:mgk08e05:mgk08e07	
