tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	170.5	g	31.6	3.200e-05	4	273.		4.000e-05	0.00	90.00	423.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	171.9	g	29.7	3.100e-05	5	273.		0	0	0	473.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	171.1	g	30.6	3.140e-05	6	273.		4.000e-05	0.00	90.00	373.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	171.5	g	32.1	3.160e-05	7	273.		4.000e-05	0.00	90.00	473.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-PTRM-MD:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	171.4	g	30.3	3.090e-05	8	273.		4.000e-05	0.00	90.00	473.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	171.4	g	29.5	3.030e-05	9	273.		0	0	0	523.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	171.9	g	33.7	3.140e-05	10	273.		4.000e-05	0.00	90.00	523.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	172.2	g	30.1	2.920e-05	11	273.		0	0	0	573.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	171.3	g	32.4	3.000e-05	12	273.		4.000e-05	0.00	90.00	473.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	172	g	34.7	3.070e-05	13	273.		4.000e-05	0.00	90.00	573.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-PTRM-MD:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	171.8	g	30.7	2.890e-05	14	273.		4.000e-05	0.00	90.00	573.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	172.2	g	30.4	2.710e-05	15	273.		0	0	0	623.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	172.1	g	37.3	2.940e-05	16	273.		4.000e-05	0.00	90.00	623.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	172.8	g	30.2	2.350e-05	17	273.		0	0	0	673.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	173.1	g	37.4	2.530e-05	18	273.		4.000e-05	0.00	90.00	573.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	174.2	g	45.3	2.820e-05	19	273.		4.000e-05	0.00	90.00	673.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-PTRM-MD:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	172.9	g	31.4	2.230e-05	20	273.		4.000e-05	0.00	90.00	673.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	172.2	g	29.9	1.660e-05	21	273.		0	0	0	723.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	173.1	g	57.9	2.690e-05	22	273.		4.000e-05	0.00	90.00	723.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	172.6	g	30	1.280e-05	23	273.		0	0	0	773.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	174.4	g	55.5	2.010e-05	24	273.		4.000e-05	0.00	90.00	673.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	172.4	g	62.7	2.390e-05	25	273.		4.000e-05	0.00	90.00	773.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-PTRM-MD:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	172.4	g	31.4	1.210e-05	26	273.		4.000e-05	0.00	90.00	773.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	172.7	g	30.2	8.500e-06	27	273.		0	0	0	798.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	167.4	g	73.5	2.580e-05	28	273.		4.000e-05	0.00	90.00	798.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	172.4	g	30.9	4.060e-06	29	273.		0	0	0	823.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	160.7	g	79.5	1.950e-05	30	273.		4.000e-05	0.00	90.00	773.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	163.2	g	82.6	3.000e-05	31	273.		4.000e-05	0.00	90.00	823.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-PTRM-MD:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	173.5	g	36.9	3.660e-06	32	273.		4.000e-05	0.00	90.00	823.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	173	g	32.2	1.770e-06	33	273.		0	0	0	848.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	128.9	g	84.2	3.290e-05	34	273.		4.000e-05	0.00	90.00	848.00
	This study	Snake River	sr01c	sr01	sr01c2	sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-NO:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	160	g	26.1	1.040e-04	0	273.		0	0	0	273.00
	This study	Snake River	sr01c	sr01	sr01c2	sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	158.6	g	26.2	1.030e-04	1	273.		0	0	0	373.00
	This study	Snake River	sr01c	sr01	sr01c2	sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	157.6	g	26.7	1.030e-04	2	273.		4.000e-05	0.00	90.00	373.00
	This study	Snake River	sr01c	sr01	sr01c2	sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	161.5	g	26.3	1.020e-04	3	273.		0	0	0	423.00
	This study	Snake River	sr01c	sr01	sr01c2	sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	159.1	g	27.1	1.030e-04	4	273.		4.000e-05	0.00	90.00	423.00
	This study	Snake River	sr01c	sr01	sr01c2	sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	160.8	g	26.4	1.020e-04	5	273.		0	0	0	473.00
	This study	Snake River	sr01c	sr01	sr01c2	sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	160.1	g	26.9	1.020e-04	6	273.		4.000e-05	0.00	90.00	373.00
	This study	Snake River	sr01c	sr01	sr01c2	sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	159.6	g	27.8	1.020e-04	7	273.		4.000e-05	0.00	90.00	473.00
