tab	er_ages
er_citation_names	er_location_name	er_site_name	er_sample_name	age	age_range_low	age_range_high	age_unit	age_description
This study	Skouriotissa Phoenix 1	sp100804	sp100804	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp100901	sp100901	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp100902	sp100902	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp100903	sp100903	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp100904	sp100904	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp101001	sp101001	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp101002	sp101002	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp101003	sp101003	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp101101	sp101101	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp101102	sp101102	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp101103	sp101103	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp101104	sp101104	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp101201	sp101201	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp101202	sp101202	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp101203	sp101203	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp101301	sp101301	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp101302	sp101302	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp101901	sp101901	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp101902	sp101902	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp101903	sp101903	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp102001	sp102001	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp102002	sp102002	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp102101	sp102101	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp102105	sp102105	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp102201	sp102201	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp102202	sp102202	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp102203	sp102203	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp102204	sp102204	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
