tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_instrument_codes	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_correction	specimen_dec	specimen_description	specimen_direction_type	specimen_flag	specimen_inc	specimen_inferred_age	specimen_inferred_age_sigma	specimen_inferred_age_unit	specimen_mad	specimen_n	specimen_nrm	specimen_tilt_correction
Peter C. Lippert	This study	Nading Co	07ND187	NDC-22	07ND187a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	90	40	mT	u	27.5		p	g	40.4	35.4	2.4	Ma	7.8	5	l	100
Peter C. Lippert	This study	Nading Co	07ND188	NDC-22	07ND188a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	60	mT	u	23		p	g	26.9	35.4	2.4	Ma	4.5	4	l	100
Peter C. Lippert	This study	Nading Co	07ND189	NDC-23	07ND189a	IPGP-2GH : SIO-SUZY	DE-BFP-G:LP-DIR-AF	120	0	mT	u	248.5		p	g	47.1	35.4	2.4	Ma	2.4	16	p	100
Peter C. Lippert	This study	Nading Co	07ND190	NDC-23	07ND190a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	40	mT	u	27.8		p	g	32.2	35.4	2.4	Ma	2.1	6	l	100
Peter C. Lippert	This study	Nading Co	07ND191	NDC-23	07ND191a	IPGP-2GH : SIO-SUZY	DE-BFP-G:LP-DIR-AF	140	0	mT	u	287		p	g	33.2	35.4	2.4	Ma	7.4	18	p	100
Peter C. Lippert	This study	Nading Co	07ND193	NDC-23	07ND193a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	90	50	mT	u	38.9		p	g	21	35.4	2.4	Ma	2.1	4	l	100
Peter C. Lippert	This study	Nading Co	07ND194	NDC-23	07ND194a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	40	mT	u	32.1		p	g	23.2	35.4	2.4	Ma	2.4	6	l	100
Peter C. Lippert	This study	Nading Co	07ND195	NDC-24	07ND195a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	40	mT	u	27.6		p	g	23.3	35.4	2.4	Ma	3.2	6	l	100
Peter C. Lippert	This study	Nading Co	07ND196	NDC-24	07ND196a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	90	40	mT	u	29.9		p	g	21.4	35.4	2.4	Ma	5.9	5	l	100
Peter C. Lippert	This study	Nading Co	07ND197	NDC-24	07ND197a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	90	30	mT	u	24.3		p	g	27.1	35.4	2.4	Ma	3.8	6	l	100
Peter C. Lippert	This study	Nading Co	07ND198	NDC-24	07ND198a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	30	mT	u	27.7		p	g	24	35.4	2.4	Ma	2.2	6	l	100
Peter C. Lippert	This study	Nading Co	07ND199	NDC-24	07ND199a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	50	mT	u	27.1		p	g	19.3	35.4	2.4	Ma	2.6	5	l	100
Peter C. Lippert	This study	Nading Co	07ND200	NDC-24	07ND200a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	80	40	mT	u	29.5		p	g	21.3	35.4	2.4	Ma	6	4	l	100
Peter C. Lippert	This study	Nading Co	07ND201	NDC-25	07ND201a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	50	mT	u	23.3		p	g	13.2	35.4	2.4	Ma	3.7	5	l	100
Peter C. Lippert	This study	Nading Co	07ND202	NDC-25	07ND202a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	50	mT	u	21		p	g	12.2	35.4	2.4	Ma	3.5	5	l	100
Peter C. Lippert	This study	Nading Co	07ND203	NDC-25	07ND203a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	50	mT	u	22.4		p	g	14.3	35.4	2.4	Ma	3.2	4	l	100
Peter C. Lippert	This study	Nading Co	07ND204	NDC-25	07ND204a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	50	mT	u	19.6		p	g	20	35.4	2.4	Ma	3.7	5	l	100
Peter C. Lippert	This study	Nading Co	07ND205	NDC-25	07ND205a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	90	50	mT	u	20.7		p	g	17.3	35.4	2.4	Ma	4.2	4	l	100
Peter C. Lippert	This study	Nading Co	07ND206	NDC-25	07ND206a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	50	mT	u	17.5		p	g	22.9	35.4	2.4	Ma	3.7	5	l	100
Peter C. Lippert	This study	Nading Co	07ND206	NDC-25	07ND206b	IPGP-2GH	DE-BFL:LP-DIR-T	560	450	°C	u	13	Specimen not used to calculate site mean direction.	p	g	23.8	35.4	2.4	Ma	2.1	4	l	100
