tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_scientist_mail_names	er_site_name	er_specimen_alternatives	er_specimen_name	magic_method_codes	specimen_class	specimen_core_depth	specimen_lithology	specimen_type	specimen_volume	specimen_weight
This study	DSDP Site 522	15-2-021	Paul Hartl:Lisa Tauxe	15-2-021	3160	15-2-021	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.81	nannofossil ooze	sedimentary layer	1e-6	1.450e-03
This study	DSDP Site 522	15-2-024	Paul Hartl:Lisa Tauxe	15-2-024	3161	15-2-024	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.84	nannofossil ooze	sedimentary layer	1e-6	1.551e-03
This study	DSDP Site 522	15-2-027	Paul Hartl:Lisa Tauxe	15-2-027	3162	15-2-027	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.87	nannofossil ooze	sedimentary layer	1e-6	1.593e-03
This study	DSDP Site 522	15-2-030	Paul Hartl:Lisa Tauxe	15-2-030	3163	15-2-030	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.9	nannofossil ooze	sedimentary layer	1e-6	1.212e-03
This study	DSDP Site 522	15-2-034	Paul Hartl:Lisa Tauxe	15-2-034	3164	15-2-034	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.93	nannofossil ooze	sedimentary layer	1e-6	1.545e-03
This study	DSDP Site 522	15-2-037	Paul Hartl:Lisa Tauxe	15-2-037	3165	15-2-037	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.97	nannofossil ooze	sedimentary layer	1e-6	1.222e-03
This study	DSDP Site 522	15-2-040	Paul Hartl:Lisa Tauxe	15-2-040	3166	15-2-040	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57	nannofossil ooze	sedimentary layer	1e-6	1.581e-03
This study	DSDP Site 522	15-2-043	Paul Hartl:Lisa Tauxe	15-2-043	3167	15-2-043	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.03	nannofossil ooze	sedimentary layer	1e-6	1.205e-03
This study	DSDP Site 522	15-2-046	Paul Hartl:Lisa Tauxe	15-2-046	3168	15-2-046	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.05	nannofossil ooze	sedimentary layer	1e-6	1.725e-03
This study	DSDP Site 522	15-2-050	Paul Hartl:Lisa Tauxe	15-2-050	3169	15-2-050	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.09	nannofossil ooze	sedimentary layer	1e-6	1.131e-03
This study	DSDP Site 522	15-2-055	Paul Hartl:Lisa Tauxe	15-2-055	3170	15-2-055	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.14	nannofossil ooze	sedimentary layer	1e-6	1.372e-03
This study	DSDP Site 522	15-2-058	Paul Hartl:Lisa Tauxe	15-2-058	3171	15-2-058	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.18	nannofossil ooze	sedimentary layer	1e-6	1.038e-03
This study	DSDP Site 522	15-2-061	Paul Hartl:Lisa Tauxe	15-2-061	3172	15-2-061	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.2	nannofossil ooze	sedimentary layer	1e-6	1.082e-03
This study	DSDP Site 522	15-2-064	Paul Hartl:Lisa Tauxe	15-2-064	3173	15-2-064	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.23	nannofossil ooze	sedimentary layer	1e-6	1.547e-03
This study	DSDP Site 522	15-2-067	Paul Hartl:Lisa Tauxe	15-2-067	3174	15-2-067	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.26	nannofossil ooze	sedimentary layer	1e-6	1.695e-03
This study	DSDP Site 522	15-2-070	Paul Hartl:Lisa Tauxe	15-2-070	3175	15-2-070	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.29	nannofossil ooze	sedimentary layer	1e-6	1.705e-03
This study	DSDP Site 522	15-2-073	Paul Hartl:Lisa Tauxe	15-2-073	3176	15-2-073	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.32	nannofossil ooze	sedimentary layer	1e-6	1.710e-03
This study	DSDP Site 522	15-2-076	Paul Hartl:Lisa Tauxe	15-2-076	3177	15-2-076	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.36	nannofossil ooze	sedimentary layer	1e-6	1.419e-03
This study	DSDP Site 522	15-2-079	Paul Hartl:Lisa Tauxe	15-2-079	3178	15-2-079	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.39	nannofossil ooze	sedimentary layer	1e-6	1.362e-03
This study	DSDP Site 522	15-2-082	Paul Hartl:Lisa Tauxe	15-2-082	3179	15-2-082	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.42	nannofossil ooze	sedimentary layer	1e-6	1.898e-03
This study	DSDP Site 522	15-2-085	Paul Hartl:Lisa Tauxe	15-2-085	3180	15-2-085	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.45	nannofossil ooze	sedimentary layer	1e-6	1.964e-03
This study	DSDP Site 522	15-2-088	Paul Hartl:Lisa Tauxe	15-2-088	3181	15-2-088	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.48	nannofossil ooze	sedimentary layer	1e-6	1.892e-03
This study	DSDP Site 522	15-2-091	Paul Hartl:Lisa Tauxe	15-2-091	3182	15-2-091	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.51	nannofossil ooze	sedimentary layer	1e-6	1.640e-03
This study	DSDP Site 522	15-2-095	Paul Hartl:Lisa Tauxe	15-2-095	3183	15-2-095	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.54	nannofossil ooze	sedimentary layer	1e-6	1.569e-03
This study	DSDP Site 522	15-2-098	Paul Hartl:Lisa Tauxe	15-2-098	3184	15-2-098	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.57	nannofossil ooze	sedimentary layer	1e-6	1.560e-03
This study	DSDP Site 522	15-2-101	Paul Hartl:Lisa Tauxe	15-2-101	3185	15-2-101	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.6	nannofossil ooze	sedimentary layer	1e-6	1.534e-03
This study	DSDP Site 522	15-2-104	Paul Hartl:Lisa Tauxe	15-2-104	3186	15-2-104	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.63	nannofossil ooze	sedimentary layer	1e-6	1.622e-03
This study	DSDP Site 522	15-2-107	Paul Hartl:Lisa Tauxe	15-2-107	3187	15-2-107	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.66	nannofossil ooze	sedimentary layer	1e-6	1.742e-03
This study	DSDP Site 522	15-2-109	Paul Hartl:Lisa Tauxe	15-2-109	3188	15-2-109	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.68	nannofossil ooze	sedimentary layer	1e-6	1.709e-03
This study	DSDP Site 522	15-2-113	Paul Hartl:Lisa Tauxe	15-2-113	3189	15-2-113	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.73	nannofossil ooze	sedimentary layer	1e-6	1.761e-03
This study	DSDP Site 522	15-2-116	Paul Hartl:Lisa Tauxe	15-2-116	3190	15-2-116	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.76	nannofossil ooze	sedimentary layer	1e-6	1.659e-03
This study	DSDP Site 522	15-2-119	Paul Hartl:Lisa Tauxe	15-2-119	3191	15-2-119	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.79	nannofossil ooze	sedimentary layer	1e-6	1.528e-03
This study	DSDP Site 522	15-2-123	Paul Hartl:Lisa Tauxe	15-2-123	3192	15-2-123	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.82	nannofossil ooze	sedimentary layer	1e-6	1.985e-03
This study	DSDP Site 522	15-2-126	Paul Hartl:Lisa Tauxe	15-2-126	3193	15-2-126	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.85	nannofossil ooze	sedimentary layer	1e-6	1.787e-03
This study	DSDP Site 522	15-2-128	Paul Hartl:Lisa Tauxe	15-2-128	3194	15-2-128	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.88	nannofossil ooze	sedimentary layer	1e-6	1.894e-03
This study	DSDP Site 522	15-2-132	Paul Hartl:Lisa Tauxe	15-2-132	3195	15-2-132	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.91	nannofossil ooze	sedimentary layer	1e-6	1.716e-03
This study	DSDP Site 522	15-2-135	Paul Hartl:Lisa Tauxe	15-2-135	3196	15-2-135	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.94	nannofossil ooze	sedimentary layer	1e-6	1.684e-03
This study	DSDP Site 522	15-2-138	Paul Hartl:Lisa Tauxe	15-2-138	3197	15-2-138	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	57.97	nannofossil ooze	sedimentary layer	1e-6	1.510e-03
This study	DSDP Site 522	15-2-141	Paul Hartl:Lisa Tauxe	15-2-141	3198	15-2-141	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58	nannofossil ooze	sedimentary layer	1e-6	1.582e-03
This study	DSDP Site 522	15-2-143	Paul Hartl:Lisa Tauxe	15-2-143	3199	15-2-143	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.03	nannofossil ooze	sedimentary layer	1e-6	1.423e-03
This study	DSDP Site 522	15-2-147	Paul Hartl:Lisa Tauxe	15-2-147	3200	15-2-147	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.06	nannofossil ooze	sedimentary layer	1e-6	1.354e-03
This study	DSDP Site 522	15-2-150	Paul Hartl:Lisa Tauxe	15-2-150	3201	15-2-150	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.09	nannofossil ooze	sedimentary layer	1e-6	1.500e-03
This study	DSDP Site 522	15-3-001	Paul Hartl:Lisa Tauxe	15-3-001	3202	15-3-001	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.1	nannofossil ooze	sedimentary layer	1e-6	1.704e-03
This study	DSDP Site 522	15-3-004	Paul Hartl:Lisa Tauxe	15-3-004	3203	15-3-004	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.14	nannofossil ooze	sedimentary layer	1e-6	1.376e-03
This study	DSDP Site 522	15-3-007	Paul Hartl:Lisa Tauxe	15-3-007	3204	15-3-007	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.17	nannofossil ooze	sedimentary layer	1e-6	1.587e-03
This study	DSDP Site 522	15-3-010	Paul Hartl:Lisa Tauxe	15-3-010	3205	15-3-010	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.2	nannofossil ooze	sedimentary layer	1e-6	1.682e-03
This study	DSDP Site 522	15-3-013	Paul Hartl:Lisa Tauxe	15-3-013	3206	15-3-013	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.23	nannofossil ooze	sedimentary layer	1e-6	1.695e-03
This study	DSDP Site 522	15-3-015	Paul Hartl:Lisa Tauxe	15-3-015	3207	15-3-015	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.25	nannofossil ooze	sedimentary layer	1e-6	9.880e-04
This study	DSDP Site 522	15-3-019	Paul Hartl:Lisa Tauxe	15-3-019	3208	15-3-019	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.29	nannofossil ooze	sedimentary layer	1e-6	1.682e-03
This study	DSDP Site 522	15-3-022	Paul Hartl:Lisa Tauxe	15-3-022	3209	15-3-022	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.32	nannofossil ooze	sedimentary layer	1e-6	1.697e-03
This study	DSDP Site 522	15-3-025	Paul Hartl:Lisa Tauxe	15-3-025	3210	15-3-025	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.34	nannofossil ooze	sedimentary layer	1e-6	1.723e-03
This study	DSDP Site 522	15-3-028	Paul Hartl:Lisa Tauxe	15-3-028	3211	15-3-028	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.38	nannofossil ooze	sedimentary layer	1e-6	1.860e-03
This study	DSDP Site 522	15-3-031	Paul Hartl:Lisa Tauxe	15-3-031	3212	15-3-031	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.41	nannofossil ooze	sedimentary layer	1e-6	1.403e-03
This study	DSDP Site 522	15-3-035	Paul Hartl:Lisa Tauxe	15-3-035	3213	15-3-035	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.44	nannofossil ooze	sedimentary layer	1e-6	1.774e-03
This study	DSDP Site 522	15-3-038	Paul Hartl:Lisa Tauxe	15-3-038	3214	15-3-038	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.47	nannofossil ooze	sedimentary layer	1e-6	1.620e-03
This study	DSDP Site 522	15-3-041	Paul Hartl:Lisa Tauxe	15-3-041	3215	15-3-041	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.5	nannofossil ooze	sedimentary layer	1e-6	1.792e-03
This study	DSDP Site 522	15-3-044	Paul Hartl:Lisa Tauxe	15-3-044	3216	15-3-044	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.53	nannofossil ooze	sedimentary layer	1e-6	1.572e-03
This study	DSDP Site 522	15-3-047	Paul Hartl:Lisa Tauxe	15-3-047	3217	15-3-047	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.56	nannofossil ooze	sedimentary layer	1e-6	1.842e-03
This study	DSDP Site 522	15-3-051	Paul Hartl:Lisa Tauxe	15-3-051	3218	15-3-051	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.61	nannofossil ooze	sedimentary layer	1e-6	1.772e-03
This study	DSDP Site 522	15-3-054	Paul Hartl:Lisa Tauxe	15-3-054	3219	15-3-054	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.63	nannofossil ooze	sedimentary layer	1e-6	1.967e-03
This study	DSDP Site 522	15-3-057	Paul Hartl:Lisa Tauxe	15-3-057	3220	15-3-057	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.66	nannofossil ooze	sedimentary layer	1e-6	1.688e-03
This study	DSDP Site 522	15-3-061	Paul Hartl:Lisa Tauxe	15-3-061	3221	15-3-061	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.71	nannofossil ooze	sedimentary layer	1e-6	1.462e-03
This study	DSDP Site 522	15-3-064	Paul Hartl:Lisa Tauxe	15-3-064	3222	15-3-064	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.73	nannofossil ooze	sedimentary layer	1e-6	1.799e-03
This study	DSDP Site 522	15-3-067	Paul Hartl:Lisa Tauxe	15-3-067	3223	15-3-067	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.76	nannofossil ooze	sedimentary layer	1e-6	1.763e-03
This study	DSDP Site 522	15-3-071	Paul Hartl:Lisa Tauxe	15-3-071	3224	15-3-071	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.8	nannofossil ooze	sedimentary layer	1e-6	1.379e-03
This study	DSDP Site 522	15-3-075	Paul Hartl:Lisa Tauxe	15-3-075	3225	15-3-075	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	58.84	nannofossil ooze	sedimentary layer	1e-6	1.492e-03
