tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_correction	specimen_dang	specimen_dec	specimen_description	specimen_direction_type	specimen_drats	specimen_f	specimen_fvds	specimen_inc	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_mad	specimen_md	specimen_n	specimen_q	specimen_rsc	specimen_tilt_correction
This study	Snake River	sr28g	sr28	sr28g2	sr28g2 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.03	T				u		193	Recalculated from original measurements; supercedes published results.	l				-53.9						2.7		9			0
This study	Snake River	sr29g	sr29	sr29g2	sr29g2 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.06	T				u		12.9	Recalculated from original measurements; supercedes published results.	l				62.9						2.7		7			0
This study	Snake River	sr30b	sr30	sr30b2	sr30b2 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.03	T				u		7.5	Recalculated from original measurements; supercedes published results.	l				67.4						0.9		9			0
This study	Snake River	sr31h	sr31	sr31h2	sr31h2 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.16	0.03	T				u		19.4	Recalculated from original measurements; supercedes published results.	l				54.7						0.9		8			0
This study	Snake River	sr34f	sr34	sr34f2	sr34f2 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.18	0.04	T				u		206.6	Recalculated from original measurements; supercedes published results.	l				-48.7						0.6		8			0
This study	Snake River	sr34i	sr34	sr34i3	sr34i3 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.18	0.04	T				u		200.7	Recalculated from original measurements; supercedes published results.	l				-52.8						1.5		8			0
This study	Snake River	sr36a	sr36	sr36a2	sr36a2 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.18	0.08	T				u		199.7	Recalculated from original measurements; supercedes published results.	l				-64						0.8		6			0
This study	Snake River	sr36b	sr36	sr36b1	sr36b1 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.18	0.04	T				u		194.7	Recalculated from original measurements; supercedes published results.	l				-60						1.1		8			0
This study	Snake River	sr36c	sr36	sr36c1	sr36c1 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.18	0.02	T				u		215.5	Recalculated from original measurements; supercedes published results.	l				-61						3.9		10			0
This study	Snake River	sr36d	sr36	sr36d1	sr36d1 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.18	0.04	T				u		185	Recalculated from original measurements; supercedes published results.	l				-73.7						2.2		8			0
This study	Snake River	sr36e	sr36	sr36e1	sr36e1 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.18	0.04	T				u		193.4	Recalculated from original measurements; supercedes published results.	l				-69.4						4		8			0
This study	Snake River	sr36i	sr36	sr36i2	sr36i2 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.18	0.04	T				u		191	Recalculated from original measurements; supercedes published results.	l				-63.1						2.5		8			0
This study	Snake River	sr39g	sr39	sr39g3	sr39g3 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.03	T				u		185.1	Recalculated from original measurements; supercedes published results.	l				-51						1.2		9			0
This study	Snake River	sr39h	sr39	sr39h3	sr39h3 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.01	T				u		178	Recalculated from original measurements; supercedes published results.	l				-51.8						1.9		11			0
This study	Snake River	sr40f	sr40	sr40f3	sr40f3 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.18	0.04	T				u		192.9	Recalculated from original measurements; supercedes published results.	l				-64.3						1.9		8			0
This study	Snake River	sr42c	sr42	sr42c3	sr42c3 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.1	0.01	T				u		24.1	Recalculated from original measurements; supercedes published results.	l				54.4						0.6		7			0
This study	Snake River	sr42f	sr42	sr42f2	sr42f2 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.18	0.03	T				u		108.7	Recalculated from original measurements; supercedes published results.	l				45.6						1.5		9			0
This study	Snake River	sr42h	sr42	sr42h2	sr42h2 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.16	0.03	T				u		9.1	Recalculated from original measurements; supercedes published results.	l				15.7						1		8			0
This study	Snake River	sr42j	sr42	sr42j2	sr42j2 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.1	0.03	T				u		333.9	Recalculated from original measurements; supercedes published results.	l				53.5						0.7		5			0
