M5-119D	14Y-68516	9/8/14	13:26	A	100	268.8	26.4	303.8	26.4	303.8	26.4	7.03E-07
M5-120D	14Y-68517	9/8/14	13:28	N	0	314.1	51.3	352.1	51.3	352.1	51.3	4.44E-06
M5-120D	14Y-68518	9/8/14	13:30	A	5	319.1	48	357.1	48	357.1	48	4.03E-06
M5-120D	14Y-68519	9/8/14	13:31	A	10	321.1	45.9	359.1	45.9	359.1	45.9	2.80E-06
M5-120D	14Y-68520	9/8/14	13:33	A	15	323	42.7	1	42.7	1	42.7	2.19E-06
M5-120D	14Y-68521	9/8/14	13:35	A	20	329.2	46.8	7.2	46.8	7.2	46.8	1.60E-06
M5-120D	14Y-68522	9/8/14	13:37	A	30	333.4	47.2	11.4	47.2	11.4	47.2	1.14E-06
M5-120D	14Y-68523	9/8/14	13:39	A	40	325.8	30.6	3.8	30.6	3.8	30.6	8.34E-07
M5-120D	14Y-68524	9/8/14	13:41	A	50	353	29.1	31	29.1	31	29.1	6.71E-07
M5-120D	14Y-68525	9/8/14	13:44	A	65	10.1	40.2	48.1	40.2	48.1	40.2	5.74E-07
M5-120D	14Y-68526	9/8/14	13:46	A	80	358.7	38	36.7	38	36.7	38	6.44E-07
M5-120D	14Y-68527	9/8/14	13:49	A	100	327.7	52.4	5.7	52.4	5.7	52.4	4.72E-07
M5-121D	14Y-68528	9/8/14	13:51	N	0	315.3	47.2	348.3	47.2	348.3	47.2	4.88E-06
M5-121D	14Y-68529	9/8/14	13:53	A	5	315.9	44	348.9	44	348.9	44	4.10E-06
M5-121D	14Y-68530	9/8/14	13:55	A	10	316.3	38.9	349.3	38.9	349.3	38.9	2.71E-06
M5-121D	14Y-68531	9/8/14	13:56	A	15	318.8	32.6	351.8	32.6	351.8	32.6	1.91E-06
M5-121D	14Y-68532	9/8/14	13:58	A	20	328.1	35.1	1.1	35.1	1.1	35.1	1.49E-06
M5-121D	14Y-68533	9/8/14	14:00	A	30	312.9	30.8	345.9	30.8	345.9	30.8	9.21E-07
M5-121D	14Y-68534	9/8/14	14:02	A	40	309.1	22.8	342.1	22.8	342.1	22.8	7.07E-07
M5-121D	14Y-68535	9/8/14	14:04	A	50	297.6	23.4	330.6	23.4	330.6	23.4	6.52E-07
M5-121D	14Y-68536	9/8/14	14:07	A	65	317.7	4.9	350.7	4.9	350.7	4.9	3.69E-07
M5-121D	14Y-68537	9/8/14	14:09	A	80	342.9	15.2	15.9	15.2	15.9	15.2	6.02E-07
M5-121D	14Y-68538	9/8/14	14:12	A	100	303.8	13.5	336.8	13.5	336.8	13.5	6.60E-07
M5-122D	14Y-68539	9/8/14	14:14	N	0	318	49.9	348	49.9	348	49.9	5.55E-06
M5-122D	14Y-68540	9/8/14	14:16	A	5	320.1	46.6	350.1	46.6	350.1	46.6	4.56E-06
M5-122D	14Y-68541	9/8/14	14:17	A	10	325.8	46.3	355.8	46.3	355.8	46.3	2.93E-06
M5-122D	14Y-68542	9/8/14	14:19	A	15	332.9	53.1	2.9	53.1	2.9	53.1	2.07E-06
M5-122D	14Y-68543	9/8/14	14:21	A	20	318.2	43.1	348.2	43.1	348.2	43.1	1.49E-06
M5-122D	14Y-68544	9/8/14	14:23	A	30	327.7	37.1	357.7	37.1	357.7	37.1	9.23E-07
M5-122D	14Y-68545	9/8/14	14:25	A	40	338.7	39.1	8.7	39.1	8.7	39.1	8.98E-07
M5-122D	14Y-68546	9/8/14	14:27	A	50	329.8	41.2	359.8	41.2	359.8	41.2	6.17E-07
M5-122D	14Y-68547	9/8/14	14:30	A	65	332.4	28.5	2.4	28.5	2.4	28.5	2.06E-07
M5-122D	14Y-68548	9/8/14	14:32	A	80	353.4	58.8	23.4	58.8	23.4	58.8	3.91E-07
M5-122D	14Y-68549	9/8/14	14:35	A	100	118.3	42.6	148.3	42.6	148.3	42.6	2.77E-07
M5-123D	14Y-68551	9/9/14	9:33	N	0	313	53.4	346	53.4	346	53.4	7.83E-06
M5-123D	14Y-68552	9/9/14	9:34	A	5	317	52.1	350	52.1	350	52.1	6.62E-06
M5-123D	14Y-68553	9/9/14	9:36	A	10	323.2	50.2	356.2	50.2	356.2	50.2	4.51E-06
M5-123D	14Y-68554	9/9/14	9:37	A	15	322	46.1	355	46.1	355	46.1	3.26E-06
M5-123D	14Y-68555	9/9/14	9:39	A	20	321.5	45.3	354.5	45.3	354.5	45.3	2.40E-06
M5-123D	14Y-68556	9/9/14	9:41	A	30	315.8	53.8	348.8	53.8	348.8	53.8	1.58E-06
M5-123D	14Y-68557	9/9/14	9:43	A	40	314	37.3	347	37.3	347	37.3	1.42E-06
M5-123D	14Y-68558	9/9/14	9:45	A	50	335.6	4.9	8.6	4.9	8.6	4.9	7.61E-07
M5-123D	14Y-68559	9/9/14	9:48	A	65	303.2	37.3	336.2	37.3	336.2	37.3	1.30E-06
M5-123D	14Y-68560	9/9/14	9:50	A	80	338	37.4	11	37.4	11	37.4	8.84E-07
M5-123D	14Y-68561	9/9/14	9:53	A	100	242.4	43.9	275.4	43.9	275.4	43.9	8.86E-07
M5-124D	14Y-68562	9/9/14	9:55	N	0	317.6	52.5	349.6	52.5	349.6	52.5	4.60E-06
M5-124D	14Y-68563	9/9/14	9:57	A	5	320.1	48.9	352.1	48.9	352.1	48.9	3.78E-06
M5-124D	14Y-68564	9/9/14	9:58	A	10	332.5	51.8	4.5	51.8	4.5	51.8	2.56E-06
M5-124D	14Y-68565	9/9/14	10:00	A	15	325.6	52.6	357.6	52.6	357.6	52.6	1.91E-06
M5-124D	14Y-68566	9/9/14	10:02	A	20	341.9	55.1	13.9	55.1	13.9	55.1	1.21E-06
M5-124D	14Y-68567	9/9/14	10:04	A	30	316.2	66.4	348.2	66.4	348.2	66.4	8.65E-07
M5-124D	14Y-68568	9/9/14	10:06	A	40	298.8	28.7	330.8	28.7	330.8	28.7	7.04E-07
