tab 	specimens
aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	citations	dir_alpha95	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
0.3359116:0.3353592:0.3287292:-0.0000389:0.0000724:-0.0008862	192	0.0003064	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-012H-4-W-91		318-U1361A-012H-4-W-91
0.3353294:0.3345881:0.3300825:0.0009409:0.0008312:-0.0008272	192	0.000328	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-012H-5-W-122		318-U1361A-012H-5-W-122
0.333724:0.3354438:0.3308322:-0.000597:0.000508:-0.001283	192	0.0001327	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-012H-6-W-107		318-U1361A-012H-6-W-107
0.3386298:0.3382547:0.3231155:0.0002782:0.00002:-0.0023111	192	0.0001302	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-012H-7-W-43		318-U1361A-012H-7-W-43
0.3369367:0.3309844:0.3320789:0.0017081:0.0014782:-0.0031736	192	0.0004962	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-013H-1-W-102		318-U1361A-013H-1-W-102
0.3349639:0.3351157:0.3299204:-0.0007379:0.000646:0.0013252	192	0.0003407	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-013H-2-W-70		318-U1361A-013H-2-W-70
0.3398015:0.3396014:0.320597:-0.0001904:-0.0017128:0.0018657	192	0.0001173	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-013H-3-W-97		318-U1361A-013H-3-W-97
0.3403556:0.3393136:0.3203308:0.0003101:0.001071:0.0018064	192	0.0001285	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-013H-4-W-118		318-U1361A-013H-4-W-118
0.3373079:0.3339216:0.3287705:0.0014757:0.0012249:0.0004444	192	0.0001215	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-013H-5-W-95		318-U1361A-013H-5-W-95
0.3329031:0.3335106:0.3335862:-0.000385:-0.0005263:0.0012984	192	0.0001238	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-013H-6-W-89		318-U1361A-013H-6-W-89
0.3346193:0.3374575:0.3279232:0.0008939:0.000626:0.0037578	192	0.000103	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-014H-1-W-123		318-U1361A-014H-1-W-123
0.3349703:0.3353423:0.3296875:0.0000571:0.0011732:0.001336	192	0.0003312	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-014H-2-W-87		318-U1361A-014H-2-W-87
0.3353836:0.3347301:0.3298863:-0.0000617:0.0005949:0.0010986	192	0.0007774	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-014H-3-W-115		318-U1361A-014H-3-W-115
0.3408821:0.3390893:0.3200286:-0.0008172:0.0045063:0.0037399	192	0.0001527	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-014H-4-W-110		318-U1361A-014H-4-W-110
0.3352549:0.3331989:0.3315462:-0.0010494:0.0028872:0.0013979	192	0.0001488	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-014H-5-W-113		318-U1361A-014H-5-W-113
0.3401674:0.3391552:0.3206774:-0.0001225:-0.000009:0.0008334	192	0.0001095	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-014H-6-W-88		318-U1361A-014H-6-W-88
0.3376564:0.3368386:0.325505:-0.0002791:-0.0001862:0.0010612	192	0.0007494	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-015H-1-W-110		318-U1361A-015H-1-W-110
0.3349031:0.3345024:0.3305946:-0.0008339:-0.0004869:0.000024	192	0.0001383	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-015H-2-W-59		318-U1361A-015H-2-W-59
0.3364494:0.3383742:0.3251764:-0.0001627:0.0005838:0.0025004	192	0.0005317	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-015H-3-W-51		318-U1361A-015H-3-W-51
0.3351504:0.3367799:0.3280697:-0.0008144:-0.0003258:0.0008294	192	8.71e-05	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-015H-4-W-58		318-U1361A-015H-4-W-58
0.3355709:0.3341731:0.3302559:0.0001756:0.0002815:0.0007582	192	0.0001193	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-015H-5-W-57		318-U1361A-015H-5-W-57
0.3461366:0.3470063:0.3068571:0.0001057:-0.002047:0.0021193	192	0.0001618	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-015H-6-W-125		318-U1361A-015H-6-W-125
0.3342709:0.3350339:0.3306952:-0.0003328:0.0005705:0.0000189	192	9.740000000000001e-05	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-016H-1-W-60		318-U1361A-016H-1-W-60
0.3352907:0.3334316:0.3312777:-0.000185:0.0000944:-0.0000785	192	0.0001076	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-016H-2-W-60		318-U1361A-016H-2-W-60
