tab delimited	contribution
id	version	timestamp	contributor	data_model_version	reference
16749	3	2020-02-15T20:31:55.746Z	@ltauxe	3.0	10.1016/J.EPSL.2014.12.034
>>>>>>>>>>
tab delimited	locations
location	location_type	citations	expedition_name	expedition_ship	expedition_leg	expedition_url	geologic_classes	lithologies	tectonic_settings	lat_s	lat_n	lon_w	lon_e	continent_ocean	region	age_low	age_high	age_unit
U1361A	Drill Site	This study	318	JOIDES Resolution	318	http://publications.iodp.org/proceedings/318/318toc.htm	Sedimentary	Silicate Clay:Silty Clay	Continental Shelf	-64.2457	-64.2457	143.532	143.532	Indian Ocean	Wilkes Land Margin	0	12	ma
>>>>>>>>>>
tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	core_depth	age_low	age_high	age_unit
318-U1361A-005H_5A-0.25	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	43.75	0	13	Ma
318-U1361A-005H_5A-0.3	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	43.8	0	13	Ma
318-U1361A-005H_5A-0.35	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	43.85	0	13	Ma
318-U1361A-005H_5A-0.4	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	43.9	0	13	Ma
318-U1361A-005H_5A-0.45	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	43.95	0	13	Ma
318-U1361A-005H_5A-0.5	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	44	0	13	Ma
318-U1361A-005H_5A-0.55	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	44.05	0	13	Ma
318-U1361A-005H_5A-0.6	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	44.1	0	13	Ma
318-U1361A-005H_5A-0.65	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	44.15	0	13	Ma
318-U1361A-005H_5A-0.7	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	44.2	0	13	Ma
318-U1361A-005H_5A-0.75	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	44.25	0	13	Ma
318-U1361A-005H_5A-0.8	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	44.3	0	13	Ma
318-U1361A-005H_5A-0.85	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	44.35	0	13	Ma
318-U1361A-005H_5A-0.9	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	44.4	0	13	Ma
318-U1361A-005H_5A-0.95	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	44.45	0	13	Ma
318-U1361A-005H_5A-1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	44.5	0	13	Ma
318-U1361A-005H_5A-1.05	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	44.55	0	13	Ma
318-U1361A-005H_5A-1.1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	44.6	0	13	Ma
318-U1361A-005H_5A-1.15	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	44.65	0	13	Ma
318-U1361A-005H_5A-1.2	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	44.7	0	13	Ma
318-U1361A-005H_5A-1.25	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	44.75	0	13	Ma
318-U1361A-005H_5A-1.3	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	44.8	0	13	Ma
318-U1361A-005H_5A-1.35	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	44.85	0	13	Ma
318-U1361A-005H_5A-1.4	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	44.9	0	13	Ma
318-U1361A-005H_5A-1.45	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	44.95	0	13	Ma
318-U1361A-005H_6A-0.1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	45.1	0	13	Ma
318-U1361A-005H_6A-0.15	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	45.15	0	13	Ma
318-U1361A-005H_6A-0.2	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	45.2	0	13	Ma
318-U1361A-005H_6A-0.25	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	45.25	0	13	Ma
318-U1361A-005H_6A-0.3	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	45.3	0	13	Ma
318-U1361A-005H_6A-0.35	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	45.35	0	13	Ma
318-U1361A-005H_6A-0.4	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	45.4	0	13	Ma
318-U1361A-005H_6A-0.45	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	45.45	0	13	Ma
318-U1361A-005H_6A-0.5	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	45.5	0	13	Ma
318-U1361A-005H_6A-0.55	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	45.55	0	13	Ma
318-U1361A-005H_6A-0.6	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	45.6	0	13	Ma
318-U1361A-005H_6A-0.65	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	45.65	0	13	Ma
318-U1361A-005H_6A-0.7	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	45.7	0	13	Ma
318-U1361A-005H_6A-0.75	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	45.75	0	13	Ma
318-U1361A-005H_6A-0.8	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	45.8	0	13	Ma
318-U1361A-005H_6A-0.85	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	45.85	0	13	Ma
318-U1361A-005H_6A-0.9	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	45.9	0	13	Ma
318-U1361A-005H_6A-0.95	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	45.95	0	13	Ma
318-U1361A-005H_6A-1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	46	0	13	Ma
318-U1361A-005H_6A-1.05	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	46.05	0	13	Ma
318-U1361A-005H_6A-1.1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	46.1	0	13	Ma
318-U1361A-005H_6A-1.15	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	46.15	0	13	Ma
318-U1361A-005H_6A-1.2	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	46.2	0	13	Ma
318-U1361A-005H_6A-1.25	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	46.25	0	13	Ma
318-U1361A-005H_6A-1.3	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	46.3	0	13	Ma
318-U1361A-005H_6A-1.35	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	46.35	0	13	Ma
318-U1361A-005H_6A-1.4	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	46.4	0	13	Ma
318-U1361A-005H_6A-1.45	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	46.45	0	13	Ma
318-U1361A-006H-1-W-55	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	47.55	0	13	Ma
318-U1361A-006H-2-W-55	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	49.05	0	13	Ma
318-U1361A-006H-3-W-54	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	50.54	0	13	Ma
318-U1361A-006H-4-W-55	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	52.05	0	13	Ma
318-U1361A-006H-5-W-55	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	53.55	0	13	Ma
318-U1361A-006H-6-W-55	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	55.05	0	13	Ma
318-U1361A-006H-7-W-98	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	56.34	0	13	Ma
318-U1361A-006H_1A-0.2	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	47.2	0	13	Ma
318-U1361A-006H_1A-0.25	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	47.25	0	13	Ma
318-U1361A-006H_1A-0.3	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	47.3	0	13	Ma
318-U1361A-006H_1A-0.35	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	47.35	0	13	Ma
318-U1361A-006H_1A-0.4	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	47.4	0	13	Ma
318-U1361A-006H_1A-0.45	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	47.45	0	13	Ma
318-U1361A-006H_1A-0.5	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	47.5	0	13	Ma
318-U1361A-006H_1A-0.55	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	47.55	0	13	Ma
318-U1361A-006H_1A-0.6	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	47.6	0	13	Ma
318-U1361A-006H_1A-0.65	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	47.65	0	13	Ma
318-U1361A-006H_1A-0.7	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	47.7	0	13	Ma
318-U1361A-006H_1A-0.75	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	47.75	0	13	Ma
318-U1361A-006H_1A-0.8	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	47.8	0	13	Ma
318-U1361A-006H_1A-0.85	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	47.85	0	13	Ma
318-U1361A-006H_1A-0.9	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	47.9	0	13	Ma
318-U1361A-006H_1A-0.95	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	47.95	0	13	Ma
318-U1361A-006H_1A-1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	48	0	13	Ma
318-U1361A-006H_1A-1.05	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	48.05	0	13	Ma
318-U1361A-006H_1A-1.1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	48.1	0	13	Ma
318-U1361A-006H_1A-1.15	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	48.15	0	13	Ma
318-U1361A-006H_1A-1.2	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	48.2	0	13	Ma
318-U1361A-006H_1A-1.25	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	48.25	0	13	Ma
318-U1361A-006H_1A-1.3	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	48.3	0	13	Ma
318-U1361A-006H_1A-1.35	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	48.35	0	13	Ma
318-U1361A-006H_1A-1.4	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	48.4	0	13	Ma
318-U1361A-006H_2A-0.1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	48.6	0	13	Ma
318-U1361A-006H_2A-0.15	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	48.65	0	13	Ma
318-U1361A-006H_2A-0.2	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	48.7	0	13	Ma
318-U1361A-006H_2A-0.25	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	48.75	0	13	Ma
318-U1361A-006H_2A-0.3	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	48.8	0	13	Ma
318-U1361A-006H_2A-0.35	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	48.85	0	13	Ma
318-U1361A-006H_2A-0.4	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	48.9	0	13	Ma
318-U1361A-006H_2A-0.45	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	48.95	0	13	Ma
318-U1361A-006H_2A-0.5	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	49	0	13	Ma
318-U1361A-006H_2A-0.55	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	49.05	0	13	Ma
318-U1361A-006H_2A-0.6	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	49.1	0	13	Ma
318-U1361A-006H_2A-0.65	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	49.15	0	13	Ma
318-U1361A-006H_2A-0.7	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	49.2	0	13	Ma
318-U1361A-006H_2A-0.75	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	49.25	0	13	Ma
318-U1361A-006H_2A-0.8	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	49.3	0	13	Ma
318-U1361A-006H_2A-0.85	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	49.35	0	13	Ma
318-U1361A-006H_2A-0.9	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	49.4	0	13	Ma
318-U1361A-006H_2A-0.95	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	49.45	0	13	Ma
318-U1361A-006H_2A-1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	49.5	0	13	Ma
318-U1361A-006H_2A-1.05	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	49.55	0	13	Ma
318-U1361A-006H_2A-1.1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	49.6	0	13	Ma
318-U1361A-006H_2A-1.15	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	49.65	0	13	Ma
318-U1361A-006H_2A-1.2	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	49.7	0	13	Ma
318-U1361A-006H_2A-1.25	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	49.75	0	13	Ma
318-U1361A-006H_2A-1.3	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	49.8	0	13	Ma
318-U1361A-006H_2A-1.35	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	49.85	0	13	Ma
318-U1361A-006H_2A-1.4	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	49.9	0	13	Ma
318-U1361A-006H_3A-0.1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	50.1	0	13	Ma
318-U1361A-006H_3A-0.15	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	50.15	0	13	Ma
318-U1361A-006H_3A-0.2	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	50.2	0	13	Ma
318-U1361A-006H_3A-0.25	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	50.25	0	13	Ma
318-U1361A-006H_3A-0.3	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	50.3	0	13	Ma
318-U1361A-006H_3A-0.35	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	50.35	0	13	Ma
318-U1361A-006H_3A-0.4	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	50.4	0	13	Ma
318-U1361A-006H_3A-0.45	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	50.45	0	13	Ma
318-U1361A-006H_3A-0.5	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	50.5	0	13	Ma
318-U1361A-006H_3A-0.55	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	50.55	0	13	Ma
318-U1361A-006H_3A-0.6	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	50.6	0	13	Ma
318-U1361A-006H_3A-0.65	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	50.65	0	13	Ma
318-U1361A-006H_3A-0.7	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	50.7	0	13	Ma
318-U1361A-006H_3A-0.75	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	50.75	0	13	Ma
318-U1361A-006H_3A-0.8	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	50.8	0	13	Ma
318-U1361A-006H_3A-0.85	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	50.85	0	13	Ma
318-U1361A-006H_3A-0.9	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	50.9	0	13	Ma
318-U1361A-006H_3A-0.95	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	50.95	0	13	Ma
318-U1361A-006H_3A-1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	51	0	13	Ma
318-U1361A-006H_3A-1.05	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	51.05	0	13	Ma
318-U1361A-006H_3A-1.1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	51.1	0	13	Ma
318-U1361A-006H_3A-1.15	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	51.15	0	13	Ma
318-U1361A-006H_3A-1.2	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	51.2	0	13	Ma
318-U1361A-006H_3A-1.25	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	51.25	0	13	Ma
318-U1361A-006H_3A-1.3	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	51.3	0	13	Ma
318-U1361A-006H_3A-1.35	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	51.35	0	13	Ma
318-U1361A-006H_3A-1.4	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	51.4	0	13	Ma
318-U1361A-006H_4A-0.25	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	51.75	0	13	Ma
318-U1361A-006H_4A-0.3	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	51.8	0	13	Ma
318-U1361A-006H_4A-0.35	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	51.85	0	13	Ma
318-U1361A-006H_4A-0.4	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	51.9	0	13	Ma
318-U1361A-006H_4A-0.45	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	51.95	0	13	Ma
318-U1361A-006H_4A-0.5	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	52	0	13	Ma
318-U1361A-006H_4A-0.55	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	52.05	0	13	Ma
318-U1361A-006H_4A-0.6	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	52.1	0	13	Ma
318-U1361A-006H_4A-0.65	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	52.15	0	13	Ma
318-U1361A-006H_4A-0.7	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	52.2	0	13	Ma
