tab	contribution
magic_version	doi
3.0	10.1139/e74-113
>>>>>>>>>>
tab 	locations																																	
location_name	site_names	result_type	method_codes	citations	location_type	geologic_classes	lithologies	plate_blocks	tectonic_settings	lat_s	lat_n	lon_w	lon_e	continent_ocean	country	region	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_r	dir_k	dir_n_sites	fold_test	conglomerate_test	contact_test	reversal_test	pole_comp_name	pole_lat	pole_lon	pole_alpha95	pole_n_sites	rock_magnetic_test	description
Osler Volcanics, Nipigon Strait, Lower Reversed				This study	Region	Extrusive	Basalt	North American Plate	Continental Rift	48.711501	48.66	271.93353	271.95	North America	Canada	Lake Superior																		
Osler Volcanics, Nipigon Strait, Upper Normal				This study	Region	Extrusive	Basalt	North American Plate	Continental Rift	48.64	48.66	271.91	271.96	North America	Canada	Lake Superior																		
Osler Volcanics, Nipigon Strait, Lower Reversed	6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30	a	DE-FM:DE-VGP:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:Fisher 1953:McElhinny & McFadden 2000													100	114.967445	-57.57295621	4.624479368	24.4024562	40.16441995	25	ND	ND	ND	ND	Characteristic	33.85573654	178.2632514	8.678164894	5	ND	All Reversed Flows
Osler Volcanics, Nipigon Strait, Upper Normal	1:2:3:4:5	a	DE-FM:DE-VGP:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:Fisher 1953:McElhinny & McFadden 2000													100	296.4616437	39.46409514	8.47928537	4.951447891	82.38571031	5	ND	ND	ND	ND	Characteristic	43.6574194	196.3384635	5.853207367	25	ND	All Normal Flows
>>>>>>>>>>
tab 	sites
location_name	site_name	result_type	method_codes	citations	bed_dip	bed_dip_direction	geologic_classes	geologic_types	lithologies	lat	lon	dir_tilt_correction	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	conglomerate_test	vgp_lat	vgp_lon	vgp_n_samples	description
Osler Volcanics, Nipigon Strait, Lower Reversed	17	i	DE-DI:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:McElhinny & McFadden 2000						48.634582	271.887024	100	93.7	-54.1		1		ND	27.49207105	204.1262149	1	VGP:Site 17
Osler Volcanics, Nipigon Strait, Lower Reversed	18		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	12	155	Extrusive	Lava Flow	Basalt			0	123.8	-43.2	224	4	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	18		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	12	155	Extrusive	Lava Flow	Basalt			100	116	-53	224	4	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	18	i	DE-DI:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:McElhinny & McFadden 2000						48.605248	271.835216	100	116	-53		1		ND	41.01791527	188.8062015	1	VGP:Site 18
Osler Volcanics, Nipigon Strait, Lower Reversed	19		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	12	133	Extrusive	Lava Flow	Basalt			0	132.1	-53	871	4	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	19		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	12	133	Extrusive	Lava Flow	Basalt			100	131.7	-64.9	871	4	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	19	i	DE-DI:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:McElhinny & McFadden 2000						48.607343	271.825585	100	131.7	-64.9		1		ND	58.01634188	197.3012183	1	VGP:Site 19
Osler Volcanics, Nipigon Strait, Lower Reversed	20		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	10	132	Extrusive	Lava Flow	Basalt			0	122.3	-46	108	4	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	20		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	10	132	Extrusive	Lava Flow	Basalt			100	119.9	-55.8	108	4	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	20	i	DE-DI:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:McElhinny & McFadden 2000						48.590795	271.807852	100	119.9	-55.8		1		ND	45.23871334	189.2192685	1	VGP:Site 20
