tab delimited	contribution
id	version	timestamp	contributor	data_model_version	reference	description
14132	4	2015-02-20T12:21:14.000Z	@ltauxe	3.0	10.1111/j.1365-246X.1997.tb04082.x	Upgraded to MagIC Data Model 3.0 by the MagIC Database Team
>>>>>>>>>>
tab delimited	locations
location	location_type	citations	plate_blocks	lat_s	lat_n	lon_w	lon_e	continent_ocean
DSDP Site 522	Drill Site	This study	African Plate	-27	-27	355	355	Atlantic Ocean
>>>>>>>>>>
tab delimited	sites
site	location	citations	geologic_classes	geologic_types	lithologies	core_depth	age	age_unit
15-3-115	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	59.25	23.8573	Ma
15-3-118	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	59.28	23.8635	Ma
15-3-122	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	59.31	23.8696	Ma
15-3-125	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	59.34	23.8758	Ma
15-3-129	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	59.38	23.884	Ma
16-1-098	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	60.47	24.1082	Ma
16-1-101	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	60.51	24.1164	Ma
16-1-104	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	60.54	24.1226	Ma
16-1-108	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	60.57	24.1287	Ma
16-1-110	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	60.6	24.1349	Ma
16-1-115	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	60.64	24.1431	Ma
16-1-119	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	60.68	24.1514	Ma
16-1-122	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	60.72	24.1596	Ma
16-1-125	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	60.74	24.1637	Ma
16-1-128	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	60.77	24.1699	Ma
16-1-131	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	60.8	24.176	Ma
16-1-134	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	60.83	24.1822	Ma
16-1-137	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	60.87	24.1904	Ma
16-1-140	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	60.89	24.1946	Ma
16-1-142	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	60.92	24.2007	Ma
16-1-145	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	60.94	24.2048	Ma
16-1-148	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	60.98	24.2131	Ma
16-2-001	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.01	24.2192	Ma
16-2-005	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.05	24.2275	Ma
16-2-008	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.08	24.2336	Ma
16-2-012	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.12	24.2419	Ma
16-2-015	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.15	24.248	Ma
16-2-018	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.17	24.2521	Ma
16-2-021	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.2	24.2583	Ma
16-2-024	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.23	24.2645	Ma
16-2-029	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.28	24.2748	Ma
16-2-032	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.31	24.2809	Ma
16-2-034	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.34	24.2871	Ma
16-2-038	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.38	24.2953	Ma
16-2-041	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.4	24.2994	Ma
16-2-050	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.49	24.3179	Ma
16-2-053	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.52	24.3241	Ma
16-2-056	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.55	24.3303	Ma
16-2-059	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.58	24.3365	Ma
16-2-061	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.6	24.3406	Ma
16-2-064	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.63	24.3467	Ma
16-2-066	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.66	24.3529	Ma
16-2-069	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.68	24.357	Ma
16-2-073	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.72	24.3652	Ma
16-2-076	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.75	24.3714	Ma
16-2-079	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.78	24.3776	Ma
16-2-082	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.81	24.3837	Ma
16-2-085	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.84	24.3899	Ma
16-2-087	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.86	24.394	Ma
16-2-090	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.9	24.4023	Ma
16-2-093	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.92	24.4064	Ma
16-2-096	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.95	24.4125	Ma
16-2-098	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	61.98	24.4187	Ma
16-2-101	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.01	24.4249	Ma
16-2-104	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.04	24.431	Ma
16-2-107	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.06	24.4352	Ma
16-2-110	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.09	24.4413	Ma
16-2-112	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.12	24.4475	Ma
16-2-116	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.15	24.4537	Ma
16-2-122	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.22	24.4681	Ma
16-2-127	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.26	24.4763	Ma
16-2-130	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.29	24.4825	Ma
16-2-132	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.32	24.4886	Ma
16-2-135	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.35	24.4948	Ma
16-2-138	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.38	24.501	Ma
16-2-141	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.41	24.5071	Ma
16-2-144	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.44	24.5133	Ma
16-2-147	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.47	24.5195	Ma
16-2-150	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.5	24.5256	Ma
16-3-002	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.52	24.5298	Ma
16-3-004	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.54	24.5339	Ma
16-3-008	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.58	24.5421	Ma
16-3-011	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.6	24.5462	Ma
16-3-014	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.64	24.5544	Ma
16-3-017	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.66	24.5585	Ma
