tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.0	45.8		g	-78.9	1.06e-06	24	1	1.42e-08	1.04e-08	1.13e-09	u	273	0	0	938.0
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.4	50.5		g	-80.1	1.08e-06	25	1	6.61e-09	4.79e-09	1.01e-09	u	273	0	0	943.0
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	lowensta	LT-NO:DE-VM:LP-DIR-T	pmagpy-3.4.0	2.7	86.5	average of multiple measurements	g	-75.3	5.053e-06	1	3.0	2.83e-08	3.87e-08	7.66e-09	u	273	0	0	273
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.6	74.0		g	-75.7	5.15e-06	2	1	3.67e-08	4.07e-08	7.76e-09	u	273	2.000e-02	0	273
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.6	71.7		g	-75.8	5.18e-06	3	1	3.58e-08	3.98e-08	7.57e-09	u	273	4.000e-02	0	273
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.6	68.8		g	-75.8	5.21e-06	4	1	3.31e-08	4.01e-08	7.59e-09	u	273	6.000e-02	0	273
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.6	65.0		g	-75.8	5.23e-06	5	1	4.22e-08	3.71e-08	8.07e-09	u	273	8.000e-02	0	273
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.5	67.7		g	-75.5	5.25e-06	6	1	3.20e-08	3.75e-08	6.91e-09	u	273	1.000e-01	0	273
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.8	69.3		g	-75.2	5.25e-06	7	1	6.19e-08	4.55e-08	7.61e-09	u	273	0	0	373.0
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.7	63.3		g	-74.3	5.56e-06	8	1	5.90e-08	2.68e-08	7.55e-09	u	273	0	0	423.0
